code,parks,op10,op11,tec10,tec11
DOM-AND,Andrés,0,0,3675.25,3654
DOM-BAN,Baní,1569.25,1875.22,3412.46,3684.9
DOM-BAR,Barahona,1700,1467,4000,2500
DOM-VIS,Bella Vista,3000,2561,5375,4698
DOM-BON,Bonao,1453.71,1320.5,2247.73,2642
DOM-CIP,Caribbean Ind. Park,2030.66,2466.59,4211.68,4413.26
DOM-CHE,Chemtec,1450.51,1678.95,3893.67,3481.23
DOM-CIB,Cibernético,1385.5,2818.98,4120.83,4457.43
DOM-DOS,Dos Rios,3509,2758,8074,6627
DOM-LIM,El Limonal,2050,1800,3903,3300
DOM-SEI,El Seibo,1450,1475,4500,4800
DOM-ESP,Esperanza,1917.25,1616.67,3441.63,3312.5
DOM-EXC,Excel Boca Chica,2700,2800,3471.13,4450
DOM-GUR,Gurabo,1828.33,2100,3744.29,3932.19
DOM-HAI,Hainamosa,1834.07,1925.18,4000.13,3777.83
DOM-HAT,Hato Mayor,0,1063,0,2800
DOM-HAN,Hato Nuevo,1833.42,2459.43,3770.4,4212.5
DOM-INT,Interexport Free Zone,1475,1500,3600,3700
DOM-JAI,Jaibón,0,1800,0,2400
DOM-ARM,La Armería,1833.9,2094.6,3893.25,3359.33
DOM-HIS,La Hispaniola,1172.48,1458.46,0,2538.75
DOM-PAL,La Palma,1735.02,1721.67,3566.67,3867.75
DOM-ROM,La Romana I,1728.7,1705.13,3043.14,2826.77
DOM-RII,La Romana II,1515.49,1413.67,4562.5,3933.33
DOM-VEG,La Vega,1466.29,1584.76,3190.84,3356.29
DOM-LAS,Las Américas,1690.91,1801.59,4124.22,4196.55
DOM-ALC,Los Alcarrizos,1741.88,1986.42,3389.04,3762
DOM-MOC,Moca,1345.69,1603.33,2684.83,2750
DOM-MUL,Multimodal Caucedo,0,0,4550,4228.33
DOM-MUT,Multiparques,3275.69,3951.5,5208.32,7552.5
DOM-NAV,Navarrete,1387.66,1800,2367,3200
DOM-NIG,Nigua,1673.94,1960.52,4336.58,4435.67
DOM-PAB,Palmar Abajo,2432,2650.82,0,0
DOM-PAM,Palmarejo,1960.2,2325.4,2862.6,3472.8
DOM-PED,Pedernales,1154,1300,2770,8000
DOM-PER,PERLAV,3098,3893.63,5623,5773.78
DOM-PIS,PISANO,2128.84,2207.89,4501.11,3524.3
DOM-PUE,Puerto Plata,1836.5,1660.5,3522.93,3325
DOM-SAL,Salcedo,1200,1600,0,2500
DOM-CRI,San Cristóbal (Itabo),1796.64,2073.63,3837.91,4291.88
DOM-FRA,San Fco. De Macoris,1246.15,1246.15,2500,2500
DOM-ISI,San Isidro,2235,2079.84,4981.44,4674.14
DOM-MAC,San Pedro de Macoris,1676.7,1696.06,3625.8,3585.41
DOM-S12,Santiago,1835.03,1953.6,3328.56,3692.13
DOM-JAN,Santiago- Janico,1615,1965,4650,6200
DOM-SLI,Parque Tecnológico de Santiago,1546.42,2001.05,2990.04,3202.71
DOM-YAQ,Parque Ind. y de Servicios Yaque,1448.41,1475,3439.6,4800
DOM-TAM,Tamboril,1986.5,1671.2,3116.93,3286.85
DOM-ALT,Villa Altagracia,1506.13,2140.53,2903.04,5212.5
DOM-MEL,Villa Mella,1223.33,1561.7,3474.33,4324.33
