id,year,shapeName,year,inv,ob_f_,tec_f_,adm_f_,ob_m_,tec_m_,adm_m_,ent,ele,com,inf,wat,tss,buiilt,ocu,sal_op,sal_tec,pop,prep,temp,agr_,urb_,ntl_
27,2000,CastaÃ±uelas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13923.75391,88.06742645,,,,0.0366380408307283
28,2000,Jarabacoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56985.625,131.0361126,,,,0.0514189960472347
29,2000,Jima Abajo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19908.48047,148.4750029,,,,0.0
30,2000,Pimentel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18116.98047,148.4750029,,,,0.0322117511567603
31,2000,YamasÃ¡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31116.2207,152.2845274,,,,0.0074964486034617
32,2000,Sabana Iglesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12953.12305,128.666667,,,,0.0004308573806491
33,2000,DajabÃ³n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33292.73047,93.20164836,,,,0.0332604806430911
34,2000,Los Cacaos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6926.919922,148.3099696,,,,0.0
35,2000,El PeÃ±Ã³n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,100.3583335,,,,0.0263284054262056
36,2000,Fantino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23266.71875,148.4750029,,,,0.0375984503315324
37,2000,Guananico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6121.168945,147.0416667,,,,0.0
38,2000,Hato Mayor,1990.0,2376975.0,309.0,8.0,6.0,166.0,17.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,82000.0,66097.0,587.33,1700.0,46593.04688,126.6833374,,,,0.0247886790308518
39,2000,TamborilTamborilTamborilTamboril,8035.0,220900.0,14.0,0.0,1.0,5.0,0.0,5.0,1.0,4500.0,0.0,0.0,0.0,15230.0,80000.0,20000.0,162.5,0.0,53746.53906,135.5439881,,,,0.4061142258046925
40,2000,Miches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,123.8531507,,,,0.0
41,2000,Monte Plata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44630.375,149.5166698,,,,0.0175717413556698
42,2000,Oviedo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,106.5201284,,,,0.0003344870089829
43,2000,El Llano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7900.628906,121.1166692,,,,0.0
44,2000,Guaymate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17377.56836,107.83963,,,,0.0371064137787715
45,2000,Los Hidalgos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13514.15918,111.2616684,,,,0.0368201002407047
46,2000,MaimÃ³n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17858.4707,153.3916704,,,,0.1829098429992517
47,2000,Mella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861.555176,105.8006419,,,,0.0
48,2000,MonciÃ³n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11429.7832,134.7583361,,,,0.0102028373611223
49,2000,Monte Cristi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23801.46484,88.51005084,,,,0.0222278757278524
50,2000,Neiba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26109.63672,103.7696078,,,,0.0261205355157213
51,2000,Sabana Grande De BoyÃ¡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25737.74219,161.3752568,,,,0.0238158744368461
52,2000,Las Yayas De Viajama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12609.22754,121.7549602,,,,0.0013356565236528
