gqid,modis_lst_mod11c3_006_night_annual_mean.2000.mean,modis_lst_mod11c3_006_night_annual_mean.2001.mean,modis_lst_mod11c3_006_night_annual_mean.2002.mean,modis_lst_mod11c3_006_night_annual_mean.2003.mean,modis_lst_mod11c3_006_night_annual_mean.2004.mean,modis_lst_mod11c3_006_night_annual_mean.2005.mean,modis_lst_mod11c3_006_night_annual_mean.2006.mean,modis_lst_mod11c3_006_night_annual_mean.2007.mean,modis_lst_mod11c3_006_night_annual_mean.2008.mean,modis_lst_mod11c3_006_night_annual_mean.2009.mean,modis_lst_mod11c3_006_night_annual_mean.2010.mean,modis_lst_mod11c3_006_night_annual_mean.2011.mean,modis_lst_mod11c3_006_night_annual_mean.2012.mean,modis_lst_mod11c3_006_night_annual_mean.2013.mean,modis_lst_mod11c3_006_night_annual_mean.2014.mean,modis_lst_mod11c3_006_night_annual_mean.2015.mean,modis_lst_mod11c3_006_night_annual_mean.2016.mean,modis_lst_mod11c3_006_night_annual_mean.2017.mean,modis_lst_mod11c3_006_night_annual_mean.2018.mean,modis_lst_mod11c3_006_night_annual_mean.2019.mean,modis_lst_mod11c3_006_night_annual_mean.2020.mean
13,292.6407813,293.1348191,293.1986396,293.4814276,293.0112723,293.3763708,293.1191025,293.4777455,292.8657669,292.979947,292.9089846,292.6633245,293.1257544,293.3250407,293.3211512,293.7817871,293.3487984,293.0384941,292.3272194,293.1909142,293.2699837
14,286.0847066,286.4485639,286.8989823,286.7694692,286.5081321,286.9403725,286.7766044,286.5545018,286.4733734,286.5909356,286.8099721,286.3405513,286.6388963,286.9110752,286.8783712,286.9841289,286.8217009,286.7735349,286.3921457,286.8874914,287.3028353
15,292.9802539,293.8940118,293.8982741,294.2617936,293.7774776,293.7843767,293.7684062,294.2274156,293.5449183,293.4640387,293.7387558,293.6593745,293.7870623,293.8200414,294.0497313,294.2605829,293.9462619,293.7857047,292.9500672,293.9008389,293.8257211
16,292.7701394,293.3715918,293.6219236,293.6511442,293.0863656,293.3776816,293.2530236,293.3473265,292.9177759,293.1692566,293.3037064,292.8897264,293.188213,293.487663,293.7356327,294.1077962,293.5570531,293.2569982,293.0856161,293.587382,293.6476527
17,293.3201187,293.9589973,294.2070071,294.1925919,293.6082163,293.763945,293.7926257,294.0571675,293.4328623,293.6003997,293.9531892,293.4136081,293.7447953,294.0461493,294.2041828,294.7508034,294.1569094,293.7647472,293.553978,294.0636216,294.2234627
18,292.1522159,292.5623857,292.8820128,293.0158995,292.5117077,292.8607287,292.7766371,292.8232153,292.6634873,292.6373576,292.9791233,293.0495736,293.0301279,293.1313996,293.5052489,293.608894,293.199191,292.9709711,292.4001502,292.7688098,292.9896671
19,292.3125718,293.2171948,293.6378346,292.9068382,292.3063501,292.5723022,292.9385387,292.8318297,292.7493074,292.7839358,292.55125,292.2406305,292.6733639,292.9352767,293.5515614,294.0144483,292.6279437,292.8085428,292.7999843,293.5086829,293.1506442
20,288.9387087,289.3183046,289.8565704,289.8170843,289.5720931,289.9060907,289.6709988,289.6208972,289.40126,289.4326608,289.8336994,289.4484517,289.7342758,289.8691567,290.3185026,290.6026599,290.5300215,290.0933774,289.88681,290.200291,290.431952
21,290.0365097,290.378152,290.3022958,290.7522397,290.388111,290.6619165,290.2039955,290.4008144,290.3114643,290.0307595,290.6844624,290.4946139,290.423128,290.6421085,291.0424003,291.2872329,291.2819125,290.8094588,290.4585762,290.6370478,290.9436435
22,293.200871,293.5811186,293.9975335,294.0674158,293.511156,293.992902,293.7906969,293.8888681,293.5387714,293.6338531,293.9583182,293.7348053,293.8103459,294.0033542,294.5290802,294.8485064,294.2367928,293.902358,293.454768,294.0267458,294.0949902
23,291.9143758,292.4369876,292.5267679,292.5754022,291.8933322,292.2376486,292.5035186,292.3672336,292.1051972,292.2332697,292.1760903,292.0622274,292.2053179,292.5082589,292.8053847,292.9709941,292.5508935,292.3606076,291.7391984,292.5771178,292.6301593
24,293.154761,293.7514682,294.0848851,294.147776,293.1780619,293.5415118,293.8143639,293.9529481,293.489225,293.45259,293.7160681,293.5422364,293.9215598,294.0013414,294.3676837,294.8191405,294.1810583,293.5942781,293.5609255,294.5290447,294.2369525
25,293.373389,293.9677257,294.2641547,294.2465957,293.4508873,293.7037209,293.9738756,293.9907041,293.5921246,293.6897944,293.8690396,293.8232385,293.9562851,294.1118718,294.4493288,294.8506682,294.4165795,293.886456,293.6647758,294.4583398,294.2985223
26,294.4899479,294.848721,295.4154745,295.1980285,294.9244554,294.775976,294.7751954,295.0288829,294.5586221,295.0594937,295.2505497,294.7078339,294.8991307,295.1864296,295.3309768,295.6952292,295.1909269,294.5111234,294.4512717,294.8382457,295.2297638
27,294.4426717,295.0616511,295.5805147,295.501347,294.5762256,294.8196143,294.7906893,295.0784131,294.8320552,294.861433,294.7746254,294.8059369,295.2176942,295.6495113,296.1257682,296.2731108,295.7089402,294.8864208,295.0864116,295.587443,295.5769456
28,287.8173216,288.4578897,288.7392383,288.3417022,287.8048331,288.4079311,288.3285763,288.1486576,287.9095799,288.1412649,288.1442793,287.7017441,287.9412793,288.0819958,288.4661954,288.574227,288.2746091,288.2491531,287.9578525,288.8666735,288.769771
29,292.0155393,292.2659221,292.7994088,292.5374258,291.8057137,292.5006514,292.6842817,292.528403,292.0143617,292.5722909,292.1390843,292.1460987,292.4746764,292.5359287,292.6995202,293.3990836,292.572736,292.5185267,292.0509823,292.7175728,292.6923159
30,292.3860881,293.0618953,293.2299403,293.2689391,292.870018,293.1974968,293.1090489,293.2005636,292.7693579,293.0914904,293.2068622,292.7075657,293.1116738,293.2505936,293.2707916,293.642857,293.3284112,293.0844718,292.3192467,293.3307911,293.3221796
31,291.9904295,292.5474091,292.7443146,292.8177364,292.3172078,292.7960833,292.7680415,292.8356124,292.2923589,292.4829269,292.7446525,292.3071077,292.5050273,292.6406479,292.8910123,293.313587,292.907799,292.5073518,291.980755,292.7782736,292.6667341
32,292.0285834,292.7022865,293.1900509,292.4601297,291.7716551,291.6420513,292.2713089,292.329898,292.1570127,292.4120548,291.7781433,291.7682404,291.8613695,292.3221881,292.7330112,293.2483049,292.0202459,292.0518123,292.4053969,292.993591,292.7607232
33,293.6560544,294.3863415,294.9553118,294.7418928,294.0997003,294.1803229,294.2616957,294.4322104,294.0895338,294.0715522,293.9252747,294.0326459,294.4357057,294.6507261,295.2236833,295.615002,294.8216849,294.1564465,294.1693932,295.0711699,294.8100911
34,289.5205106,289.826958,290.011368,290.0329305,289.7834068,290.0411103,289.9582831,290.0106083,289.74627,290.0149276,290.3244765,289.8905942,289.9937344,290.0824662,290.2510769,290.4575694,290.4537739,289.9411606,289.5318891,290.1239628,290.1174668
35,294.2223061,295.1685773,295.014874,295.2220017,295.1675157,295.5079282,295.1625501,295.4277932,294.8600715,294.9663386,295.1806572,294.8848813,295.0170563,295.5017695,295.1837343,295.5428354,295.028558,295.076268,294.5118085,294.7367504,294.9107102
36,292.0592214,292.5828533,293.1413399,292.9178326,292.2918384,292.7246443,292.990145,292.8746078,292.3829161,292.735637,292.7628992,292.4691828,292.770835,292.8012631,292.999072,293.6326037,293.0524887,292.6831298,292.4645228,293.0712092,293.0972976
37,292.2502434,292.8696025,293.3310986,292.9819316,292.3427953,292.5087926,292.9933116,292.9256836,292.7250482,292.6211629,292.7069426,292.6573743,292.8661039,293.2134662,293.6061342,293.8540867,293.2577249,293.0108733,292.6457108,293.4322222,293.3124644
38,292.5485153,292.8777844,293.1068903,293.2315624,292.8486671,293.2631963,293.0236824,293.0716099,292.9138865,293.0165546,293.2139734,293.1288993,293.1609121,293.2590212,293.576107,293.8554081,293.526482,293.2321843,292.7644373,293.1409476,293.2969547
39,291.3469862,292.0707167,292.3365538,292.1402199,291.423363,291.7458861,292.0416315,291.8756808,291.7459142,291.8229779,291.9124662,291.511219,291.8753635,292.1604847,292.5751392,292.9102245,292.1491342,291.9692581,291.7886384,292.2782625,292.2062312
40,293.1439606,293.5959053,293.7929109,293.4562431,293.0247852,293.6690234,293.5638491,293.6212809,293.3323417,293.3227805,293.64579,293.4081633,293.4807074,293.3573819,293.9624818,294.3114662,294.0556221,293.5658071,293.2048704,293.4438929,293.2593468
41,292.3039562,292.9152414,293.1331725,293.4988501,292.941799,293.3384114,293.2276124,293.286154,292.8840285,293.024212,293.3014286,292.8546715,292.8830027,293.1464221,293.3720573,293.6219437,293.3515055,292.9942143,292.3686204,293.0761961,293.1660324
42,294.4031899,295.1486291,295.4481289,295.1429427,294.8595931,294.9979055,295.2353425,295.311549,294.9004122,295.0374113,295.2157347,294.6422197,295.0641744,295.2624888,295.4538084,295.8081128,295.0048482,294.7172858,294.4513233,294.8219877,294.7409179
43,289.7220008,290.2310787,290.6998629,290.6910036,290.5026432,290.8299341,290.5614095,290.5762251,290.2755366,290.1920194,290.7625866,290.3786657,290.6477659,290.8612895,291.1753641,291.6873471,291.2720027,290.8970279,290.6781361,290.9823842,291.2997979
44,292.5720349,292.9460835,293.3724138,293.2767452,292.6927688,293.0983264,292.9734994,293.1466721,292.9302786,293.0051043,293.1919613,293.0941246,293.2676227,293.2559118,293.5691556,293.9162466,293.3254976,293.0953587,292.7269139,292.9586388,293.0094422
45,292.8160378,293.5290871,293.8907548,293.7737818,292.9465076,293.0942653,293.5612346,293.4390665,293.2934781,293.2009487,293.3281464,293.2388097,293.3653722,293.8766711,294.1600257,294.5076871,293.7817443,293.472161,293.2070556,294.0465753,293.9152841
46,291.1640653,292.1364851,292.0196551,292.3358168,291.3618426,291.9911121,292.0664311,292.1945082,291.4106798,291.7451219,291.9752852,291.4657604,292.0560771,291.8560423,292.3448438,292.7823489,292.2562745,291.9061746,291.4008555,292.2749701,291.9757834
47,292.8642298,293.4038492,293.4726275,293.4176943,293.1500093,293.4891495,293.3846037,293.3067632,292.8106851,293.1578646,293.5388919,293.2996569,293.3657217,293.486531,293.8699591,294.5673907,293.9255053,293.6890881,293.3270099,293.6248776,293.8283591
48,292.3452276,292.9557436,293.6888787,293.4402269,292.7884424,292.787537,293.1444063,292.9604604,292.9692416,293.0415381,292.789941,292.9842873,293.0225958,293.6850522,294.1493941,294.4074896,293.3145224,292.9490318,292.801129,293.9822106,293.6065015
49,294.9663202,295.3893543,295.9323898,295.8184145,294.9080687,295.2747871,295.1815569,295.439545,295.204032,295.0832341,294.9743465,295.2052066,295.5111943,295.9278055,296.3388996,296.5653812,295.8233651,295.2295458,295.2098362,295.8863412,295.8765191
50,292.24118,292.5579187,292.4301872,292.6703153,292.3618466,292.731582,292.5239526,292.5500422,292.1938916,292.2254106,292.741372,292.3635795,292.6642685,292.5663874,292.938203,293.4816027,293.3669142,292.8483851,292.4290412,292.6569558,293.0130955
51,292.1105914,292.5057907,292.8978736,292.9063949,292.6431686,292.9042339,292.7653624,292.8573204,292.4600291,292.3601362,292.5354734,292.357797,292.6310668,292.6497752,293.055797,293.1751336,292.9897562,292.623201,291.7611958,292.83727,292.6416543
52,291.7238545,292.363311,292.6209739,292.6226809,292.077391,292.167813,292.0553352,292.1998439,291.7754435,292.1364736,292.2200959,291.8213198,292.0684189,292.3520389,292.5617441,292.7578884,292.5164739,292.2147182,291.9763617,292.2083598,292.4364336
53,292.4494012,293.3242806,293.5358782,293.2263884,292.3804318,292.9132581,293.0902601,293.2970853,292.919319,292.9722937,292.8859726,292.4517753,292.9200934,293.3430779,293.7921098,294.1378861,293.1931444,293.1326546,293.0042673,293.6917731,293.1866574
54,292.2160196,292.9694416,293.3455949,293.2250621,292.8481802,293.054337,293.1387941,292.9551584,292.7875193,293.1339561,293.3548871,292.581562,293.0396714,293.2199972,293.2595382,293.6958166,293.3257557,293.096824,292.4181222,293.5212687,293.447539
55,293.1652807,293.7195894,293.6795624,293.6419493,293.263273,293.3749162,293.4198735,293.3977809,292.887667,293.27814,293.7227488,293.3188225,293.3784956,293.6433516,293.7746348,294.4170433,293.8549739,293.6709044,293.1761556,293.7467622,293.8742456
56,294.1544642,294.8395314,294.7568309,295.0223712,294.7854794,294.8942246,294.9170414,294.8045195,294.5363762,294.6332853,295.0402883,294.6981981,294.7363855,294.9314813,295.3591515,295.8246173,294.9328443,294.492594,294.0646719,294.7176807,294.723422
57,292.3794759,293.0175069,293.0998025,293.1971552,292.8785016,293.2021318,293.131709,293.3178369,292.8539777,292.9625586,292.9986422,292.6999807,292.8766265,292.9932185,293.0706354,293.5754701,293.2492069,292.9879159,292.2372299,293.0879685,293.1094802
58,292.2299252,292.7493844,292.8768241,293.060356,292.6179545,293.0669063,292.8875337,293.0367961,292.6584452,292.5605354,292.5721455,292.2509383,292.7336534,292.9578516,293.2305838,293.5469776,293.1247459,292.8610534,292.0260084,293.0723498,292.909335
59,294.1228142,294.7056505,294.7538677,294.8626205,294.6236407,295.2563593,294.7997153,294.8950721,294.3267592,294.628496,294.941187,294.641666,294.6708127,294.9980361,294.9326704,295.5580338,294.9917882,294.8229002,294.6146783,294.7250304,295.0111342
60,287.568371,287.8777787,288.3964537,288.3759029,288.174037,288.3591314,288.1754662,288.1910118,288.0697426,287.9717826,288.4656057,288.1172035,288.3655594,288.6186535,288.8110862,289.0739404,289.134914,288.8090001,288.4684399,288.8010026,289.0366409
61,292.9649019,293.8318991,294.2263327,293.9636488,293.1675563,293.305314,293.8107775,293.6282513,293.5963016,293.5385088,293.5181646,293.5419172,293.7383695,294.2038629,294.5384903,294.9535263,294.1250473,293.829605,293.7373785,294.6671565,294.3572907
62,291.8822712,292.2952974,292.2630845,292.3357653,292.3573107,292.4852137,292.4966699,292.6210862,292.2572116,291.9377984,292.7663907,292.3107696,292.550449,292.394078,292.4242276,293.0072485,292.8047674,292.81467,292.1456589,291.9876189,292.3353605
63,291.1609083,291.2766442,291.191168,291.4807014,291.1443557,291.547022,291.2223111,291.3671309,291.2501753,291.3230121,291.6000677,291.562308,291.4795637,291.087793,291.7521353,291.9983405,292.2686414,291.9550981,291.4503921,291.5595772,291.8351508
64,288.5765478,289.0597687,289.5298953,289.3813031,289.116995,289.3982646,289.269506,289.0986594,288.9374298,289.2002077,289.4198439,289.0274477,289.3205625,289.4380778,289.4943918,289.5505776,289.603252,289.4181275,289.009537,289.3324526,289.8514556
65,290.9508857,291.3853019,291.2469725,291.3498941,291.44634,291.7699159,291.7891181,291.8799435,291.5625838,291.3132634,291.8541209,291.4290372,291.6316116,291.585126,291.6076987,291.7471853,291.5646449,291.5622816,290.8842264,291.0075679,291.3334241
66,292.5740993,292.9488647,293.0472969,293.1145048,292.6605992,293.2964443,293.2677204,293.1964423,292.7253684,292.8977579,293.2930851,292.9344465,292.9008171,293.0655137,293.3187012,293.7878855,293.3236626,292.9304555,292.248288,292.9428084,293.1277973
67,289.2220319,289.610639,290.1117281,289.8287435,289.7130691,289.951101,289.9345257,289.7089031,289.5828685,289.7154512,290.1173252,289.7395191,290.0088065,289.9510945,290.1944444,290.5043477,290.4581687,290.0622885,289.8464825,290.2739631,290.4613711
68,289.9560843,290.2309286,290.1055003,290.4259414,290.0395399,290.4481186,290.0895056,290.2773937,290.1682122,290.0560797,290.5613604,290.3982429,290.2919793,290.141306,290.703615,290.820881,291.0325933,290.6859039,290.1679922,290.4956541,290.8121181
69,294.7596699,294.8731781,295.7491011,295.3381458,295.1469991,295.3648936,295.1922987,295.3764217,295.0252781,295.2440951,295.226513,295.0340273,295.1391006,295.4557501,295.8534712,296.1657996,295.398609,295.0375591,295.0608815,295.3513046,295.5225239
70,294.5803965,294.7005407,294.9056029,294.7175688,294.6147178,294.7828058,294.6553242,294.8606153,294.2775225,294.5965443,295.1594706,294.8696217,294.7528877,295.0566583,294.9953445,295.4529745,294.9560035,294.3971764,294.3833322,294.6426129,295.0141732
71,288.9162367,289.3952839,289.9008476,289.6740659,289.3440715,289.7461157,289.4652668,289.2277972,289.1701657,289.3995887,289.7095555,289.0786762,289.3947424,289.667257,289.7214179,290.0585599,289.859583,289.6086897,289.1897099,289.6321568,289.9059471
72,292.8931951,293.4818774,293.769419,293.8867505,293.1132708,293.5301122,293.5747523,293.6581609,293.6181981,293.5254952,293.814562,293.7842706,293.7151126,293.8960485,294.4950941,294.6702537,293.9999749,293.7889945,293.2995429,293.7596155,293.9617934
73,293.4077722,294.0040972,294.3123043,294.2117435,293.9638843,294.2449005,294.1031059,294.2867141,294.0286294,293.9994642,294.1770285,294.0259439,294.1289493,294.2572932,294.4688452,294.9101348,294.5536854,294.0901313,293.8548347,294.1218386,294.0965015
74,294.777481,295.5847805,295.4961353,295.7750673,295.1816394,295.6116099,295.5866586,295.3319733,294.953783,295.1421237,295.5501183,295.2441846,295.2647684,295.5006708,296.0014984,296.0345857,295.1902255,295.3387031,294.5525564,295.5854677,295.322788
75,291.3007191,291.7608391,291.7833644,291.8264349,291.3596273,291.9080967,291.8467164,291.8883766,291.4336193,291.6869577,292.0667468,291.6614264,291.7756268,291.8410076,292.0739375,292.373316,292.1428848,291.8564382,291.036955,291.8862242,291.8621161
76,293.3000517,293.766992,294.2961416,294.0413954,293.7673457,294.0110583,293.9042688,294.0451621,293.58179,293.9469706,294.0120895,293.617206,293.7964527,294.108584,294.4351601,294.8484884,294.1750109,293.7907903,293.6729756,294.0461009,294.1886118
77,287.6884602,288.0385494,288.3177115,288.3572349,287.7275389,287.9828558,288.1157306,287.833249,287.5936769,288.1116341,288.2825991,287.9441923,288.1489867,288.0520499,288.4677848,288.4906157,288.5828766,288.0930216,287.7375995,288.2616415,288.6011169
78,293.2305501,293.7198156,294.0389815,294.1332634,293.7221247,293.8559344,293.8438316,294.1429851,293.3856944,293.3842534,293.5706477,293.4988161,293.7017054,293.7461428,294.0907231,294.0986468,293.7812019,293.4389072,292.9401271,293.765461,293.6078905
79,288.9776787,289.6531166,290.1112072,289.7674121,289.174182,289.4450592,289.6224719,289.5517517,289.4868822,289.5673598,289.5433695,289.3039236,289.5063521,289.9128819,290.2928083,290.4725311,289.6323899,289.6377551,289.6094232,290.4008528,290.2575959
80,294.0553741,294.6114673,295.1147302,294.9501738,293.8142663,294.2063139,294.5079472,294.3229394,294.2978112,294.203235,294.243698,294.3872104,294.4667146,295.0262282,295.450107,295.6589097,294.8640311,294.5327678,294.3184281,295.3092039,295.0371376
81,291.8336403,292.3916832,293.1619068,293.0119908,292.5532977,293.1137824,292.7901583,292.6390824,292.2966951,292.2839538,292.7536817,292.5039326,292.7153006,292.9940668,293.49932,294.0525678,293.4673977,292.8871135,292.6838473,293.2291118,293.3270748
82,292.3967493,292.7006088,293.0626289,293.4104324,292.8701602,293.4698044,292.9787011,293.1326584,292.9166538,293.0211828,293.2541404,293.1532236,293.2226923,293.3694099,293.6463768,293.8837431,293.6079519,293.1315714,292.7004844,293.0998686,293.4145393
83,290.4072005,291.282203,291.2632282,291.4171754,290.7040325,291.1745039,291.2426127,291.2973857,290.8501297,290.8444922,291.262892,290.7568637,291.2624401,291.1399044,291.5914145,291.8519025,291.5564664,291.2422129,290.7571869,291.5870144,291.2049958
84,294.3363949,294.8570283,295.4916063,295.1784969,294.4763164,294.3331073,294.5058868,294.4569998,294.3884644,294.4611105,294.3110053,294.3310368,294.6724173,295.1866197,295.7999989,295.9982957,295.2271305,294.5618784,294.6004765,295.4205318,295.3284748
85,293.6586582,294.2591793,294.3538678,294.7287227,294.0275141,294.7778256,294.5738457,294.6408331,294.0907448,294.3287163,294.6964367,294.5074553,294.4437078,294.7324748,295.1859311,295.3028889,294.7689904,294.6046895,293.991405,294.7232037,294.6838068
86,292.9226926,293.5716027,293.7498795,294.013463,293.6348196,294.0462083,293.9119991,293.9197595,293.4533585,293.6118177,294.0043513,293.6771444,293.4989518,293.9090384,294.1096842,294.2967775,293.7585929,293.5001575,292.8432518,293.6306841,293.875497
87,294.2485262,295.2159061,295.2018855,295.4444413,295.0639883,295.3427549,295.3428204,295.0489638,294.792571,294.9644939,295.3239924,295.0691975,295.0718258,295.2001588,295.7142332,296.0843261,295.12186,294.9078799,294.3490176,295.3499921,295.0477068
88,294.761557,295.1448195,295.7884807,295.6666266,294.7029408,294.8565691,294.9599266,295.1330663,294.8826535,294.8718172,294.8529888,294.7997457,295.2825061,295.6839122,296.1522339,296.3352239,295.6423422,294.880662,295.0418468,295.7005589,295.6683295
89,291.1129323,291.3828256,292.0274209,291.7146491,291.5864977,291.6015141,291.6336411,291.5072697,291.1914742,291.6173593,291.7748531,291.3775747,291.6400566,291.8070516,292.0556784,292.3079136,291.8359016,291.4414031,291.4394978,291.7515424,292.0312888
90,293.3211124,293.8448498,294.0689607,293.7125895,293.5224037,293.8131506,293.7261955,293.8467414,293.7104591,293.7254719,293.890464,293.7749557,293.9390241,293.7971962,294.1782516,294.5901174,294.1455258,293.8836056,293.4928794,293.7399584,293.5245118
91,292.7889513,293.2745411,293.4308177,293.6266352,293.1296678,293.2521915,293.4993308,293.547319,293.166612,293.0243086,293.5142633,292.9381811,293.2134524,293.3456265,293.5447285,294.0459576,293.5523011,293.1763124,292.5385688,293.4302943,293.5595193
92,293.092811,293.584458,294.2033966,293.8956667,293.12772,293.1699493,293.5873289,293.4038605,293.3577827,293.3908256,293.2543831,293.2733452,293.5761553,293.8513176,294.4938295,294.7192624,293.7694718,293.6921632,293.5438027,294.3007674,294.1285629
93,290.8209293,291.2990936,291.7420025,291.7046146,291.1920517,291.4030457,291.4244839,291.2973853,291.270909,291.1602716,291.0426672,291.06888,291.4049571,291.977205,292.2393688,292.4662198,291.7949647,291.4044369,291.3417506,292.0606845,291.9305514
94,291.8797298,292.5107024,292.6940548,292.9068704,292.3064697,292.8370608,292.7993142,292.7999397,292.1233049,292.4694552,292.6255611,292.1052448,292.5672574,292.63505,292.8767667,293.3456097,293.0200092,292.4469889,291.8695719,292.815618,292.6970568
