gqid,modis_lst_mod11c3_006_night_annual_mean.2000.mean,modis_lst_mod11c3_006_night_annual_mean.2001.mean,modis_lst_mod11c3_006_night_annual_mean.2002.mean,modis_lst_mod11c3_006_night_annual_mean.2003.mean,modis_lst_mod11c3_006_night_annual_mean.2004.mean,modis_lst_mod11c3_006_night_annual_mean.2005.mean,modis_lst_mod11c3_006_night_annual_mean.2006.mean,modis_lst_mod11c3_006_night_annual_mean.2007.mean,modis_lst_mod11c3_006_night_annual_mean.2008.mean,modis_lst_mod11c3_006_night_annual_mean.2009.mean,modis_lst_mod11c3_006_night_annual_mean.2010.mean,modis_lst_mod11c3_006_night_annual_mean.2011.mean,modis_lst_mod11c3_006_night_annual_mean.2012.mean,modis_lst_mod11c3_006_night_annual_mean.2013.mean,modis_lst_mod11c3_006_night_annual_mean.2014.mean,modis_lst_mod11c3_006_night_annual_mean.2015.mean,modis_lst_mod11c3_006_night_annual_mean.2016.mean,modis_lst_mod11c3_006_night_annual_mean.2017.mean,modis_lst_mod11c3_006_night_annual_mean.2018.mean,modis_lst_mod11c3_006_night_annual_mean.2019.mean,modis_lst_mod11c3_006_night_annual_mean.2020.mean
115,290.088006,290.7495187,291.0693339,290.5272169,289.8189602,290.2343175,290.5473041,290.4092905,290.3049238,290.4621776,290.185333,289.9098963,290.1046431,290.3192973,290.7645689,291.0686108,290.2990852,290.3389214,290.3094093,291.0836998,290.9503603
116,291.7284332,292.4406063,292.5332047,292.4330427,291.8168915,292.2912639,292.5049301,292.2906012,292.0681869,292.1753954,292.2023313,292.0013316,292.2025032,292.4881537,292.8094964,292.9914425,292.5332646,292.4077021,291.7269558,292.6179382,292.5966972
117,290.6752054,291.0746098,291.6257786,291.5235547,291.060708,291.2424988,291.3050594,291.1800744,291.0246655,291.1111614,291.0683043,291.0533417,291.2581134,291.5467691,291.997061,292.1421078,291.6047802,291.4238466,290.9872556,291.7255675,291.674772
118,294.1491582,294.5053174,294.51844,294.6255788,294.4348668,294.5054671,294.3896477,294.5960358,294.1920728,294.290456,294.7515108,294.4123769,294.4674549,294.5881001,294.6944432,295.3195426,294.3737051,293.8638957,293.7295673,294.0774168,294.4102657
119,292.6073904,293.2789773,293.4969214,293.2463719,292.3755309,293.2703982,293.2072238,293.1684951,293.0753601,292.9707073,292.807617,292.5627932,293.1228223,293.296391,293.8164385,293.9993286,293.4339178,293.4342312,292.6702463,293.4839847,293.4282931
120,292.9603666,293.4540207,293.2845786,293.4673339,293.216097,293.5166744,293.4508904,293.5275058,292.8362977,292.8834596,293.5086326,293.0666788,293.335073,293.4500964,293.7255796,294.3703399,294.0832951,293.5942837,293.1709369,293.4154586,293.7615235
121,293.1100276,293.5541104,293.7876397,294.0397662,293.2518615,293.3729868,293.7427553,293.7804144,293.382517,293.3825893,293.4965308,293.2378523,293.5224907,293.697354,293.9885462,294.4119364,293.8894285,293.4099175,292.8844277,293.8927406,293.8754662
122,286.2914448,286.6548139,287.1677119,287.1188904,286.7285951,287.1216205,286.9634945,286.6694326,286.7343483,286.9200098,287.2807955,286.8874762,287.1971634,287.1547397,287.4845428,287.4632191,287.834824,287.4748278,287.1269033,287.5793703,287.8693955
123,293.582693,294.203014,294.2237297,294.4489025,293.9411463,294.2484111,294.2868212,294.5285968,294.0148594,294.0761708,294.2599865,293.7180211,294.1886299,294.3351183,294.4558248,294.8799025,294.280191,294.0149455,293.6313734,293.9750091,294.1696791
124,293.6816435,294.2107262,294.8243604,294.4573167,293.6693475,293.7227247,294.120279,293.8877992,293.9983447,293.8426751,293.8507218,293.9344053,294.0427659,294.5658368,295.0819747,295.2011476,294.6037348,294.1776091,293.9957145,294.8690822,294.6713555
