gqid,modis_lst_mod11c3_061_day_annual_mean.2001.mean,modis_lst_mod11c3_061_day_annual_mean.2002.mean,modis_lst_mod11c3_061_day_annual_mean.2003.mean,modis_lst_mod11c3_061_day_annual_mean.2004.mean,modis_lst_mod11c3_061_day_annual_mean.2005.mean,modis_lst_mod11c3_061_day_annual_mean.2006.mean,modis_lst_mod11c3_061_day_annual_mean.2007.mean,modis_lst_mod11c3_061_day_annual_mean.2008.mean,modis_lst_mod11c3_061_day_annual_mean.2009.mean,modis_lst_mod11c3_061_day_annual_mean.2010.mean,modis_lst_mod11c3_061_day_annual_mean.2011.mean,modis_lst_mod11c3_061_day_annual_mean.2012.mean,modis_lst_mod11c3_061_day_annual_mean.2013.mean,modis_lst_mod11c3_061_day_annual_mean.2014.mean,modis_lst_mod11c3_061_day_annual_mean.2015.mean,modis_lst_mod11c3_061_day_annual_mean.2016.mean,modis_lst_mod11c3_061_day_annual_mean.2017.mean,modis_lst_mod11c3_061_day_annual_mean.2018.mean,modis_lst_mod11c3_061_day_annual_mean.2019.mean,modis_lst_mod11c3_061_day_annual_mean.2020.mean,modis_lst_mod11c3_061_day_annual_mean.2021.mean,modis_lst_mod11c3_061_day_annual_mean.2022.mean,modis_lst_mod11c3_061_day_annual_mean.2023.mean
18,303.9270665,304.0449648,303.6490571,303.4456175,303.2943671,303.2209068,303.4246538,303.5366306,303.3429334,303.708211,303.7695257,303.4756808,304.0474928,304.9973865,305.2786357,303.4443848,302.7005998,303.5207848,304.5692384,304.2602001,304.1343774,303.1770212,304.2171066
19,304.9347205,305.1010965,303.248277,302.4195468,302.4374903,302.5249127,302.2940125,302.8372469,302.8069802,302.769729,303.208108,302.8382124,303.1482863,304.1052237,305.049198,303.3423851,302.3705529,303.880594,304.9804299,304.1746603,303.6104848,303.1108827,303.9285741
20,301.019125,301.8343228,301.2092541,300.9582153,300.8643624,301.1495645,300.5725129,301.0922208,300.5488477,300.470167,301.1070184,301.1761331,301.4175348,301.9649045,301.9749462,301.2764553,300.9123892,301.5128611,301.3945231,301.7831721,301.2947525,300.319532,300.5587142
21,301.0757543,300.9965487,300.743346,300.4629588,300.2838291,300.0561836,300.0705042,299.9697829,300.1220334,300.1208024,300.0073985,299.9567952,300.5277367,300.620776,301.3516909,300.4052678,300.4577332,300.4893644,300.7505005,300.8112813,300.5209639,300.1289892,299.8441539
22,301.8322555,301.5189921,302.0641817,301.3809112,301.6137754,301.7755298,301.5805766,301.4906504,301.7294161,301.6899045,301.55007,301.1300075,302.0708887,302.9058429,303.2557338,301.3920221,301.157322,301.1632605,302.8108917,302.2994226,301.8039968,301.1492684,301.7781779
23,299.8926304,300.0115336,299.5238377,298.9951268,299.4890068,299.5795451,299.630752,299.3937212,299.9116699,299.786831,299.7535598,299.7457406,299.6048668,300.0239217,300.3046038,299.727688,299.4730434,299.3697141,300.8530351,300.2577965,299.302206,299.1907757,299.7807489
24,302.0426157,302.2283143,302.1905541,300.7959064,300.9294627,301.3151163,301.5450281,301.1418443,301.3310302,300.8636445,301.3185183,301.7649197,301.866007,302.9671654,303.7858825,301.6549137,301.4253627,302.2099412,304.288903,302.8061407,301.5236609,301.678247,302.5344811
25,301.4393728,301.3927022,301.2773879,300.4749151,300.515409,300.8952387,300.9880989,300.4706093,300.8326449,300.4046171,300.6997376,300.9756067,300.8980837,301.7038341,302.3797492,300.9023871,300.6863709,301.0328394,302.7437654,302.0708328,301.0230038,300.8649411,301.5494112
26,305.0571836,305.5154196,304.9957979,303.6826822,303.3059048,303.3661819,304.3558824,303.0819829,304.2762528,303.9651044,303.3598945,303.0750076,304.2377522,304.500594,305.6206927,304.1346368,303.3118551,303.5370786,305.1284928,304.8754736,304.3630545,304.1928545,303.3588102
27,304.4756973,305.2704149,304.3139766,303.9737195,303.632719,304.033734,303.5019234,304.2700915,303.8109423,303.0338468,304.2269615,304.331958,304.6435794,305.1757131,306.515099,305.0720917,303.7654141,304.7460676,306.6469585,305.7847441,305.5449823,304.769802,305.0566887
28,298.0581349,297.8479505,297.4137574,296.9647105,297.2256047,297.2841654,297.1834981,297.0477984,297.2118757,297.0772286,296.9243605,297.1678133,297.0362271,297.8245109,298.1008043,297.5377594,297.0074141,297.1092605,298.3828923,297.9386596,297.1761607,296.8100905,297.4884789
29,302.2154525,301.9010492,301.0597556,300.8003997,301.2095876,301.5835147,301.5762244,301.2935833,301.3094948,301.3484535,301.7806201,301.3518732,301.3257085,301.9116557,302.0891689,301.731377,301.1695143,301.3778794,303.0928822,302.2056162,301.2536115,300.9767376,301.9009741
30,302.2737536,302.4261696,301.4851885,300.8649425,301.5142874,301.5615334,301.8524177,301.7431318,301.727368,301.9988964,301.8723847,301.6955421,301.5891832,301.9500304,303.0315905,301.5442836,301.2379399,301.2277736,303.4752842,302.2987706,301.4891133,301.3436757,302.5210926
31,300.8375599,300.5916286,300.6535195,299.9953131,300.8073101,300.4751803,300.4573838,300.5614175,300.5492112,301.0650418,301.0275611,300.1923652,300.7862244,300.944889,300.8720194,300.3554045,299.9993222,299.7435258,301.4974755,301.0743625,300.253683,300.0255278,300.8190209
32,303.6515377,303.8929068,301.811963,300.7916964,300.4083853,301.0978689,300.808714,301.6123456,301.5199141,301.0771577,301.6487219,301.452676,302.2803623,302.9846113,303.8388803,301.9955636,301.0145286,302.8108581,303.5765386,303.4651103,302.6057421,302.5484726,303.0297659
33,305.3780864,306.7884109,305.3438738,305.3156736,304.1419328,304.9735947,304.3896605,306.1926988,304.8490421,303.8903052,306.0345902,306.1382301,306.1038565,306.6061689,307.3553972,306.1955128,304.4576761,306.1288996,307.3567797,307.4826531,307.4432857,306.4120348,306.3190863
34,297.2142395,297.0823802,296.9187423,296.5967834,297.2686389,296.9968161,297.3601003,297.3882077,297.2693633,297.6325267,297.4793177,297.0135219,297.1348913,297.2219125,297.514012,297.2545307,296.8714497,296.4237775,297.709608,297.7631728,296.9665541,296.9217958,297.3525375
35,305.2930572,305.1893918,304.6052882,303.6993455,303.3851666,303.4675191,304.1848782,303.8042125,304.0405402,304.1283777,303.5443028,303.3382629,304.2050124,305.2891223,305.8508691,304.8133056,303.4144634,303.7138695,304.9950085,305.1176808,304.3465658,304.4742879,303.9347267
36,303.0743812,302.5328732,301.7529081,301.3723779,301.8005261,302.0616472,302.2316477,302.0929222,302.1519036,302.3327337,302.3917873,302.0830173,302.2317007,302.7790349,303.2605306,302.4426713,301.7973177,302.4753347,303.9199576,302.6901497,301.9376935,301.7527454,303.0285052
37,300.9237434,301.2060179,300.9353561,300.0017905,299.5794378,300.1127773,300.0652763,300.5492204,300.2112468,299.8875545,300.3113401,300.8094662,301.0665055,301.3821689,302.0534806,300.8623153,300.1266868,300.7044149,302.7295927,301.5993506,301.2145678,300.5709857,301.1854839
38,301.9996141,302.2358172,301.786015,301.7981598,301.9112855,301.642444,301.7048356,302.0122629,301.6245783,302.5110615,301.78091,301.7287019,302.2445119,302.8305263,303.0908484,301.7351222,301.4140764,301.827137,302.571395,302.4612742,302.4596961,301.8783046,302.6744689
