code,park,ent03,ent04,absolute variation
DOM-AZU,azua,1,1,0
DOM-BAN,baní,9,8,-1
DOM-BAR,barahona,3,2,-1
DOM-BAY,bayaguana,1,2,1
DOM-VIS,bella vista,0,1,0
DOM-BON,bonao,6,6,0
DOM-CIP,caribbean ind. park,11,13,2
DOM-CIB,cibernético,3,1,-2
DOM-COT,cotuí,2,3,1
DOM-CHE,chemtec,11,13,0
DOM-RAF,don rafael,1,1,0
DOM-SEI,el seibo,1,1,0
DOM-ESP,esperanza,10,10,0
DOM-EXC,excel boca chica,2,4,2
DOM-GLO,global,2,2,0
DOM-GUR,gurabo,5,6,1
DOM-HAI,hainamosa,12,9,-3
DOM-HAT,hato mayor,1,1,0
DOM-HAN,hato nuevo,2,2,0
DOM-HIG,higüey,1,1,0
DOM-CRI,itabo,25,32,7
DOM-JAI,jaibón,1,1,0
DOM-ARM,la armería,10,10,0
DOM-CAN,la canela,1,2,0
DOM-PAL,la palma,0,1,0
DOM-ROM,la romana i,12,12,0
DOM-RII,la romana ii,6,5,-1
DOM-VEG,la vega,32,30,-2
DOM-LAG,laguna prieta,1,1,0
DOM-LAS,las américas,18,22,4
DOM-ALC,los alcarrizos,18,17,-1
DOM-MIN,los mina,1,2,1
DOM-MOC,moca,11,11,0
DOM-MOI,montecristi,1,1,0
DOM-MUL,multimodal caucedo,1,4,3
DOM-NAV,navarrete,2,2,0
DOM-NIG,nigua,12,14,2
DOM-PAB,palmar abajo,1,1,0
DOM-PAM,palmarejo,5,5,0
DOM-PED,pedernales,1,1,0
DOM-PEV,pevisa,0,1,0
DOM-PIS,pisano,31,36,5
DOM-PON,pontezuela,1,1,0
DOM-PUE,puerto plata,11,10,-1
DOM-QUI,quisqueya,1,1,0
DOM-SAL,salcedo,3,3,0
DOM-FRA,san fco. de macorís,5,5,0
DOM-ISI,san isidro,40,42,2
DOM-MAC,san pedro de macorís,52,55,3
DOM-S12,santiago,83,83,0
DOM-JAN,santiago - jánico,2,2,0
DOM-SLI,santiago - licey,11,12,1
DOM-TAM,tamboril,5,5,0
DOM-ALT,villa altagracia,3,3,0
DOM-MEL,villa mella,3,5,2
DOM-ZOF,zofinma (mao),1,1,0
DOM-LUN,zona franca ind. luna,1,1,0
DOM-ZFE,zonas francas especiales,35,41,6
