park04, area04, buiilt04, ocu04, availa04
Azua,2227425.00,48563.00,32375.00,16188.00
Baní,10760000.00,419156.00,276442.00,142714.00
Barahona,2621625.00,498249.00,498249.00,0.00
Bayaguana,1346587.00,32356.00,32356.00,0.00
Bonao,2582400.00,392327.00,312735.00,79592.00
Caribbean Ind. Park,3000000.00,872000.00,872000.00,0.00
Chemtec,1257730.00,475000.00,415000.00,60000.00
Cibernético,3500000.00,100000.00,17035.00,82965.00
Cotuí,370961.00,56564.00,43941.00,12623.00
Don Rafael,191285.00,83928.00,83928.00,0.00
El Seibo,1203154.00,32374.00,32374.00,0.00
Esperanza,1500000.00,313705.00,313705.00,0.00
Excel Boca Chica,70000.00,39000.00,39000.00,0.00
Global,731180.00,199067.00,174738.00,24329.00
Gurabo,1179211.64,470107.00,411746.00,58361.00
Hainamosa,2152000.00,414600.00,293967.00,120633.00
Hato Mayor,506272.00,51846.00,39500.00,12346.00
Hato Nuevo,1353608.00,144147.00,117987.00,26160.00
Higuey,637788.00,78654.00,33886.00,44768.00
Itabo,4856703.00,1472545.00,1441239.00,31306.00
Jaibón,365463.00,75320.00,75320.00,0.00
La Armería,1416919.00,275783.00,275783.00,0.00
La Canela,333452.40,73000.00,73000.00,0.00
La Romana I,2690000.00,1128599.00,823990.00,304609.00
La Romana II,8070000.00,473949.00,287804.00,186145.00
La Vega,1469998.00,1116683.00,1116683.00,0.00
Laguna Prieta,183232.00,16000.00,16000.00,0.00
Las Américas,8072933.00,1136891.00,1136891.00,0.00
Los Alcarrizos,804337.00,563307.00,523307.00,40000.00
Los Mina,1353608.00,45892.00,45892.00,0.00
Luna,541571.00,32292.00,32292.00,0.00
Mao (Zofinma),4304000.00,38000.00,22000.00,16000.00
Moca,920583.00,493156.00,468213.00,24943.00
Montecristi,352648.00,48522.00,48522.00,0.00
Multimodal Caucedo,8661552.52,107600.00,107600.00,0.00
Navarrete,837386.00,200000.00,200000.00,0.00
Nigua,1946473.00,514668.00,363931.00,150737.00
Palmar Abajo,304078.00,121886.00,121886.00,0.00
Palmarejo,419135.00,134278.00,134278.00,0.00
Pedernales,145572.00,30401.00,30401.00,0.00
PISANO,6468000.00,841000.00,816730.00,24270.00
Pontezuela,84700.00,21000.00,21000.00,0.00
Puerto Plata,2762520.00,431740.00,418358.00,13382.00
Quisqueya,1692010.00,52125.00,52125.00,0.00
Salcedo,1363054.00,48563.00,48563.00,0.00
San Francisco de M.,1427817.00,180935.00,149470.00,31465.00
San Isidro,9267755.00,1164304.00,1083653.00,80651.00
San Pedro deM.,3584276.00,2439826.00,2341862.00,97964.00
Santiago,7453349.00,3661475.00,3549868.00,111607.00
Santiago-Jánico,1400000.00,200000.00,200000.00,0.00
Santiago-Licey,1129800.00,162000.00,142500.00,19500.00
Tamboril,910000.00,184879.00,184879.00,0.00
Villa Altagracia,2150800.00,239072.00,194592.00,44480.00
Villa Mella,6140882.00,367830.00,165145.00,202685.00
Z.F. Especiales,0,1311480.00,1311480.00,0.00
