park05, area05, buiilt05, ocu05, availa05
Baní, 10760000.00, 380148.00, 305886.00, 74262.00
Barahona, 2639955.00, 276405.00, 276405.00, 0.00
Bayaguana, 1949195.00, 32356.00, 32356.00, 0.00
Bella Vista, 24482003.22, 506796.00, 506796.00, 0.00
Bonao, 2582400.00, 500155.00, 444411.00, 55744.00
Caribbean Ind. Park, 3782500.00, 985000.00, 819312.00, 165688.00
Chemtec, 1257730.00, 493802.00, 478552.00, 15250.00
Cibernético, 3500000.00, 100000.00, 31035.00, 68965.00
Cotuí, 857916.00, 82965.00, 33186.00, 49779.00
Don Pedro, 290386.70, 26000.00, 26000.00, 0.00
El Seibo, 1581728.00, 48563.00, 32375.00, 16188.00
El Limonal, 236622.50, 40199.00, 40199.00, 0.00
Esperanza, 1500000.00, 531487.34, 446614.83, 84872.51
Excel Boca Chica, 154200.00, 39000.00, 39000.00, 0.00
Global, 731180.00, 199067.00, 151894.00, 47173.00
Gurabo, 1179211.64, 480874.66, 480874.66, 0.00
Hainamosa, 2152000.00, 481763.45, 391036.87, 90726.58
Hato Mayor, 505739.00, 55019.00, 55019.00, 0.00
Hato Nuevo, 393998.00, 133726.00, 133726.00, 0.00
Higüey, 637788.00, 78604.00, 45457.00, 33147.00
Itabo, 4856703.00, 1660774.00, 1660774.00, 0.00
Jaibón, 365463.00, 75320.00, 47000.00, 28320.00
La Armería, 1416919.00, 337529.00, 337529.00, 0.00
La Canela, 333452.40, 73000.00, 28000.00, 45000.00
La Hispaniola, 217000.00, 77635.00, 72635.00, 5000.00
La Palma, 121358.00, 63400.00, 23350.00, 40050.00
La Romana I, 12248097.78, 1128599.49, 496184.00, 632415.49
La Romana II, 10760000.00, 385000.00, 272804.00, 112196.00
La Vega, 3848081.00, 1208176.00, 1208176.00, 0.00
Laguna Prieta, 183232.00, 16000.00, 16000.00, 0.00
Las Américas, 12605238.00, 1406078.05, 1363211.42, 42866.63
Los Alcarrizos, 2314895.00, 563307.00, 526195.00, 37112.00
Los Mina, 270753.00, 15871.00, 15871.00, 0.00
Moca, 1838706.00, 512167.00, 512167.00, 0.00
Montecristi, 1117493.00, 64751.00, 64751.00, 0.00
Multimodal Caucedo, 8661552.52, 96302.00, 96302.00, 0.00
Navarrete, 837386.00, 200000.00, 111265.00, 88735.00
Nigua, 1946473.24, 546436.00, 393046.00, 153390.00
Palmar Abajo, 304078.00, 121886.00, 121886.00, 0.00
Palmarejo, 419135.00, 134278.00, 134278.00, 0.00
Pedernales, 145572.00, 30401.00, 30401.00, 0.00
PISANO, 6468000.00, 940057.72, 882580.82, 57476.90
Pontezuela, 84700.00, 21000.00, 21000.00, 0.00
Puerto Plata, 2762520.00, 444629.00, 171600.68, 273028.32
Salcedo, 1319768.00, 48563.00, 48563.00, 0.00
San Francisco de M., 1354738.00, 164584.00, 164584.00, 0.00
San Isidro, 9267755.00, 1188543.36, 1188543.36, 0.00
San Pedro de M., 11792115.00, 2431726.00, 2242404.00, 189322.00
Santiago, 7453349.00, 3705996.68, 3585213.68, 120783.00
Santiago-Jánico, 1452600.00, 200000.00, 200000.00, 0.00
Santiago-Licey, 1129800.00, 162000.00, 141000.00, 21000.00
Silver Key Park, 138804.00, 108771.00, 108771.00, 0.00
Tamboril, 910000.00, 216000.00, 171653.00, 44347.00
Villa Altagracia, 2150800.00, 255211.05, 168176.77, 87034.28
Villa Mella, 6104882.64, 364714.66, 364714.66, 0.00
ZOFINMA (Mao), 4304000.00, 38000.00, 22500.00, 15500.00
Zona Franca Ind. Luna, 541571.00, 80000.00, 32292.00, 47708.00
Zonas Francas Especiales, 2724895.00, 2724895.00, 0.00
