code,park,inv00,inv01,inv02,inv03,inv04,inv05,inv06,inv07,inv08,inv09,inv10,inv11,inv12,inv13,inv14,inv15,inv16,inv17,inv18,inv19
DOM-INF,,,,,,,,,,,,,,,,201930.5,201930.5,210000,200000,0,198750
DOM-INT,,,,,,,,,,,,45300000,46400000,46400000,15267843,5700000,5700000,7300000,7566384.8,0,16224923.92
DOM-ISI,San Isidro,66947689.9,80277740.85,80359019.37,88929794.99,119380624.7,146063919.8,144863643,149106646.7,133164130.9,127627579.5,138930602,160469275.9,173580748.7,193516526.9,267320687,209311735.1,185910845.6,202185055.7,0,261679250.1
DOM-JAI,Jaib—n,50000000,2907462,1000000,538782,538782,538782,2050000,1125000,,,,350000,350000,,,,,,,
DOM-JAN,Santiago - J‡nico,10200000,18605411,18042060,16141588.76,16141588.76,29218513.96,31297739,28167965.1,285600,4657734.25,11426448,5473432.9,15473775,17103479.83,17778662.4,19810494,22017101,20801502,0,
DOM-JOB,,,,,,,,,,,,,,,,,235000,6534700,7240708.9,0,7435708.89
DOM-KEP,,,,,,,5616428,5256428,,,,,,,,,,,,,
DOM-KGC,,,,,,,,,,,,,,,,2658123.3,2691026.9,1378419,1378419,0,1378419
DOM-LAG,Laguna Prieta,1375000,1500000,1290526,1290526,1000000,1000000,1000000,250000,,,,,,,,,,,,
DOM-LAS,Las AmŽricas,106989708,129646562,135824379.2,139389061.7,185309783.6,181067451.1,197337263,184298723.9,368203479.7,410015315.9,393617488.6,357020442.4,342177049.4,405978614.9,356027384.7,333853320.5,383936907.5,460575569.7,0,741390516.2
DOM-LEO,,,,,,,,,,,,,,,,,,,,1,6312378.13
DOM-LIM,,,,,,,3816492.03,4198206.6,4049887.1,2848669.88,3777074.21,5526995.41,5087227.7,5087227.7,5396532.18,7409162,3586845.4,5604124.68,4532656.9,0,12057849.96
DOM-LUN,,,365114,1000000,1064600,1361523.24,398333.33,375874,300000,,,,,,,,,,,,
DOM-MAC,San Pedro de Macor’s,83818075.57,77047150.49,69008769.12,83843844,100904818.5,106283114,104410800.5,117742843.3,98933247.8,110444428.2,105633982.4,117392030.2,133914998.3,125926492.5,148635877.4,288228578.3,306711790.8,191457870.4,0,181789419.4
DOM-MAI,,,,,,,,,,,,,,,,,390000,2149200,1854005.5,0,2763779.29
DOM-MEL,Villa Mella,33528000,32130784,9791777,13650000,14102621.34,8624705.4,12626748.12,3515124.09,8685092.14,11636577.68,9026248.52,10109835.7,7569908.06,15267810.99,15926641.2,16124936.1,16910749.48,13914713.4,0,20371964.3
DOM-MIN,Los Minas,2223428,2463428,2694942.2,2694942,549949,1300000,1310000,290000,310000,310000,,,,,,,,,,
DOM-MOC,Moca,20417613.51,22788310.31,23064181.66,19375638.58,21035018.44,15318517.88,18295503.41,11104546.94,12960052.24,12862324.05,21420726.14,19610193.8,9765436.56,9242927.02,12577321.8,11770957.9,17494945.85,15685783,0,41711918.98
