code,park,ent01,ent02,variation
DOM-AZU,azua,1,1,0
DOM-BAN,baní,11,9,-18.2
DOM-BAR,barahona,3,3,0
DOM-BAY,bayaguana,2,1,-50
DOM-BON,bonao,7,6,-14.3
DOM-CIP,caribbean ind. park,14,13,-7.1
DOM-CIB,cibernético,1,3,200
DOM-COT,cotuí,3,3,0
DOM-CHE,chemtec,10,9,-10
DOM-RAF,don rafael,0,1,100
DOM-SEI,el seibo,1,1,0
DOM-ESP,esperanza,9,9,0
DOM-EXC,excel boca chica,2,2,0
DOM-GLO,global,3,2,-33.3
DOM-GUR,gurabo,3,3,0
DOM-HAI,hainamosa,12,13,8.3
DOM-HAT,hato mayor,2,1,-50
DOM-HAN,hato nuevo,1,2,100
DOM-HIG,higuey,3,2,-33.3
DOM-CRI,itabo,23,24,4.3
DOM-JAI,jaibón,1,1,0
DOM-ARM,la armería,9,11,22.2
DOM-ROM,la romana i,19,15,-21.1
DOM-RII,la romana ii,6,7,16.7
DOM-VEG,la vega,28,32,14.3
DOM-LAG,laguna prieta,1,1,0
DOM-LAS,las américas,20,21,5
DOM-ALC,los alcarrizos,17,14,-17.6
DOM-MIN,los mina,1,1,0
DOM-MOC,moca,12,12,0
DOM-MOI,montecristi,1,2,100
DOM-MUL,multimodal caucedo,0,1,100
DOM-NAV,navarrete,2,2,0
DOM-NIG,nigua,16,12,-25
DOM-PAB,palmar abajo,1,1,0
DOM-PAM,palmarejo,3,3,0
DOM-PED,pedernales,1,1,0
DOM-PIS,pisano,26,31,19.2
DOM-PON,pontezuela,1,1,0
DOM-PUE,puerto plata,11,12,9.1
DOM-SAL,salcedo,1,1,0
DOM-FRA,san fco. de macorís,6,5,-16.7
DOM-ISI,san isidro,36,37,2.8
DOM-MAC,san pedro de macorís,54,49,-9.3
DOM-S12,santiago i y ii,79,84,6.3
DOM-JAN,santiago jánico,3,2,-33.3
DOM-SLI,santiago licey,7,9,28.6
DOM-TAM,tamboril,1,2,100
DOM-ALT,villa altagracia,2,3,50
DOM-MEL,villa mella,2,3,50
DOM-ZOF,zofinma (mao),1,1,0
DOM-LUN,zona franca industrial luna,1,1,0
DOM-QUI,zona franca industrial quisqueya,1,1,0
DOM-ZFE,z.f. especiales,31,33,6.5
