year,total_sol,urban_sol,agriculture_sol,city,cityCode
2001,285.2293656671749,66.83927202224731,2.674269437789917,Constanza,0
2001,45.386201967445075,11.56604260556838,15.468696615275215,Sabana De La Mar,1
2001,168.53644776250803,105.37372122465396,0.22015588049795112,Moca,2
2001,47.57092905044556,31.460103034973145,9.821133017539978,Bayaguana,3
2001,15.291000843048096,0.0,6.68624484539032,El Factor,4
2001,1078.1665810182983,928.4077768325806,46.61125407966913,San Francisco De Macorís,5
2001,1102.8493005621667,699.6196175556556,85.90910284986683,Puerto Plata,6
2001,0.0,0.0,0.0,Jamao Al Norte,7
2001,10.020977885582868,3.0905795097351074,0.0,Las Matas de Santa Cruz,8
2001,19.735811591148376,8.009748101234436,8.011572360992432,Jimaní,9
2001,489.54753687288246,406.7228393082525,45.91872835159302,Baní,10
2001,135.04957976808734,106.48417991095896,16.65624919872658,Villa Hermosa,11
2001,6.867600917816162,3.5651724338531494,1.0048478841781616,El Cercado,12
2001,2.4661840420143277,0.0,2.1263378451852235,Eugenio María De Hostos,13
2001,0.0,0.0,0.0,Bohechío,14
2001,5.1803532955693266,0.0,5.1803532955693266,Arenoso,15
2001,5.058575306219213,3.6552381852093863,1.4033371210098267,Tábara Arriba,16
2001,46.19633093441234,31.681451826937057,12.131299018859863,Vicente Noble,17
2001,54.51385545730591,25.33395767211914,29.179897785186768,Consuelo,18
2001,508.3834531971054,99.32959790977777,14.512360845360101,Puñal,19
2001,0.0,0.0,0.0,Juan Santiago,20
2001,0.0,0.0,0.0,La Descubierta,21
2001,663.2919999337664,457.84518195881554,57.6268208101684,Boca Chica,22
2001,16.74975930849711,6.077235817909241,1.094085693359375,Tenares,23
2001,30.146036472040066,0.0,15.348741162991992,Villa Montellano,24
2001,323.09497026602423,101.84021659411636,19.59702878045101,Sosúa,25
2001,2.741686340406829,0.9343705934636733,0.7706863085428873,Las Charcas,26
2001,14.66769826412201,7.731865286827087,2.3930814266204834,Castañuelas,27
2001,158.23446612778832,60.588841915130615,7.88620388507843,Jarabacoa,28
2001,0.0,0.0,0.0,Jima Abajo,29
2001,32.461320996284485,16.192434310913086,5.160668730735779,Pimentel,30
2001,8.845359921455383,0.0,1.2643768787384033,Yamasá,31
2001,1.6266651709874471,0.0,0.0,Sabana Iglesia,32
2001,43.05105042410832,26.415278642317826,16.63577178179049,Dajabón,33
2001,0.0,0.0,0.0,Los Cacaos,34
2001,2.2291359485364426,0.013492222393260282,0.0,El Peñón,35
2001,10.67131233215332,7.434025049209595,0.0,Fantino,36
2001,0.0,0.0,0.0,Guananico,37
2001,89.41794574260712,66.80221974849701,11.86260437965393,Hato Mayor,38
2001,232.87090552320666,89.55708708482629,0.5272139941944796,Tamboril,39
2001,0.0,0.0,0.0,Miches,40
2001,38.79241108894348,17.309866428375244,7.5129358768463135,Monte Plata,41
2001,8.986678719520569,0.0,8.986678719520569,Oviedo,42
2001,0.0,0.0,0.0,El Llano,43
2001,67.68585927346173,4.150331974029541,53.500549028901496,Guaymate,44
2001,12.071521997451782,4.842902660369873,0.0,Los Hidalgos,45
2001,73.14453517128439,19.436084866523743,0.0,Maimón,46
2001,28.391356473343045,7.873910773969164,4.076598167419434,Mella,47
2001,6.554295301437378,2.047877311706543,0.0,Monción,48
2001,45.540871052648505,39.960299372673035,1.4816635847091675,Monte Cristi,49
2001,31.638456225395203,31.638456225395203,0.0,Neiba,50
2001,36.03718554973602,23.65817403793335,8.357925415039062,Sabana Grande De Boyá,51
2001,3.4478538036346436,0.0,2.1618231534957886,Las Yayas De Viajama,52
2001,134.98339879559532,22.646905064582825,0.0,Licey Al Medio,53
2001,54.590819358825684,0.0,44.66576445102692,Las Guáranas,54
2001,19.583031148069047,16.8696356717278,0.0,Las Salinas,55
2001,1039.8344868159763,759.7717254610625,60.44752914952297,Bajos de Haina,56
2001,13.151841565206938,1.2200733423233032,0.9847432781668269,Castillo,57
2001,0.0,0.0,0.0,Cevicos,58
2001,0.04899492824778837,0.04899492824778837,0.0,Cristóbal,59
2001,0.0,0.0,0.0,Hondo Valle,60
2001,29.799023628234863,10.944356679916382,4.164455533027649,Imbert,61
2001,0.0,0.0,0.0,La Ciénaga,62
2001,0.0,0.0,0.0,Los Ríos,63
2001,4.978807091712952,0.0,1.2348577976226807,Padre Las Casas,64
2001,0.0,0.0,0.0,Paraíso,65
2001,378.56053484982135,52.5098327996684,143.42939798878692,Pedro Brand,66
2001,0.0,0.0,0.0,Peralta,67
2001,2.448776602745056,0.0,0.0,Postrer Río,68
2001,5.022590703122756,1.5518277420717126,2.35246180786806,Pueblo Viejo,69
2001,0.0,0.0,0.0,Sabana Grande de Palenque,70
2001,258.6453888173197,219.26176864165888,39.38362017566082,San Juan,71
2001,1267.4416805720798,938.3624636939928,200.52250488786137,San Pedro De Macorís,72
2001,26.541898057975022,2.501612901687622,4.858575940132141,San Rafael Del Yuma,73
2001,9703.986743788626,9576.98658802743,43.06942955232134,Santo Domingo De Guzmán,74
2001,79.60104274749756,42.04598522186279,1.6842560768127441,Villa Altagracia,75
2001,353.01242476631614,341.0799851880354,11.932439578280729,Azua,76
2001,2.666501441656375,1.6527939029768404,0.0,Sabana Larga,77
2001,29.033419171501606,15.579210836747112,6.398041252061432,Sánchez,78
2001,49.29259896278381,27.8420387506485,10.796930313110352,San José De Las Matas,79
2001,15.109012302230386,7.039699077606201,6.71506130695343,Luperón,80
2001,23.541328191757202,11.79581868648529,11.745509505271912,Comendador,81
2001,33.519020438194275,20.225945353507996,9.265972375869751,Los Llanos,82
