cityCode,city,agr_2001,agr_2002,agr_2003,agr_2004,agr_2005,agr_2006,agr_2007,agr_2008,agr_2009,agr_2010,agr_2011,agr_2012,agr_2013,agr_2014,agr_2015,agr_2016,agr_2017,agr_2018,agr_2019,agr_2020,agr_2021,agr_2022
0,Constanza,2.674269437789917,27.453989505767822,14.732138633728027,9.881091713905334,7.833732724189758,7.24082612991333,16.86723506450653,6.381714463233948,10.027663469314575,6.254795670509338,7.448339939117432,12.852072834968569,87.50878405570984,108.4086983203888,164.6080836057663,122.7180427312851,109.38673734664916,102.53999936580658,97.33500051498412,96.60500156879424,83.08000063896179,72.76999938488007
1,Sabana De La Mar,15.468696615275215,14.220346115617192,5.63025689125061,3.274690628051758,5.15625462251551,6.368514442443848,5.074967474095962,3.754981130712173,3.0541561351102944,2.4202277660369873,6.970269685633042,5.922412395477295,17.032774090766907,19.667319758733115,16.969429397583006,13.876731888453165,12.577224699656169,15.29866635799408,11.568999354044596,17.711333258946738,22.069332885742188,27.401411675004397
2,Moca,0.2201558804979511,7.948810815811157,6.868947709775439,5.025132894515991,1.0485644508810603,0.0,0.0,0.0,0.0,0.0,0.0,2.8909654168521657,4.652128257003485,12.44828441283282,15.070581164079554,12.20258518293792,0.0,0.0,7.342313675786935,0.0,23.874078522476495,83.61425595003016
3,Bayaguana,9.821133017539978,12.984265565872192,9.67062211036682,2.036038637161255,4.084682941436768,1.1389858722686768,0.0,1.0286885499954224,0.0,0.0,0.0,9.093546390533447,28.502583980560303,30.20304298400879,14.83078944683075,33.8339546918869,71.20236575603485,56.06000065803528,53.9730598042993,61.63999938964844,75.50500059127808,76.20999956130981
4,El Factor,6.68624484539032,15.398513078689575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.29761040210724,17.29761040210724,33.70429015159607,34.44470810890198,33.535980582237244,34.847283124923706,65.79972206143772,62.424039290933045,72.3459808732949,105.7635889894822,164.6575681144116,300.40088282893686
5,San Francisco De Macorís,46.61125407966913,164.2557985315136,21.057088255882263,28.61351227760315,7.355197191238403,3.0529274940490723,0.0,0.0,6.994961929321289,4.6074151515960695,21.136011673889907,54.456918422848574,73.62238354869918,77.1100149678249,98.16893461825802,69.48284222658941,185.7277176983216,162.38713710214577,139.09552971709007,169.2141759110432,248.38425539568357,354.47550628185274
6,Puerto Plata,85.90910284986683,108.26110982614404,57.57616385805841,25.46116180186178,26.61578126514659,35.860481778780624,25.011405844781912,30.550495137420352,16.28697773709017,16.761456468058565,30.211189696835536,22.087192376454674,33.74093257679659,39.59285619025137,51.983355228573664,39.92162326550951,47.87181397980335,143.0463919508691,178.569001568065,276.5396302400851,220.15439509316985,228.6928850412369
7,Jamao Al Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Las Matas de Santa Cruz,0.0,0.0,0.0,0.0,1.0342260599136353,0.0,3.5765790939331055,1.3266593217849731,1.3266593217849731,0.0,14.742305761225085,14.697052484400132,34.11984100248299,33.34678170073266,13.18463676630282,17.638320670408362,35.02931742340911,33.05278442560458,29.747078492127212,8.899254915293525,51.7747447457968,89.83117667693716
9,Jimaní,8.011572360992432,3.548555374145508,15.406115412712095,6.39312732219696,11.6875981092453,5.764914035797119,6.841535449028015,17.34990894794464,19.79060173034668,36.14598572254181,29.693461179733276,24.609743475914,37.51548678313985,184.5853935251049,130.75019544433144,189.7353085588006,188.81061736929652,151.42964716191386,128.6831178188324,160.50211859403873,174.63121548867696,123.6421182796067
10,Baní,45.91872835159302,68.84311640870338,62.40091481115304,18.77547526359558,30.456478238105777,33.46311342716217,33.50827753543854,27.821862936019897,41.699106335639954,18.641440391540527,31.647602509049808,111.54999621942932,196.5446758817224,243.68354310147905,569.5853602554284,329.4159846310522,518.2141089509515,423.6454857863632,314.3512747610316,702.8616655588149,741.8869446815229,788.1199575326023
11,Villa Hermosa,16.65624919872658,15.509365116848665,7.645372211231905,1.764759272220088,1.9562371833651673,13.145884861198123,2.207883827826556,4.083509599928763,4.898481826688728,30.876512558319988,8.732351950103162,164.88502119101727,444.8121076004178,432.5468320042479,466.0152463711945,503.9315788418639,442.1837589446236,510.0223530736624,437.99192299048104,499.5880634008669,463.54537145717467,412.40639537128743
12,El Cercado,1.0048478841781616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.240068793296814,3.240068793296814,71.34910535812378,71.7018735408783,118.84918320178986,127.6907798051834,113.62600906596464,151.4818606563643,199.0702449980904,164.97247046442592,142.84496065401564,148.19896097790962,163.69209687242324,124.50849081815458
13,Eugenio María De Hostos,2.1263378451852235,1.2631193048813762,0.0493584071888643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Bohechío,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.821377616770128,15.760501042534322,7.329292193581076,2.322622060775757,19.94136428833008,13.55372416973114,13.85379695892334,21.260175228118896,24.6794171333313,16.465685804684956,8.972646935313357,23.81533319529365,23.446960957845057,27.777744884584465
15,Arenoso,5.1803532955693266,0.5092938661575317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0047807693481443,1.0047807693481443,3.817922711372375,4.479664607141532,9.82000721763162,5.81504038548937,10.600277242473528,22.746466801213284,23.84011751763961,19.95898031393687,33.08366630498101,64.32633323201945,124.14760759998774
