cityCode,city,urb_2001,urb_2002,urb_2003,urb_2004,urb_2005,urb_2006,urb_2007,urb_2008,urb_2009,urb_2010,urb_2011,urb_2012,urb_2013,urb_2014,urb_2015,urb_2016,urb_2017,urb_2018,urb_2019,urb_2020,urb_2021,urb_2022
0,Constanza,66.83927202224731,95.21557998657228,85.0053448677063,27.392029762268063,14.829781413078308,25.52305841445923,15.93795394897461,8.982619643211365,25.73508310317993,27.03232538700104,17.504557013511658,15.57232904434204,132.58063995838165,200.2157015800476,311.57743883132935,248.01179599761963,280.9929401874542,264.1099998950958,305.4700026512146,287.2649998664856,292.03499937057495,244.94499945640564
1,Sabana De La Mar,11.56604260556838,12.602829519440146,11.850144091774435,10.693829293812025,10.693829293812025,15.055888111451091,12.282425776649925,4.489449935800889,1.2452465211643893,0.0,6.30736491539899,9.241848205117618,31.393263339996334,33.130852699279785,32.531715869903564,28.56908369064331,28.555156707763672,31.55999994277954,37.73500061035156,46.11000061035156,50.64500045776367,55.09923531027401
2,Moca,105.37372122465396,247.38360178423864,229.6144946874357,217.820727148243,108.8423151287378,181.80962610478497,110.03279599068212,121.17534471119151,129.26410225606432,110.68038636001886,246.30297967826615,339.4820670282139,416.7813109136095,601.7025839066973,659.881378923678,628.8577440514283,681.5590117248836,643.02960636382,657.0110179714128,609.6009653147529,683.1087490324882,894.0751357826532
3,Bayaguana,31.460103034973145,94.73444211483002,54.2981561422348,31.768006801605225,23.9080011844635,26.304935216903687,12.111395597457886,16.95263683795929,8.278503894805908,14.928845405578612,87.04148030281067,38.85703110694885,33.576950669288635,35.629387617111206,26.26791620254517,50.676695108413696,74.92545080184937,67.20999813079834,64.22499990463257,52.88500022888184,62.11000156402588,116.83500146865843
4,El Factor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,San Francisco De Macorís,928.4077768325806,1111.5157804489136,646.5253622531891,706.1863354444504,1018.5371848344804,1617.1221868991852,1116.6751606464386,950.022626042366,727.1921582221985,428.5085092782974,1015.2079451084136,1550.6375782489777,1097.6529250144958,1259.4349255561829,1580.7716331481934,1507.3382654190063,1584.944818019867,1765.1100053787231,2022.7449946403503,2051.4649839401245,2178.8800020217896,2593.665017604828
6,Puerto Plata,699.6196175556556,681.1537192933699,532.9886865896337,333.6056113430098,504.3788522673588,885.1713761086557,777.758085937126,559.1358422905791,319.4833058768628,291.1892868271061,993.3107991471012,1247.38413940972,1673.3576976177735,1774.0392534704768,1982.6554564532112,2058.9947698518345,1994.691496553608,2271.1639032550884,2380.9850087408927,2041.2642754311655,2301.3503286698287,2294.6375967437143
7,Jamao Al Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Las Matas de Santa Cruz,3.0905795097351074,0.0,1.040320873260498,2.9168044328689575,2.9168044328689575,0.0,0.0,1.1323553323745728,0.0,0.0,0.0,0.0,30.12735652923584,32.702890396118164,31.501192569732662,30.40305805206299,31.109058380126953,35.510000228881836,47.5600004196167,65.50999927520752,104.2350025177002,78.11499977111816
9,Jimaní,8.009748101234436,0.0,9.571744918823242,2.8613005876541138,12.716733574867249,6.15526819229126,1.6791715621948242,1.6791715621948242,1.6791715621948242,9.960268378257751,9.960268378257751,18.827974915504456,33.61127758026123,38.44674110412598,39.81997036933899,31.922046184539795,44.47261357307434,45.079999923706055,49.50499975681305,49.37999868392944,68.77999973297119,70.52000212669373
10,Baní,406.7228393082525,559.327975193192,487.4751949805839,238.63393119924208,244.80172049999237,300.8148014704386,196.3798038973528,241.0090290322023,295.49131298065186,145.1288561820984,393.7625558806401,769.1563412030538,936.0377355898128,1063.5487015911176,1134.7263519773296,1057.526800671278,1093.6487041155497,1114.7271772543588,1188.8088650128425,1382.87584492833,1678.7671216586057,1984.657936095724
11,Villa Hermosa,106.48417991095896,99.86420229135774,208.12197951148545,157.34622112161975,101.96912461682862,146.09350595614492,97.77510711679273,100.95170034287024,53.33211070369271,83.27099438321358,131.1969902931475,628.5799727299634,888.1861780185326,847.8689401514391,874.7810276181087,869.4082944458607,837.3459083229885,935.2624796437282,834.0651123439565,848.1252952182992,933.1489432204004,1020.6657475938983
12,El Cercado,3.5651724338531494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.68101501464844,46.29173183441162,51.84045696258545,52.01125907897949,49.26905584335327,50.52256727218628,58.4769606590271,62.02000045776367,51.484999656677246,40.93999910354614,35.68000030517578,30.449999809265137
13,Eugenio María De Hostos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Bohechío,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51348614692688,1.570189356803894,1.1293034553527832,1.1293034553527832,3.125503420829773,1.383030891418457,1.374565362930298,2.0997960567474365,2.18973159790039,2.690000057220459,2.1100001335144043,1.2899999618530271,1.4149999618530271,0.0
15,Arenoso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
