code,park,op09,op10,tec19,tec10
DOM-AND,Andrs,1945,0,3514,3675.25
DOM-BAN,Ban,1496.4,1569.25,3268,3412.46
DOM-BAR,Barahona,1247,1700,1500,4000
DOM-VIS,Bella Vista,3121,3000,4615,5375
DOM-BON,Bonao,1590.62,1453.71,3657.67,2247.73
DOM-CIP,Caribbean Ind. Park,1854.56,2030.66,3911.5,4211.68
DOM-CHE,Chemtec,1262.56,1450.51,3208,3893.67
DOM-CIB,Ciberntico,3032.61,1385.5,3968.06,4120.83
DOM-DOS,Dos Rios,3272,3509,6742.75,8074
DOM-LIM,El Limonal,1600,2050,4098,3903
DOM-SEI,El Seibo,1450,1450,4500,4500
DOM-ESP,Esperanza,1869.03,1917.25,3853.29,3441.63
DOM-EXC,Excel Boca Chica,2671.81,2700,8998.95,3471.13
DOM-GUR,Gurabo,1717.97,1828.33,3135,3744.29
DOM-HAI,Hainamosa,1554.41,1834.07,2986.77,4000.13
DOM-HAN,Hato Nuevo,1736.16,1833.42,2989.32,3770.4
DOM-CRI,San Cristbal (Itabo),1722.94,1796.64,3984.55,3837.91
DOM-INT,Interexport Free Zone,0,1475,0,3600
DOM-ARM,La Armera,2272.3,1833.9,3551.6,3893.25
DOM-HIS,La Hispaniola,2551,1172.48,4852,0
DOM-PAL,La Palma,1730,1735.02,3175,3566.67
DOM-ROM,La Romana I,1431.89,1728.7,3077.28,3043.14
DOM-RII,La Romana II,1410.33,1515.49,3900,4562.5
DOM-VEG,La Vega,1329.78,1466.29,3021.27,3190.84
DOM-LAS,Las Amricas,1660.91,1690.91,4126.97,4124.22
DOM-ALC,Los Alcarrizos,1779.23,1741.88,4073.59,3389.04
DOM-MOC,Moca,1286.37,1345.69,2597.37,2684.83
DOM-MUL,Multimodal Caucedo,0,0,5600,4550
DOM-MUT,Multiparques,3604.42,3275.69,6245.15,5208.32
DOM-NAV,Navarrete,1562.5,1387.66,3050,2367
DOM-NIG,Nigua,1426.27,1673.94,3938.89,4336.58
DOM-PAB,Palmar Abajo,1975,2432,2575,0
DOM-PAM,Palmarejo,1980.75,1960.2,2872.78,2862.6
DOM-PED,Pedernales,1000,1154,2800,2770
DOM-PIS,PISANO,2399.19,2128.84,3895.39,4501.11
DOM-PER,PERLAV,0,3098,0,5623
DOM-PUE,Puerto Plata,1496.51,1836.5,3064.38,3522.93
DOM-SAL,Salcedo,1225,1200,1850,0
DOM-FRA,San Fco. De Macoris,1247,1246.15,2000,2500
DOM-ISI,San Isidro,1926.93,2235,4410.48,4981.44
DOM-MAC,San Pedro de Macoris,1525.7,1676.7,3274.26,3625.8
DOM-S12,Santiago,1724.54,1835.03,3658.52,3328.56
DOM-JAN,Santiago- Janico,1630,1615,4350,4650
DOM-SLI,Parque Tecnolgico de Santiago,1627.6,1546.42,3085.71,2990.04
DOM-YAQ,Parque Ind. y de Servicios Yaque,0,1448.41,0,3439.6
DOM-TAM,Tamboril,2533.26,1986.5,2962.75,3116.93
DOM-ALT,Villa Altagracia,1379.75,1506.13,4079.53,2903.04
DOM-MEL,Villa Mella,1652.5,1223.33,2550,3474.33 sal_op09-10
