id,shapeName,ntl_2000,ntl_2001,ntl_2002,ntl_2003,ntl_2004,ntl_2005,ntl_2006,ntl_2007,ntl_2008,ntl_2009,ntl_2010,ntl_2011,ntl_2012,ntl_2013,ntl_2014,ntl_2015,ntl_2016,ntl_2017,ntl_2018,ntl_2019,ntl_2020,ntl_2021,ntl_2022
0,Constanza,0.0494568616662675,0.0789254245796791,0.1023290310418241,0.0702048485808366,0.0667279988315571,0.056931505116479,0.0797262404670816,0.0816654768019108,0.0542350866721558,0.068892103759209,0.0472126013999426,0.1252281057790604,0.0447647585668894,0.1637172266096266,0.199234955598368,0.2752657648078984,0.2614236497757483,0.2664720194512998,0.2418475760079151,0.3132753759706526,0.4520586938381415,0.507186744473056,0.4942879425411968
1,Sabana De La Mar,0.0120130130855557,0.0209213876300839,0.0329373361027879,0.0127454092953542,0.0294672361348173,0.0131545585899854,0.0181638823359268,0.0134620999662999,0.0085315693329614,0.0178129412764148,0.0103224934741767,0.0214074050614354,0.010506970084538,0.052045465649383,0.0584129103412698,0.0647335602983006,0.0548294174381316,0.0595398586011273,0.0735725113083546,0.0802471331756625,0.0841664672076104,0.10099707667143,0.1070751957138949
2,Moca,0.2182822984004715,0.2038138230957519,0.5510703999586549,0.4653030808248981,0.4563239529315978,0.2316953563861143,0.3398286431161008,0.2214900963913477,0.2681255906956402,0.3596534580517352,0.2481764373701143,0.5974185182405987,0.6897847227474873,1.51430462995215,1.8993125118368663,2.0905711201172736,2.0520553562130956,2.4504573172880293,2.539096290403213,2.9353290462557498,2.9954907281129115,3.625937048844142,4.142743409660544
3,Bayaguana,0.0082296929370224,0.0128185996044323,0.0530924062015173,0.0270367758276751,0.0187022362768103,0.0094612343324383,0.0107579851946595,0.00451978044254,0.0071368573680095,0.0047432956836774,0.0110971892534842,0.0897291815503743,0.0183447319776646,0.0275394701232091,0.028920611721875,0.019717312534198,0.0474367757826331,0.071558819198773,0.0655493793685841,0.066804922024718,0.0686143404842843,0.0999637754617897,0.1061044179185174
4,El Factor,0.0079031413624204,0.0244571612304915,0.0586186615577166,0.0,0.0019659963432043,0.0,0.0025881835270771,0.0007021469251279408,0.0,0.0,0.0177782943053892,0.1333691614130125,0.155101007194342,0.1692876289980318,0.1749502847406045,0.1732959476924291,0.1688710200609759,0.2695967299621102,0.2508767835851722,0.2909975261698999,0.3669831288374164,0.5861791646532525,1.1306382731796771
5,San Francisco De Macorís,0.2084335657039045,0.333006073293459,0.426258323369497,0.2314388372527517,0.2836768658489205,0.3585330257287462,0.5603707124368035,0.4018198334666018,0.3451603842002129,0.3493359632989852,0.2207892909551459,0.4564595343623321,0.7272612104670795,0.6762902201608662,0.778457747109038,0.9768884672308396,0.933718913524461,1.1038886297235142,1.1894442673943084,1.369983196732112,1.4986783965193384,1.6614015696911877,1.84058682121813
6,Puerto Plata,0.4005057199818026,0.5148849795646456,0.578409965272535,0.4212484600055116,0.3261980887020423,0.3388102344067399,0.6181887915238522,0.5090710536084367,0.3949650363088926,0.2882091155367878,0.2676189010079065,0.6015676753649951,0.8085400355850626,1.274921321504124,1.3247462131212235,1.4803807813738388,1.6226857778007555,1.6338293116930884,1.8138188971971645,1.9207484578974583,1.7213224965504372,2.019516567243089,2.089711237377207
7,Jamao Al Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030194728087843,0.0030194728087843,0.0108401878004999,0.0118910344397031,0.0245358015246614,0.0579139061565551,0.0594399240155899,0.094892703812592,0.0905260008265223,0.0781442345140178,0.4009763311963029,0.4779361296381115
8,Las Matas de Santa Cruz,0.0215372812700504,0.0327059600008144,0.0,0.0033953465677058,0.0332531886859316,0.0219666849220989,0.0,0.0157777941858166,0.0116738035175026,0.0082971225466134,0.0,0.0878264781198397,0.0639480973798712,0.2661087789947649,0.2891660917227103,0.3206507407865233,0.3345389698052745,0.3493103673058954,0.4106661462141449,0.5351136297504024,0.6805906006525075,1.4654397798017988,1.6236636224520395
9,Jimaní,0.0041312652671189,0.0098639215449109,0.0023467456613189,0.0130570720081953,0.0067781260498047,0.0129272560554826,0.0065308690306157,0.0042586333517477,0.0118941286387101,0.0137569588125082,0.0270172213883558,0.0248349222358457,0.025734817706995,0.0447184708881325,0.1304121134065049,0.1318126798178012,0.1196829360466152,0.130058404721713,0.1262557085737938,0.1240999488177698,0.1561699344028635,0.194088651835919,0.1696754216085298
10,Baní,0.2700044225502159,0.2269864844173448,0.3227862230702444,0.2806183293413437,0.1474940392716847,0.1459231390607162,0.1701717864206299,0.1311150508435759,0.1376620842277217,0.1763621285604757,0.0820815661349907,0.2218466977480158,0.4514543315695873,0.6471301141042152,0.7575143028114839,0.9796136446865455,0.8539875014884776,1.0592738749119317,1.069100155298429,1.068419098242137,1.5709701840294894,1.790430950225505,1.976908456555354
11,Villa Hermosa,0.4378681976091974,0.2715902432244658,0.3377401991418858,0.4397867199637537,0.3283812292620587,0.209211723688837,0.3258492772812347,0.2042806638509317,0.2117975319052344,0.1176715268566029,0.2334008456771305,0.289316495160575,1.712668219015049,2.849569070764292,2.718190619901082,2.8620360562995675,2.9052536059514056,2.809460920987897,3.132943416768678,2.881932499249211,3.1127100171956075,3.462254856012669,3.830873470424612
