id,shapeName,egdp2000,egdp2001,egdp2002,egdp2003,egdp2004,egdp2005,egdp2006,egdp2007,egdp2008,egdp2009,egdp2010,egdp2011,egdp2012,egdp2013,egdp2014,egdp2015,egdp2016
0,Constanza,803.5579107693304,824.0173808306753,871.7643562517044,888.1342301233439,897.1234690269713,955.8110982870646,1038.2989724756458,1098.9054227150543,1124.0091252674647,1131.249106680177,1197.249901280742,1243.268326720478,1268.6814784901394,1311.042165216921,1355.088817798505,1421.0192613045958,1487.4997025062646
1,Sabana De La Mar,126.62835124392132,129.31231962681986,144.3684279413785,146.51748824867548,147.80056102889426,156.8794519060383,167.98403574251662,177.4370087575095,181.21357467314775,182.3505973382908,192.59705309423737,196.5998299997811,200.24585530693625,206.7198588493993,218.3625393938784,228.39896260266224,238.5439751220685
2,Moca,669.9138995454591,682.8264414790799,748.5354921276664,750.3539600235572,756.8880951079667,803.3811751917297,860.2335940795199,908.578937846656,929.545609094641,935.3780335729032,988.2079759095813,1009.9621828605734,1031.7842736386783,1065.142144699541,1094.1119867135492,1144.5844493283946,1195.130241684119
3,Bayaguana,314.8095324675827,321.4007269834772,362.8387970682452,370.8808445117637,374.98622776790006,398.0260262254407,426.192911561856,450.1450610063239,459.7899148810142,462.8829237068984,489.86443716819383,503.1721264389801,515.7060575745854,532.4298118894591,559.3821288438404,585.0784497487776,611.2213204612918
4,El Factor,81.01427339280353,83.00350982687058,91.0628932533311,92.82398113281116,93.63160649158206,99.38307974350222,106.41606556486846,112.3966745899004,114.788921791841,115.50916281389254,121.89739930378455,124.4303632974625,126.672644228386,130.76800603317284,134.77547488376203,141.18414021707042,147.41895027745005
5,San Francisco De Macorís,1334.2855370213008,1353.1899508426002,1417.0513702577236,1441.1873407986825,1454.5943250799291,1544.1601932180863,1663.200246856903,1761.7581378348318,1822.284111116272,1847.1653415109013,1978.1284779612336,2032.0172840904957,2078.0182817644345,2145.224713415258,2248.3076595140433,2356.8354917450283,2462.9729264625153
6,Puerto Plata,1006.6278117694688,1018.7755501513976,1083.1340138306798,1099.9474144881851,1109.5176384360766,1177.671567891976,1262.8250530534522,1334.4626721239565,1362.865331381151,1371.4166147898227,1451.7653213717772,1482.8752798290816,1509.9209331441748,1558.7370983509456,1625.3105438736134,1699.9723816745422,1779.7855259275914
7,Jamao Al Norte,26.25870308157275,26.59034883894173,27.994713758428897,29.25683749563554,29.511389777940852,31.32417514949452,33.54087567446279,35.42588143395442,36.17988505725767,36.40689555710438,38.42037894632303,39.218734089416614,39.9254703714567,41.21627189540397,42.83377540473844,44.801429516778285,46.77989881658085
8,Las Matas de Santa Cruz,20.5280120894605,20.77431256391254,21.578363074625248,22.077837558821138,22.269928310606993,23.637894961296343,25.310664677210884,26.73313052776982,27.30211801330249,27.47342493948983,28.99284322448805,29.605984312997144,30.139495290961925,31.11391327918744,31.676090702239208,33.13119438793145,35.38923968637691
9,Jimaní,117.97060946974096,119.12110410402803,123.06422276000178,125.24152157604696,126.0133546414328,132.98158178633338,141.51061400040692,148.94862691789282,152.61761230674443,154.86983468906544,165.68948404777282,169.79685868375444,174.77616206127055,180.41424619602216,202.80357697839827,218.15669150539472,227.33439444385323
10,Baní,972.4941634019513,984.3796424662364,1031.2164333135768,1037.981688389445,1047.0257878319014,1111.3410530323786,1189.986691902987,1259.3681466858466,1288.2930193985796,1296.4509855472866,1368.6357770212724,1399.328031827714,1436.1704704420818,1483.2040195519428,1550.079278926814,1628.1133131309464,1701.471229213359
11,Villa Hermosa,801.0442765740788,811.3093008879938,849.8426893505398,860.7079965427807,870.2557714106405,923.7126490978632,992.6665268493632,1061.993440516907,1087.5454439405717,1100.3436674051425,1197.8149385253005,1248.670174747121,1331.0074608801042,1393.1066712212328,1493.53439012088,1563.2498791609323,1632.2842944700346
12,El Cercado,63.659482583462015,64.44090212016712,66.91443916629342,69.57203736761038,70.17735666772899,74.48811565771992,79.75937471641046,84.24187160636866,86.11167029732584,86.69583985437365,91.58002205152135,97.83581892795422,100.16350709199908,103.55292711070942,109.44291267546951,115.91418468601566,121.09861118957105
13,Eugenio María De Hostos,21.572172420281987,21.946570771757298,23.182857928089067,24.25478096931589,24.46581246630818,25.968664919278204,27.80637503511766,29.369100264006978,29.994191801197385,30.182389951804097,31.85162707076353,32.51348697496396,33.099392009482656,34.16950430437631,34.88673014185009,37.62539744236889,39.286966731969045
14,Bohechío,102.22134905965886,103.44782709578668,107.41862892292292,107.89550290329794,108.83426003818415,115.51958163760456,123.69449071936744,130.6461524504072,133.77410596965584,145.5785045742404,167.96503436144667,183.03493186609413,186.4662566778706,192.5369747199265,201.8363613957283,211.735198223474,221.08560160877656
15,Arenoso,36.23584569207593,37.84228668475851,39.30006176268354,41.094946098912,41.4524974086121,43.99878484086665,47.11242272976566,49.760152367400174,50.81924677006168,51.138111572289,53.96630518605896,55.08769638187743,56.08039717282733,57.89349161082624,60.83770274321239,63.632402535162704,66.44246360893345
16,Tábara Arriba,68.31394130944037,69.2434684933985,71.90388049424865,77.31542800209102,77.98811947679987,82.77866710903601,88.63661854126872,93.64286442141908,95.6591934052168,96.25940623493754,101.58303376798534,103.69387521030852,105.57906641679654,108.99246683588215,115.67695547131927,122.65379829324924,128.6436937369552
17,Vicente Noble,106.82414772224196,108.75336077628182,114.00785625799033,118.79664406834864,119.83024778477116,127.19101603177243,136.19187167047286,143.84588901634308,147.85487242522197,148.8320256264771,157.10197763308588,161.5399383250405,164.4514389116975,169.80076516960176,173.00000965618628,182.0975518801632,190.13913173044423
18,Consuelo,177.28057505780575,180.22345405314485,193.73101851092835,196.20804160915168,197.91598024748117,210.6564177586752,225.7981762831702,240.6881082642312,245.8490783235022,247.40603568109805,261.1155221215065,267.8328923055938,275.51020963863994,285.18171611568505,294.9390363851014,310.4404188991761,324.20655298490135
19,Puñal,810.5891220335867,821.6504005312918,889.3165088868609,888.6765921405716,896.4086281234141,951.5097643160352,1018.9600531961404,1076.2258538470549,1099.5389746731405,1106.4380109871136,1167.629585602704,1193.525887183582,1215.0336787167723,1254.3160628094392,1261.9262391726177,1319.8952995262905,1378.1829715233223
20,Juan Santiago,20.58942038001967,20.836457561628492,21.63625628796278,21.59989878523584,21.787831188592257,23.1261842099475,24.76274192765647,26.154414257816235,26.711084240499662,26.87868282052817,28.36520859429649,29.07797035411292,29.6034338909037,30.656538696031948,33.35974504830789,36.47437783748496,38.085117323608955
21,La Descubierta,40.50589173839371,40.95682860244724,42.45517258410361,43.44207956440309,43.76102788974257,46.36006734353656,49.53915431002777,52.26037977074875,53.34426047305268,53.70470566504143,56.49692880967081,57.700558174357695,58.75097952344839,60.6441115149096,67.51088962052383,70.53968705488188,74.66137679932164
22,Boca Chica,1479.5044919074753,1545.8721580266954,1638.9187365367134,1652.011664785357,1726.534924338378,1843.5867388968377,1980.4161733028936,2103.1279110869937,2148.4028965958196,2169.8810698730103,2299.1338117012792,2415.464744628878,2496.419450225082,2578.79620977009,2877.565616287905,3009.7522721131645,3144.028717803955
23,Tenares,127.77130970943207,129.3235458685487,136.24348809315876,139.2000133320397,140.41113958539918,149.03612218674493,159.58287723362446,168.88055580421994,172.47500571964997,173.55719665312296,183.1557806854739,188.96635595466577,198.29801685991248,217.9102541863918,229.651066246804,241.1091332775705,252.1574250357993
24,Villa Montellano,109.05805281996729,110.36655967773176,139.64458170427994,140.7772049587147,142.002052824988,150.72475829743868,161.39101069335842,170.46122443740282,174.08931649864883,175.1816380312046,184.8700623736662,188.71156358169577,192.1122151885547,198.32325608134263,202.82775333021203,213.39292281375216,224.35869682513032
25,Sosúa,334.9493497254216,339.11845041530984,437.0057319347764,445.2095063522753,449.0831025544919,476.66876134060175,510.4009083576648,539.085567258503,550.5749296076741,554.0295023130437,584.6701141342813,596.8192539552844,607.5741570638093,627.2172045209832,647.1705115527499,677.2973254355727,707.8744841281107
26,Las Charcas,59.08565548462609,59.80643385675024,62.45374279334847,65.48181972436461,66.07193360898425,70.13050988740194,75.09339629318198,79.31366391006638,81.05323283263282,81.56180052926723,86.07257632414502,87.86111904622297,89.44440935651458,92.34555571727893,100.02639195521672,104.6213020161671,109.25252449319642
27,Castañuelas,62.37099312847736,63.123231874377126,65.8354710487174,69.3799508924578,69.98359890539271,74.28245539320449,79.53916000741367,84.00928088543462,85.79811403815651,86.33645359733526,91.11150618166316,93.05458364475008,95.1638078355906,98.66599602442162,102.86075520538816,109.03507865819276,113.85015888108924
28,Jarabacoa,751.9163968111956,766.0076448902198,799.0464959267895,807.6829855006697,814.7462611113694,864.795422730025,926.1047937439354,979.0651599816248,1001.3481822297272,1007.655390919891,1065.1718600270208,1091.306625697075,1122.060288819554,1158.629984885688,1230.5356503120825,1288.306484439326,1345.1991719337077
29,Jima Abajo,92.70227288048642,93.9215951522776,100.69773207341922,103.82895760208952,104.73233352046388,111.1656876464684,119.03248635179855,125.7221421421743,128.39800804993692,129.20364032960407,136.34924896780186,139.1938463732307,141.71076597220753,146.32767600498937,152.51766054490034,161.53905690090326,170.81483355970946
30,Pimentel,99.43472691301038,103.0032237845893,118.69397891070332,121.32934687020727,122.38498646903268,129.9026839287842,139.09543372562123,146.91263054106753,150.03951477262314,150.98093535397564,159.33093851670336,162.6417520869012,165.57261763291035,170.92562714920328,178.6046640944247,187.6616475403308,197.5493273091083
31,Yamasá,115.69378055094502,117.20643331244877,121.8328146321516,127.58624432057724,128.7341511485039,136.72335564634372,146.3987812014772,154.62642938594027,157.91769354688182,158.90854629862537,167.7119931874907,172.98240448189716,176.69563146899722,183.22582889701795,192.1038224761392,201.60025439063713,212.1611417224595
32,Sabana Iglesia,54.57787216586227,55.23509727471015,57.875720316171645,58.43109066743478,58.996106591177934,62.64231349627177,67.17319489378555,70.94834526204598,72.89814425414686,73.84189225435257,77.92571920986272,81.00629137918061,84.30302191762362,87.03278777669456,89.82841579610229,93.95486057833128,98.48627014884762
33,Dajabón,183.89917866187352,184.9855393109661,190.1165838512136,191.4164820740328,191.36849987720157,200.19978592468829,211.5751301400217,221.55225761351633,226.11770703231585,233.8778308426048,240.72201498992305,274.1795260872911,286.6937448990696,297.91113444058334,317.6148920156792,330.34252456771395,342.3960820743851
34,Los Cacaos,36.48086278422498,36.92867619444926,38.34764457007542,39.7015915503689,40.047019688551345,42.50697335621306,45.51504098822673,48.07299756784649,49.09618243019955,49.40423629929622,52.14818880712868,53.23180013819067,54.19105712543515,55.94306867654417,58.87011277982418,61.57442774711286,64.29360690742148
35,El Peñón,21.93919826903764,22.202430689393307,23.05478926593182,23.718993645438964,23.925363552628777,25.395017981704548,27.192132586182336,28.72033722856466,29.487113491168213,29.691195220923895,31.388063870867093,32.05080555244987,32.70053607184513,33.767920292241904,36.131436213208175,37.79120490457498,39.460095832862095
36,Fantino,72.22853871081387,73.09515577835197,77.42039828440723,79.80186646440448,80.49622447747814,85.44083632148948,91.4871790857876,96.62878187228652,98.68542633921498,99.30462670688534,104.79667117969665,106.97429114381472,108.90200777135642,112.42283957764216,116.71972931833828,123.11272766648555,130.44444890396264
37,Guananico,16.12438077751328,16.328025279267163,17.453402449219833,18.085979784236233,18.24333892493855,19.363965970102477,20.734285046598483,21.899557162266156,22.36566683772732,22.506000120499564,23.750694451554143,24.2442214664291,24.68111126218357,25.479058442980637,26.51053282139349,27.7283463109942,28.952853629986443
38,Hato Mayor,610.99402069952,627.9267993590412,686.0170110936252,711.2162903905498,722.415309329126,767.2278131587244,822.7584238949942,885.7319566090898,907.5376927743944,915.2388408180544,972.8910147821784,1000.912925368898,1036.8269993037566,1070.3989710688586,1132.0366714499748,1185.279027146452,1237.6219426425066
39,Tamboril,578.5248004094055,588.4219510436059,624.412325519908,624.8500600617308,630.2866354111364,669.0030229046065,716.4498235242041,756.8814754432323,774.511927849054,779.3715854028862,822.4747496912292,840.6981871518434,861.1138361617628,902.3461948304785,946.6903290098788,990.5627477615484,1034.3068220232046
40,Miches,90.74887132781978,92.2472681302358,102.48132208173766,104.38631634043128,105.29454136008728,111.7624305595662,119.671460014757,126.3970261130263,129.08725753403172,129.8972143039984,137.08118081642135,139.92988526417926,142.45147456702068,147.06848806218773,152.33465377349478,159.6137650995278,166.66244463739454
41,Monte Plata,258.69743584052617,263.3224928793662,282.5956839377096,295.3440913037633,297.9226471921685,316.2358929317664,338.6147808131051,357.64501502525576,365.26340650542113,367.7329498262968,388.60346323023816,402.5357761280209,414.0618137785031,427.5127508583606,449.47692607442514,470.6694153315294,491.45457221497526
