shapeName,id,year,total_sol
Isla Saona,157,1992,7.546375017481692
Isla Catalina,158,1992,0.19619053602218628
San Luis,159,1992,257.1399877464069
San Victor,160,1992,243.5254051025299
Matanzas,161,1992,128.62772255347056
Constanza,0,1993,425.7817105671064
Sabana De La Mar,1,1993,85.63306513566017
Moca,2,1993,460.6434952836703
Bayaguana,3,1993,216.81668456827884
El Factor,4,1993,53.23022236555229
San Francisco De Macorís,5,1993,879.4823899640463
Puerto Plata,6,1993,607.7368397018486
Jamao Al Norte,7,1993,19.63511480396869
Las Matas de Santa Cruz,8,1993,14.463423809701316
Jimaní,9,1993,89.97730366909038
Baní,10,1993,656.8955513335325
Villa Hermosa,11,1993,474.5257759337332
El Cercado,12,1993,48.26643209892745
Eugenio María De Hostos,13,1993,15.64743511285268
Bohechío,14,1993,77.66709836487681
Arenoso,15,1993,26.953688985635246
Tábara Arriba,16,1993,51.443413297948894
Vicente Noble,17,1993,73.55399967046345
Consuelo,18,1993,117.86147158011502
Puñal,19,1993,546.002341978807
Juan Santiago,20,1993,15.643703527485622
La Descubierta,21,1993,30.846490507908904
Boca Chica,22,1993,954.3263346654527
Tenares,23,1993,89.87346959885429
Villa Montellano,24,1993,75.440830960227
Sosúa,25,1993,214.1220745169941
Las Charcas,26,1993,44.347923815191926
Castañuelas,27,1993,38.267273421264164
Jarabacoa,28,1993,471.558528654102
Jima Abajo,29,1993,64.43989735333359
Pimentel,30,1993,64.21879809504631
Yamasá,31,1993,83.90305798711147
Sabana Iglesia,32,1993,38.853120264644694
Dajabón,33,1993,122.15695515479527
Los Cacaos,34,1993,27.53469882630835
El Peñón,35,1993,15.50039020560536
Fantino,36,1993,49.07645697985211
Guananico,37,1993,11.874733655709848
Hato Mayor,38,1993,362.71151559893394
Tamboril,39,1993,364.0272997320867
Miches,40,1993,66.36573574367694
Monte Plata,41,1993,182.6346142945629
Oviedo,42,1993,123.14499784351565
El Llano,43,1993,15.22846038043499
Guaymate,44,1993,88.46270319544801
Los Hidalgos,45,1993,23.827948017915094
Maimón,46,1993,98.65712743407373
Mella,47,1993,64.17654984324588
Monción,48,1993,46.7078740906774
Monte Cristi,49,1993,122.26438702035185
Neiba,50,1993,122.04628285447171
Sabana Grande De Boyá,51,1993,101.12122657395464
Las Yayas De Viajama,52,1993,66.1481579685328
Licey Al Medio,53,1993,260.1813950304891
Las Guáranas,54,1993,40.319592646290275
Las Salinas,55,1993,21.727402327633374
Bajos de Haina,56,1993,705.2322760002286
Castillo,57,1993,39.1179305122179
Cevicos,58,1993,36.43270109422943
Cristóbal,59,1993,36.79828232529702
Hondo Valle,60,1993,16.527619298299154
Imbert,61,1993,63.61830377517378
La Ciénaga,62,1993,17.265245046101366
Los Ríos,63,1993,24.624090216089698
Padre Las Casas,64,1993,90.7954046841054
Paraíso,65,1993,21.467107619140663
Pedro Brand,66,1993,626.5960705104119
Peralta,67,1993,19.697233160453685
Postrer Río,68,1993,17.931870008654446
Pueblo Viejo,69,1993,31.82212198148756
Sabana Grande de Palenque,70,1993,39.90038362683034
San Juan,71,1993,638.2871242412459
San Pedro De Macorís,72,1993,967.5259829183419
San Rafael Del Yuma,73,1993,216.3977770776433
Santo Domingo De Guzmán,74,1993,2474.030420654895
Villa Altagracia,75,1993,161.32689210103413
Azua,76,1993,392.11594235321456
Sabana Larga,77,1993,58.28962419570661
Sánchez,78,1993,58.63458211927436
San José De Las Matas,79,1993,264.7816593784911
Luperón,80,1993,48.32121806267429
Comendador,81,1993,72.74123366448808
Los Llanos,82,1993,170.2052985004642
Piedra Blanca,83,1993,67.04831003307132
Guayubín,84,1993,130.03417547191762
Santo Domingo Este,85,1993,2272.1685176367855
Santo Domingo Norte,86,1993,2781.8811372777996
Santo Domingo Oeste,87,1993,1269.6833776015865
Villa Vásquez,88,1993,83.83023830360058
Estebanía,89,1993,39.89014859988408
Higüey,90,1993,2024.108747757767
Río San Juan,91,1993,34.737415260836194
Bisonó,92,1993,173.91958084649903
Villa Los Almácigos,93,1993,29.07372558628228
Peralvillo,94,1993,21.22518928328565
Mao,95,1993,345.931945873125
Tamayo,96,1993,135.44183949281768
Villa Riva,97,1993,72.89544837533255
Esperanza,98,1993,202.7325104329808
Guayacanes,99,1993,299.8214236536447
Barahona,100,1993,314.14040394206245
Bonao,101,1993,767.3816790629246
Pepillo Salcedo,102,1993,23.3214208410359
La Vega,103,1993,1055.5899610689453
San José De Ocoa,104,1993,125.61128463634087
Rancho Arriba,105,1993,27.571318107551225
Juan De Herrera,106,1993,123.07754860070408
San Ignacio De Sabaneta,107,1993,157.17159151005382
Villa González,108,1993,312.32031178106286
Vallejuelo,109,1993,38.21480727260019
Villa Isabela,110,1993,36.85370493496166
Villa Tapia,111,1993,48.31971983594054
Yaguate,112,1993,104.82454559265399
Altamira,113,1993,40.52722912176567
El Seibo,114,1993,331.5209311118895
Jánico,115,1993,78.8822641513219
Salcedo,116,1993,134.80666678615063
Restauración,117,1993,38.735144340173875
San Gregorio de Nigua,118,1993,137.13931314933535
Cayetano Germosén,119,1993,19.17127888214355
Galván,120,1993,65.01609089041457
Gaspar Hernández,121,1993,89.8362879662537
Guayabal,122,1993,31.23318435578954
Jaquimeyes,123,1993,16.316897416582297
Laguna Salada,124,1993,46.41294385422678
La Mata,125,1993,78.10076651079396
Las Matas De Farfán,126,1993,166.0864319440197
Las Terrenas,127,1993,39.31531913882376
Loma De Cabrera,128,1993,38.47778462449125
Nagua,129,1993,236.4603128957105
