code ,park_2002,ele02,tss02,inf02,wat00,com2
DOM-AZU,Azua,0,0,0,0,0
DOM-BAN,Baní,3614146.12,7215875.4,639097.44,185969.6,0
DOM-BAR,Barahona,12840215.64,3256070,496800,0,0
DOM-BAY,Bayaguana,55688.27,67588.08,0,10400,0
DOM-BON,Bonao,4772521.11,4979754.66,307111.23,32522,0
DOM-CIP,Caribbean Ind. Park,11147686.73,7135079.04,2201656.58,704833.4,0
DOM-CHE,Chemtec,3176860.29,2100186.63,283727.1,196905,0
DOM-CIB,Cibernetico,60000,50000,0,0,0
DOM-COT,Cotuí,347500,709817.98,102016.41,34844,0
DOM-RAF,Don Rafael,0,312000,74400,0,0
DOM-ESP,Esperanza,11383978.96,9721779.74,1818471.18,600361.59,0
DOM-EXC,Excel Boca Chica,386200,462894,70891,10800,0
DOM-SEI,El Seibo,0,480000,80000,36000,0
DOM-GLO,Global,0,888000,80500,0,0
DOM-GUR,Gurabo,7760382.02,4566917.01,1112175,347268.5,0
DOM-HAI,Hainamosa,3066879.32,4377994.72,593747,195260,0
DOM-HAT,Hato Mayor,317265.07,393885.86,134091.69,84186,0
DOM-HAN,Hato Nuevo,116161,136327,38047,0,0
DOM-HIG,Higuey,1663000,1205000,139000,58960,0
DOM-CRI,Itabo,97960798.42,32466281.31,6135712.96,3489666.31,0
DOM-JAI,Jaibón,0,0,0,0,0
DOM-ARM,La Armería,3073773.58,4052449.34,464793.44,171953,0
DOM-ROM,La Romana I,33182058.49,23698701.49,2274663.55,1616332.75,0
DOM-RII,La Romana II,9879146.43,6543808.04,905626.23,589821,0
DOM-VEG,La Vega,25404777.15,24636162.19,3302158.89,528176.65,0
DOM-LAG,Laguna Prieta,444000,300000,75960,24000,0
DOM-LAS,Las Américas,55145120.07,36699902.02,4140679.86,1136512.06,0
DOM-ALC,Los Alcarrizos,7631557.76,3930638.13,532821.61,175151.74,0
DOM-MIN,Los Mina,236818.96,178674.66,51753.94,0,0
DOM-LUN,Luna,370734,100970.56,30000,12780,0
DOM-MOI,Montecristi,42202,0,0,0,0
DOM-MOC,Moca,16017402.13,15148268.92,1805860.16,28440,0
DOM-MUL,Multimodal Caucedo,0,0,157042.6,0,0
DOM-NAV,Navarrete,2148851.4,2256000,200000,0,0
DOM-NIG,Nigua,7740662.14,4323176.95,569020.17,150629.5,0
DOM-PAB,Palmar Abajo,0,116918.29,10628.94,0,0
DOM-PAM,Palmarejo,1509640,2706295,415882,0,0
DOM-PED,Pedernales,24000,90000,0,0,0
DOM-PIS,PISANO,13008163.31,8932503.46,2096070.54,1945149.15,0
DOM-PON,Pontezuela,30765,531100,62130,0,0
DOM-PUE,Puerto Plata,4801949,8956667,667121.58,1234113,0
DOM-QUI,Quisqueya,0,25000,5600,0,0
DOM-SAL,Salcedo,0,0,0,0,0
DOM-FRA,San Fco. de Macorís,1171659.02,1855853.22,139932.25,183425,0
DOM-S12,Santiago I y II,102560173.3,80801193.62,14482969.58,17540323.43,0
DOM-ISI,San Isidro,39847745.24,20355128.26,3891923.61,1209174.76,0
DOM-JAN,Santiago-Jánico,7200000,900000,1080000,580000,0
DOM-SLI,Santiago-Licey,2129339.17,1411553.4,220157.78,114952.3,0
DOM-MAC,San Pedro de Macorís,45096382.52,40249781.28,6110219.77,832889.6,0
DOM-TAM,Tamboril,2366981.78,391718.5,32121,29500,0
DOM-ALT,Villa Altagracia,5750000,10114844.08,684540.96,458376.4,0
DOM-MEL,Villa Mella,1438059.25,705577,168457.27,3000,0
SPE-DN1,ZFE Distrito Nac.,16367725.49,4861252.75,1294714.08,1342483.19,0
SPE-HIG,ZFE Higuey,3538464,728592,116952,0,0
SPE-VEG,ZFE La Vega,1508064.4,32460,6112.9,9640,0
SPE-LRO,ZFE La Romana,2489304,113532,56760,54660,0
SPE-TRI,ZFE Ma. Trinidad S.,0,89847.62,28106,8879.8,0
SPE-MON,ZFE Montecristi,88315,2188422,48697,397550,0
SPE-POP,ZFE Puerto Plata,2799472.87,241846,54199,24937.12,0
SPE-SCR,ZFE San Cristóbal,1236633,672886,57652,30800,
SPE-SAN,ZFE Santiago,8348286.88,3929835.85,788282.44,2794199.82,
DOM-ZOF,Zofinma (Mao),420000,540000,26000,9000,
