code,park_09,ele09,tss09,inf09,wat09,com09
DOM-AND,Andres,1764000,2725541.49,0,156000,324000
DOM-BAN,Baní,3431317.66,33686060.71,789637.82,246166.66,2104759.61
DOM-BAR,Barahona,23000000,0,68000,172000,600000
DOM-BAY,Bayaguana,0,327215.39,0,0,0
DOM-VIS,Bella Vista,4224434.65,30144336.33,1973480,12696529,4074717.2
DOM-BON,Bonao,1467699.06,1645550.85,55754.6,33491.2,754759.94
DOM-CIP,Caribbean Ind. Park,80355505.87,54453450.85,3987825.93,11946023.29,14522582.9
DOM-CHE,Chemtec,13993965.2,5781557.28,366915.01,166670.99,946739.86
DOM-CIB,Cibernético,17546188.22,6451824.03,1927642.62,20395.91,25676403.54
DOM-COT,Cotuí,872600,1585289.23,95049,0,143447
DOM-DOS,Dos Rios,34057156.07,50358358.07,2730700,673403,2664237
DOM-LIM,El Limonal,0,693746.23,107114,0,333102
DOM-SEI,El Seibo,336000,598589.94,30000,22356,69600
DOM-ESP,Esperanza,24216673.43,56081496.45,2354881,1527619.28,1518836.68
DOM-EXC,Excel Boca Chica,47790.34,3606656.63,224040,51749,1804556.55
DOM-GUR,Gurabo,11403163.67,37227903.31,1893232.39,674806.25,11686139.94
DOM-HAI,Hainamosa,5433532.73,9994010.75,894210,384904,2182791.27
DOM-HAT,Hato Mayor,0,5091840.89,0,0,0
DOM-HAN,Hato Nuevo,939754.48,1518011.28,75963,0,1009185.24
DOM-CRI,San Cristóbal (Itabo),232284174.5,283308121.9,14048012.02,4828679.5,36200210.67
DOM-ARM,La Armería,5820089.4,8324377.6,404930.4,251406.7,2824575.49
DOM-HIS,La Hispaniola,11465044.6,2994391.88,43415.6,64912,143092.91
DOM-PAL,La Palma,589243.21,5527375.8,155383,24307,290615.9
DOM-ROM,La Romana I,27220317.22,48362444.22,3121031.46,1383983,3531332.78
DOM-RII,La Romana II,20976522.34,25443329.64,1451575.72,565579,4638795.01
DOM-VEG,La Vega,22856282.57,15508283.6,1099318.98,413403,2792625.3
DOM-LAS,Las Américas,184663047.5,183177753.7,10989941.71,3545105.17,20264154.81
DOM-ALC,Los Alcarrizos,14666398.01,14541632.67,1066418.39,1217425.02,5051923.34
DOM-MIN,LosMina,281951.76,59964.94,9027,10500,139610.74
DOM-MOC,Moca,12297963.57,12111774.73,651579.59,344422,1028481.88
DOM-MUL,Multimodal Caucedo,0,69617781.24,0,0,0
DOM-MUT,Multiparques,22344173,10900504.82,492526,41178,3499550
DOM-NAV,Navarrete,4158602.92,10788036.3,476657,73084.56,241825.23
DOM-NIG,Nigua,24101599.92,8856559.6,1056873.36,409775.5,2538799.83
DOM-PAM,Palmarejo,5376814.52,33244644.25,1049434,0,606566.39
DOM-PED,Pedernales,922866.82,5668127.36,290000,1982,241654.36
DOM-PIS,PISANO,48973308.86,35430864.54,3669995.58,3216327.58,7241746.78
DOM-PUE,Puerto Plata,10479512.62,15721814.43,447281.7,180449,2900046.61
DOM-QUI,Quisqueya,0,504280.65,0,0,0
DOM-SAL,Salcedo,1080377.31,1085526.47,0,68099,1411819.06
DOM-FRA,San Fco. de Macorís,724743.81,1211011.08,52802,26718,100809.59
DOM-ISI,San Isidro,143815211.4,411432905.9,9861386.33,2437470.02,74765997.22
DOM-MAC,San Pedro de Macorís,100969161.5,147644846.7,7202291.63,1938210.99,17544897.54
DOM-S12,Santiago,129867974.1,419989450,12134516.23,16174542.36,24463355.34
DOM-JAN,Santiago-Jánico,3490166.16,3116546.99,124002,161609.4,237844.93
DOM-SLI,Parque Tecnológico de Santiago,4382922.63,5287273.28,217540.05,145396.5,843597.41
DOM-TAM,Tamboril,15307395.82,7381582.97,816230.55,187893.2,2222398.76
DOM-ALT,Villa Altagracia,610390.4,1062869.46,118837.53,84833.6,1900434.89
DOM-MEL,Villa Mella,3674585.1,3853437.91,147650.36,45917.88,452702.7
DOM-ZFE,Zonas Francas Especiales,262345324.2,465692056.4,17051141.99,15121043.69,88563960.86
