index,province
0,Santiago
1,Duarte
2,Elías Piña
3,Hato Mayor
4,La Vega
5,Sánchez Ramírez
6,Samaná
7,Valverde
8,Barahona
9,La Romana
10,Monseñor Nouel
11,Monte Cristi
12,Pedernales
13,Peravia
14,Puerto Plata
15,San José de Ocoa
16,San Juan
17,Santiago Rodríguez
18,Distrito Nacional
19,El Seibo
20,Espaillat
21,Hermanas Mirabal
22,Independencia
23,Baoruco
24,Azua
25,Dajabón
26,La Altagracia
27,María Trinidad Sánchez
28,Santo Domingo
29,Monte Plata
30,San Cristóbal
31,San Pedro de Macorís
