code,park,inv03
DOM-AZU,Azua,40000
DOM-BAN,Baní,8464186.23
DOM-BAR,Barahona,18400000
DOM-BAY,Bayaguana,40000
DOM-BON,Bonao,6515255.25
DOM-CIP,Caribbean Ind. Park,41356877
DOM-CHE,Chemtec Enterprises,11701944
DOM-CIB,Cibernético,850000
DOM-COT,Cotuí,674500
DOM-RAF,Don Rafael,95000
DOM-ESP,Esperanza,12821702.37
DOM-EXC,Excel Boca Chica,2429044
DOM-SEI,El Seibo,1000000
DOM-GLO,Global,8888888
DOM-GUR,Gurabo,6210741
DOM-HAI,Hainamosa,22736105.85
DOM-HAT,Hato Mayor,1141975
DOM-HAN,Hato Nuevo,2500000
DOM-HIG,Higüey,1220000
DOM-CRI,Itabo,54751310
DOM-JAI,Jaibón,538782
DOM-ARM,La Armería,7131271
DOM-CAN,La Canela,75000
DOM-ROM,La Romana I,2504.81
DOM-RII,La Romana II,6396839.41
DOM-VEG,La Vega,28916103
DOM-LAG,Laguna Prieta,1290526
DOM-LAS,Las Américas,139389061.7
DOM-ALC,Los Alcarrizos,16110722.99
DOM-MIN,Los Mina,2694942
DOM-LUN,Luna,1064600
DOM-MOI,Montecristi,200000
DOM-MOC,Moca,19375638.58
DOM-MUL,Multimodal Caucedo,1211975
DOM-NAV,Navarrete,6707000
DOM-NIG,Nigua,45382984
DOM-PAB,Palmar Abajo,0
DOM-PAM,Palmarejo,5976065
DOM-PED,Pedernales,266000
DOM-PIS,PISANO,34727911.99
DOM-PON,Pontezuela,1078360
DOM-PUE,Puerto Plata,6737670
DOM-QUI,Quisqueya,800000
DOM-SAL,Salcedo,680000
DOM-FRA,San Fco. de Macorís,5152726.27
DOM-ISI,San Isidro,88929794.99
DOM-MAC,San Pedro de Macorís,83843844
DOM-S12,Santiago I y II,249613960.8
DOM-SLI,Santiago - Licey,5096523.67
DOM-JAN,Santiago - Jánico,16141588.76
DOM-TAM,Tamboril,2820734.09
DOM-MEL,Villa Mella,13650000
DOM-ALT,Villa Altagracia,23000000
DOM-ZOF,Zofinma (Mao),593364
DOM-ZFE,Zonas Francas Especiales,122129320.8
