code,park,inv06
DOM-BAN,Baní,11181251.34
DOM-BAR,Barahona,25800000
DOM-BAY,Bayaguana,105941
DOM-VIS,Bella Vista,58000000
DOM-BON,Bonao,16068093.86
DOM-CIP,Caribbean Ind. Park,80945068.95
DOM-CHE,Chemtec,11544005.88
DOM-CIB,Cibernético,687068
DOM-COT,Cotuí,350200
DOM-DOS,Dos Ríos,70000000
DOM-DPE,Don Pedro,425000
DOM-ESP,Esperanza,15128216.15
DOM-EXC,Excel Boca Chica,1955626.55
DOM-LIM,El Limonal,4198206.6
DOM-SEI,El Seibo,380000
DOM-GLO,Global,4900000
DOM-GUR,Gurabo,16641399.67
DOM-HAI,Hainamosa,6962329
DOM-HAT,Hato Mayor,1301975
DOM-HAN,Hato Nuevo,1050000
DOM-CRI,Itabo,255296543.6
DOM-JAI,Jaibón,2050000
DOM-ARM,La Armería,11921351.15
DOM-HIS,La Hisponiola,2000000
DOM-PAL,La Palma,4164166
DOM-ROM,La Romana I,88924034.34
DOM-RII,La Romana II,4690000
DOM-VEG,La Vega,67878688.21
DOM-LAG,Laguna Prieta,1000000
DOM-LAS,Las Américas,197337263
DOM-ALC,Los Alcarrizos,22705077.88
DOM-MIN,Los Mina,1310000
DOM-MOC,Moca,18295503.41
DOM-MUL,Multimodal Caucedo,10050000
DOM-NAV,Navarrete,3050000
DOM-NIG,Nigua,64785080.84
DOM-PAB,Palmar Abajo,100000
DOM-PAM,Palmarejo,45223430.67
DOM-PED,Pedernales,550000
DOM-PIS,PISANO,291202879.9
DOM-PON,Pontezuela,847381.58
DOM-PUE,Puerto Plata,3957960.35
DOM-QUI,Quisqueya,350000
DOM-SAL,Salcedo,800000
DOM-FRA,San Fco. de Macorís,1990981.67
DOM-ISI,San Isidro,144863643
DOM-MAC,San Pedro de Macorís,104410800.5
DOM-S12,Santiago,388270658.3
DOM-SLI,Santiago - Licey,5602682.06
DOM-JAN,Santiago - Jánico,31297739
DOM-KEP,Silver Key Park,5256428
DOM-TAM,Tamboril,5051256.3
DOM-ALT,Villa Artagracia,6644269.47
DOM-MEL,Villa Mella,12626748.12
DOM-LUN,Zona Franca Ind. Luna,375874
DOM-ZOF,ZOFINMA (Mao),549000
DOM-ZFE,Zonas Francas Especiales,338633896.3
