code,park,inv05
DOM-BAN,Baní,11633110.54
DOM-BAR,Barahona,26000000
DOM-BAY,Bayaguana,107941
DOM-VIS,Bella Vista,61659000
DOM-BON,Bonao,12456822.73
DOM-CIP,Caribbean Ind. Park,67237667.9
DOM-CHE,Chemtec Enterprises,12578026
DOM-CIB,Cibernético,447688.04
DOM-COT,Cotuí,1270000
DOM-DPE,Don Pedro,440900
DOM-ESP,Esperanza,16458862.26
DOM-EXC,Excel Boca Chica,2866943.55
DOM-LIM,El Limonal,3816492.03
DOM-SEI,El Seibo,1280000
DOM-GLO,Global,4600000
DOM-GUR,Gurabo,7955826.97
DOM-HAI,Hainamosa,5808123.7
DOM-HAT,Hato Mayor,1241975
DOM-HAN,Hato Nuevo,1050000
DOM-HIG,Higüey,1220000
DOM-CRI,Itabo,227382639.8
DOM-JAI,Jaibón,538782
DOM-ARM,La Armería,9207504.27
DOM-CAN,La Canela,80000
DOM-HIS,La Hisponiola,1599051.22
DOM-PAL,La Palma,1214000
DOM-ROM,La Romana I,86871487.46
DOM-RII,La Romana II,3964157
DOM-VEG,La Vega,36825806.62
DOM-LAG,Laguna Prieta,1000000
DOM-LAS,Las Américas,181067451.1
DOM-ALC,Los Alcarrizos,20419701.5
DOM-MIN,Los Mina,1300000
DOM-MOI,Montecristi,600000
DOM-MOC,Moca,15318517.88
DOM-MUL,Multimodal Caucedo,8818000
DOM-NAV,Navarrete,3000000
DOM-NIG,Nigua,61298975.2
DOM-PAB,Palmar Abajo,100000
DOM-PAM,Palmarejo,90639471.75
DOM-PED,Pedernales,300000
DOM-PIS,PISANO,51906663.2
DOM-PON,Pontezuela,1219390.29
DOM-PUE,Puerto Plata,5577664.02
DOM-SAL,Salcedo,1100000
DOM-FRA,San Fco. de Macorís,2347939.3
DOM-ISI,San Isidro,146063919.8
DOM-MAC,San Pedro de Macorís,106283114
DOM-S12,Santiago,364876269.1
DOM-SLI,Santiago - Licey,6888061.78
DOM-JAN,Santiago - Jánico,29218513.96
DOM-KEP,Silver Key Park,5616428
DOM-TAM,Tamboril,2493256.3
DOM-MEL,Villa Mella,8624705.4
DOM-ALT,Villa Artagracia,18054631.52
DOM-LUN,Zona Franca Ind. Luna,398333.33
DOM-ZOF,ZOFINMA (Mao),610000
DOM-ZFE,Zonas Francas Especiales,246648419.8
