code,ob_f_00,tec_f_00,adm_f_00,ob_f_01,tec_f_01,adm_f_01,ob_f_02,tec_f_02,adm_f_02,ob_f_03,tec_f_03,adm_f_03,ob_f_04,tec_f_04,adm_f_04,ob_f_05,tec_f_05,adm_f_05,ob_f_06,tec_f_06,adm_f_06,ob_f_07,tec_f_07,adm_f_07,ob_f_08,tec_f_08,adm_f_08,ob_f_09,tec_f_09,adm_f_09,ob_f_10,tec_f_10,adm_f_10,ob_f_11,tec_f_11,adm_f_11,ob_f_12,tec_f_12,adm_f_12,ob_f_14,tec_f_14,adm_f_14,ob_f_15,tec_f_15,adm_f_15,ob_f_16,tec_f_16,adm_f_16
DOM-PAM,354.0,26.0,11.0,303.0,23.0,10.0,299.0,35.0,11.0,324.0,22.0,20.0,515.0,44.0,24.0,565.0,50.0,28.0,603.0,46.0,30.0,677.0,54.0,26.0,444.0,56.0,37.0,310.0,83.0,13.0,385.0,51.0,20.0,284.0,41.0,22.0,411.0,43.0,21.0,569.0,34.0,35.0,498.0,47.0,25.0,464.0,45.0,27.0
DOM-PED,1.0,1.0,1.0,59.0,0.0,2.0,43.0,0.0,3.0,60.0,1.0,1.0,88.0,4.0,4.0,80.0,4.0,2.0,116.0,0.0,4.0,217.0,10.0,3.0,222.0,5.0,4.0,185.0,9.0,6.0,291.0,7.0,10.0,305.0,0.0,11.0,194.0,3.0,8.0,182.0,0.0,8.0,248.0,0.0,7.0,349.0,0.0,10.0
DOM-PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,85.0,34.0,168.0,57.0,83.0,144.0,53.0,40.0,160.0,68.0,46.0,147.0,66.0,40.0,141.0,64.0,39.0
DOM-PEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PIS,888.0,43.0,68.0,692.0,51.0,82.0,1132.0,61.0,90.0,1102.0,46.0,108.0,1421.0,84.0,125.0,1276.0,74.0,119.0,1323.0,63.0,128.0,1214.0,73.0,138.0,1087.0,62.0,131.0,947.0,54.0,105.0,1192.0,17.0,113.0,1399.0,75.0,121.0,1522.0,90.0,128.0,1744.0,122.0,169.0,1906.0,106.0,176.0,1875.0,95.0,184.0
DOM-PON,23.0,13.0,1.0,49.0,4.0,0.0,81.0,5.0,0.0,46.0,4.0,1.0,38.0,8.0,0.0,47.0,11.0,1.0,58.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PUE,1927.0,176.0,48.0,1818.0,163.0,58.0,1612.0,201.0,54.0,1384.0,175.0,42.0,1509.0,130.0,39.0,915.0,99.0,20.0,390.0,151.0,21.0,690.0,101.0,26.0,539.0,103.0,28.0,427.0,42.0,25.0,373.0,25.0,45.0,496.0,2.0,14.0,466.0,5.0,30.0,389.0,16.0,26.0,484.0,22.0,46.0,560.0,18.0,57.0
DOM-QUI,0.0,0.0,0.0,3.0,1.0,1.0,12.0,1.0,2.0,5.0,2.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,11.0,1.0,4.0,10.0,2.0,2.0,183.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,7.0,137.0,0.0,6.0,111.0,0.0,5.0
DOM-RAF,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,5.0,65.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-RIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,21.0,26.0,563.0,18.0,8.0,569.0,20.0,2.0
DOM-RII,1597.0,83.0,31.0,2041.0,198.0,30.0,1664.0,127.0,35.0,1758.0,186.0,11.0,1926.0,154.0,20.0,1437.0,24.0,18.0,1116.0,15.0,16.0,1018.0,17.0,13.0,1024.0,17.0,6.0,985.0,180.0,20.0,1080.0,209.0,24.0,1014.0,133.0,40.0,1359.0,31.0,35.0,1222.0,289.0,103.0,1504.0,200.0,95.0,1508.0,176.0,80.0
DOM-ROB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,22.0,7.0,0.0,0.0,0.0
DOM-ROM,7915.0,518.0,184.0,6587.0,431.0,171.0,5035.0,190.0,115.0,4827.0,356.0,108.0,4803.0,198.0,102.0,2476.0,56.0,84.0,2894.0,77.0,105.0,2700.0,55.0,97.0,2682.0,56.0,102.0,2473.0,43.0,105.0,3012.0,49.0,107.0,3150.0,61.0,108.0,2950.0,82.0,101.0,2926.0,71.0,121.0,3066.0,87.0,146.0,2922.0,136.0,155.0
DOM-S12,20499.0,1279.0,569.0,17786.0,1625.0,610.0,18297.0,1123.0,657.0,17572.0,1306.0,738.0,18994.0,1320.0,785.0,14838.0,1388.0,644.0,12664.0,1538.0,596.0,8414.0,715.0,441.0,7843.0,798.0,453.0,6516.0,541.0,371.0,6227.0,511.0,344.0,6641.0,350.0,387.0,7445.0,436.0,428.0,7954.0,563.0,453.0,8331.0,409.0,544.0,7403.0,391.0,560.0
DOM-SAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,6.0,4.0,151.0,7.0,12.0,71.0,2.0,8.0,91.0,2.0,8.0
DOM-SAL,140.0,0.0,2.0,124.0,0.0,2.0,38.0,3.0,1.0,143.0,5.0,4.0,169.0,32.0,30.0,120.0,55.0,12.0,53.0,33.0,3.0,69.0,25.0,10.0,314.0,27.0,13.0,127.0,6.0,9.0,102.0,0.0,3.0,89.0,16.0,0.0,164.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-SEI,84.0,2.0,2.0,237.0,0.0,8.0,268.0,0.0,0.0,298.0,0.0,2.0,263.0,1.0,2.0,272.0,3.0,3.0,135.0,18.0,1.0,86.0,13.0,1.0,109.0,1.0,4.0,65.0,0.0,3.0,81.0,0.0,5.0,73.0,1.0,6.0,100.0,1.0,2.0,130.0,2.0,9.0,114.0,1.0,4.0,117.0,1.0,0.0
DOM-SLI,440.0,9.0,18.0,429.0,25.0,21.0,252.0,12.0,24.0,160.0,9.0,26.0,236.0,23.0,26.0,206.0,17.0,41.0,34.0,4.0,18.0,17.0,6.0,9.0,56.0,1.0,17.0,82.0,2.0,7.0,63.0,3.0,9.0,85.0,5.0,9.0,87.0,5.0,10.0,83.0,3.0,9.0,66.0,1.0,10.0,73.0,1.0,13.0
DOM-SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0
DOM-SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DOM-TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DOM-TAM,14.0,0.0,1.0,69.0,8.0,2.0,48.0,14.0,3.0,265.0,19.0,25.0,221.0,13.0,21.0,150.0,32.0,27.0,160.0,17.0,39.0,315.0,1.0,11.0,681.0,6.0,30.0,602.0,2.0,20.0,394.0,23.0,22.0,1819.0,45.0,75.0,2086.0,58.0,79.0,2778.0,165.0,76.0,2387.0,217.0,104.0,2452.0,144.0,93.0
DOM-VEG,5597.0,277.0,156.0,4217.0,248.0,195.0,4557.0,187.0,153.0,4343.0,281.0,141.0,4393.0,241.0,157.0,2908.0,136.0,103.0,2978.0,140.0,110.0,2044.0,78.0,80.0,2027.0,64.0,71.0,1588.0,61.0,51.0,2427.0,82.0,60.0,2504.0,90.0,60.0,2404.0,122.0,51.0,2992.0,158.0,102.0,3053.0,125.0,70.0,2654.0,116.0,58.0
DOM-VIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,97.0,11.0,12.0,44.0,20.0,28.0,58.0,1.0,21.0,56.0,1.0,31.0,36.0,5.0,29.0,120.0,3.0,38.0,66.0,41.0,34.0,56.0,18.0,49.0,52.0,19.0,47.0,123.0,10.0,84.0,336.0,19.0,94.0
DOM-YAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,1.0,28.0,2.0,0.0,25.0,0.0,0.0,25.0,2.0,1.0,30.0,2.0,1.0,24.0
DOM-ZOF,82.0,2.0,3.0,151.0,6.0,2.0,135.0,6.0,2.0,128.0,2.0,5.0,127.0,1.0,5.0,243.0,15.0,9.0,223.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
