code,ob_m_00,tec_m_00,adm_m_00,total_m_00,ob_m_01,tec_m_01,adm_m_01,total_m_01,ob_m_02,tec_m_02,adm_m_02,total_m_02,ob_m_03,tec_m_03,adm_m_03,total_m_03,ob_m_04,tec_m_04,adm_m_04,total_m_04,ob_m_05,tec_m_05,adm_m_05,total_m_05,ob_m_06,tec_m_06,adm_m_06,total_m_06,ob_m_07,tec_m_07,adm_m_07,total_m_07,ob_m_08,tec_m_08,adm_m_08,total_m_08,ob_m_09,tec_m_09,adm_m_09,total_m_09,ob_m_10,tec_m_10,adm_m_10,total_m_10,ob_m_11,tec_m_11,adm_m_11,total_m_11,ob_m_12,tec_m_12,adm_m_12,total_m_12,ob_m_14,tec_m_14,adm_m_14,total_m_14,ob_m_15,tec_m_15,adm_m_15,total_m_15,ob_m_16,tec_m_16,adm_m_16,total_m_16
DOM-CIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,7.0,2,6.0,0.0,8.0,1.0,3.0,0.0,4.0,0.0,34.0,7.0,41.0,5.0,12.0,9.0,26.0,28.0,508.0,24.0,560.0,69.0,493.0,23.0,585.0,75.0,523.0,43.0,641.0,24.0,451.0,31.0,506.0,202.0,94.0,55.0,351.0,243.0,105.0,77.0,425.0,42.0,350.0,20.0,412.0,20.0,453,27.0,500.0,141.0,159.0,105.0,405.0
DOM-CIP,2522.0,678.0,197.0,3397.0,2085.0,342.0,150.0,2577.0,2572.0,393.0,329.0,3294.0,2043,484.0,354.0,2881.0,2747.0,365.0,128.0,3240.0,2000.0,497.0,175.0,2672.0,1466.0,544.0,112.0,2122.0,2313.0,1372.0,87.0,3772.0,2168.0,1095.0,89.0,3352.0,1614.0,598.0,65.0,2277.0,1213.0,565.0,82.0,1860.0,1155.0,542.0,85.0,1782.0,1472.0,803.0,91.0,2366.0,1798.0,1061.0,149.0,3008.0,1660.0,937,393.0,2990.0,1871.0,898.0,203.0,2972.0
DOM-CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,25.0,8.0,159.0,61.0,22,67.0,150.0,134.0,43.0,55.0,232.0
DOM-COT,173.0,15.0,8.0,196.0,154.0,22.0,5.0,181.0,184.0,26.0,10.0,220.0,188,27.0,4.0,219.0,204.0,32.0,5.0,241.0,191.0,25.0,5.0,221.0,155.0,16.0,2.0,173.0,134.0,16.0,2.0,152.0,91.0,14.0,2.0,107.0,85.0,18.0,2.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CRI,2975.0,486.0,336.0,3797.0,3194.0,481.0,430.0,4105.0,3402.0,506.0,402.0,4310.0,3388,658.0,539.0,4585.0,3552.0,569.0,630.0,4751.0,3909.0,676.0,577.0,5162.0,4118.0,515.0,580.0,5213.0,3330.0,1025.0,767.0,5122.0,3585.0,968.0,821.0,5374.0,2778.0,691.0,565.0,4034.0,3410.0,680.0,508.0,4598.0,3433.0,754.0,551.0,4738.0,3674.0,886.0,632.0,5192.0,4066.0,1228.0,738.0,6032.0,4179.0,1135,838.0,6152.0,4327.0,1234.0,722.0,6283.0
DOM-CTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,14,7.0,262.0,45.0,4.0,6.0,55.0
DOM-DOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,27.0,51.0,748.0,1158.0,31.0,81.0,1270.0,1154.0,240.0,89.0,1483.0,1397.0,56.0,43.0,1496.0,1342.0,63.0,16.0,1421.0,1320.0,63.0,16.0,1399.0,991.0,383.0,61.0,1435.0,1446.0,445.0,73.0,1964.0,1482.0,449,74.0,2005.0,1454.0,438.0,72.0,1964.0
DOM-DPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,30.0,6.0,1.0,37.0,30.0,5.0,3.0,38.0,21.0,11.0,4.0,36.0,15.0,3.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-EMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,22.0,21.0,180.0,413.0,54,24.0,491.0,532.0,82.0,17.0,631.0
DOM-ESP,4412.0,173.0,328.0,4913.0,3672.0,121.0,309.0,4102.0,3105.0,266.0,274.0,3645.0,3775,285.0,357.0,4417.0,3510.0,455.0,159.0,4124.0,2639.0,225.0,156.0,3020.0,2673.0,175.0,244.0,3092.0,2398.0,296.0,68.0,2762.0,1561.0,226.0,63.0,1850.0,1780.0,217.0,118.0,2115.0,1766.0,140.0,109.0,2015.0,1087.0,92.0,83.0,1262.0,1008.0,125.0,160.0,1293.0,1662.0,188.0,138.0,1988.0,1770.0,192,140.0,2102.0,1757.0,222.0,112.0,2091.0
DOM-EXC,10.0,10.0,5.0,25.0,33.0,12.0,6.0,51.0,16.0,5.0,10.0,31.0,17,6.0,12.0,35.0,19.0,8.0,12.0,39.0,27.0,8.0,13.0,48.0,29.0,7.0,18.0,54.0,33.0,7.0,13.0,53.0,30.0,5.0,6.0,41.0,39.0,7.0,4.0,50.0,44.0,7.0,6.0,57.0,45.0,8.0,6.0,59.0,40.0,8.0,6.0,54.0,33.0,35.0,9.0,77.0,53.0,15,9.0,77.0,61.0,14.0,11.0,86.0
DOM-FRA,398.0,27.0,10.0,435.0,357.0,35.0,13.0,405.0,519.0,67.0,6.0,592.0,480,32.0,6.0,518.0,408.0,41.0,5.0,454.0,301.0,47.0,5.0,353.0,284.0,37.0,5.0,326.0,222.0,31.0,1.0,254.0,29.0,19.0,1.0,49.0,18.0,17.0,1.0,36.0,19.0,18.0,1.0,38.0,23.0,21.0,2.0,46.0,27.0,23.0,4.0,54.0,23.0,21.0,2.0,46.0,27.0,21,3.0,51.0,27.0,21.0,1.0,49.0
DOM-GLO,94.0,10.0,10.0,114.0,97.0,11.0,14.0,122.0,102.0,12.0,16.0,130.0,88,14.0,17.0,119.0,80.0,16.0,11.0,107.0,63.0,10.0,2.0,75.0,63.0,10.0,7.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,2.0,3.0,8.0,10.0,0,1.0,11.0,9.0,0.0,1.0,10.0
DOM-GUR,1041.0,7.0,221.0,1269.0,1116.0,178.0,127.0,1421.0,1045.0,266.0,185.0,1496.0,671,155.0,151.0,977.0,1136.0,119.0,55.0,1310.0,990.0,363.0,119.0,1472.0,1062.0,165.0,44.0,1271.0,1158.0,86.0,272.0,1516.0,519.0,130.0,79.0,728.0,653.0,149.0,88.0,890.0,587.0,93.0,87.0,767.0,708.0,84.0,63.0,855.0,907.0,139.0,81.0,1127.0,1672.0,176.0,168.0,2016.0,1812.0,©,174.0,2154.0,1277.0,696.0,227.0,2200.0
DOM-HAI,1670.0,42.0,58.0,1770.0,484.0,163.0,58.0,705.0,443.0,55.0,93.0,591.0,481,75.0,99.0,655.0,598.0,50.0,49.0,697.0,361.0,31.0,19.0,411.0,558.0,27.0,33.0,618.0,332.0,42.0,22.0,396.0,339.0,30.0,28.0,397.0,244.0,24.0,17.0,285.0,230.0,35.0,17.0,282.0,133.0,23.0,14.0,170.0,184.0,31.0,11.0,226.0,143.0,31.0,8.0,182.0,177.0,44,13.0,234.0,187.0,57.0,11.0,255.0
DOM-HAN,0.0,0.0,0.0,0.0,137.0,16.0,5.0,158.0,105.0,10.0,4.0,119.0,303,5.0,5.0,313.0,466.0,24.0,6.0,496.0,146.0,17.0,3.0,166.0,88.0,16.0,5.0,109.0,34.0,5.0,4.0,43.0,20.0,9.0,8.0,37.0,19.0,9.0,7.0,35.0,45.0,13.0,10.0,68.0,42.0,15.0,9.0,66.0,41.0,21.0,12.0,74.0,104.0,22.0,30.0,156.0,72.0,20,31.0,123.0,67.0,21.0,35.0,123.0
DOM-HAT,166.0,17.0,12.0,195.0,228.0,12.0,6.0,246.0,110.0,14.0,9.0,133.0,98,14.0,2.0,114.0,94.0,14.0,2.0,110.0,118.0,17.0,4.0,139.0,157.0,6.0,2.0,165.0,131.0,32.0,3.0,166.0,53.0,12.0,2.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,22.0,65.0,8.0,0.0,73.0,51.0,10.0,2.0,63.0,51.0,10,2.0,63.0,55.0,10.0,2.0,67.0
DOM-HER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,15.0,285.0,0.0,240,17.0,257.0,0.0,240.0,12.0,252.0
DOM-HIG,147.0,84.0,10.0,241.0,136.0,75.0,16.0,227.0,43.0,33.0,5.0,81.0,18,27.0,4.0,49.0,52.0,26.0,3.0,81.0,47.0,23.0,2.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-HIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3,2.0,20.0,11.0,1.0,1.0,13.0
DOM-HIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,4.0,1.0,86.0,66.0,4.0,5.0,75.0,52.0,2.0,3.0,57.0,81.0,5.0,2.0,88.0,81.0,5.0,2.0,88.0,13.0,0.0,3.0,16.0,10.0,1.0,1.0,12.0,3.0,3.0,2.0,8.0,73.0,1.0,2.0,76.0,51.0,2,2.0,55.0,50.0,8.0,5.0,63.0
DOM-IHA,179.0,24.0,26.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-INE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,165.0,7.0,25.0,197.0
DOM-INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,8.0,5.0,0,2.0,7.0,5.0,1.0,1.0,7.0
DOM-INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,47.0,19.0,179.0,157.0,47.0,21.0,225.0,141.0,40.0,19.0,200.0,95.0,104.0,22.0,221.0,135.0,42,35.0,212.0,157.0,41.0,36.0,234.0
DOM-ISI,2059.0,705.0,149.0,2913.0,1530.0,715.0,241.0,2486.0,1160.0,920.0,278.0,2358.0,1478,1573.0,236.0,3287.0,3250.0,1154.0,379.0,4783.0,2042.0,537.0,328.0,2907.0,2494.0,828.0,333.0,3655.0,2061.0,834.0,380.0,3275.0,2344.0,1138.0,269.0,3751.0,2289.0,1077.0,202.0,3568.0,2943.0,1226.0,303.0,4472.0,3091.0,853.0,322.0,4266.0,3221.0,1001.0,300.0,4522.0,2077.0,1925.0,364.0,4366.0,2015.0,2093,410.0,4518.0,3556.0,2009.0,352.0,5917.0
DOM-JAI,13.0,5.0,0.0,18.0,20.0,5.0,1.0,26.0,1.0,2.0,3.0,6.0,49,21.0,2.0,72.0,42.0,23.0,1.0,66.0,42.0,23.0,1.0,66.0,45.0,18.0,1.0,64.0,29.0,5.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,11.0,10.0,2.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-JAN,196.0,17.0,11.0,224.0,330.0,35.0,43.0,408.0,424.0,16.0,3.0,443.0,595,114.0,66.0,775.0,761.0,231.0,64.0,1056.0,729.0,157.0,29.0,915.0,608.0,47.0,55.0,710.0,486.0,36.0,46.0,568.0,93.0,2.0,0.0,95.0,185.0,5.0,4.0,194.0,164.0,12.0,18.0,194.0,241.0,13.0,23.0,277.0,232.0,42.0,14.0,288.0,228.0,48.0,17.0,293.0,282.0,81,25.0,388.0,343.0,86.0,32.0,461.0
DOM-JOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3,4.0,33.0,17.0,6.0,2.0,25.0
DOM-KEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,3.0,38.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-KGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5.0,1.0,66.0,64.0,5,1.0,70.0,53.0,3.0,1.0,57.0
DOM-LAG,39.0,1.0,2.0,42.0,51.0,1.0,2.0,54.0,42.0,12.0,3.0,57.0,41,15.0,2.0,58.0,7.0,1.0,1.0,9.0,3.0,0.0,1.0,4.0,3.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-LAS,3052.0,349.0,426.0,3827.0,2651.0,371.0,335.0,3357.0,2854.0,291.0,383.0,3528.0,3420,288.0,388.0,4096.0,3689.0,549.0,415.0,4653.0,3604.0,737.0,381.0,4722.0,3540.0,719.0,375.0,4634.0,3713.0,735.0,668.0,5116.0,4070.0,619.0,632.0,5321.0,2445.0,712.0,559.0,3716.0,2991.0,824.0,441.0,4256.0,2402.0,836.0,495.0,3733.0,2385.0,906.0,480.0,3771.0,2473.0,729.0,612.0,3814.0,2647.0,839,487.0,3973.0,2615.0,1040.0,397.0,4052.0
DOM-LIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,17.0,15.0,137.0,75.0,12.0,10.0,97.0,72.0,7.0,10.0,89.0,69.0,8.0,10.0,87.0,100.0,7.0,6.0,113.0,70.0,10.0,2.0,82.0,106.0,11.0,2.0,119.0,36.0,12.0,5.0,53.0,125.0,22.0,24.0,171.0,63.0,15,17.0,95.0,68.0,13.0,23.0,104.0
DOM-LUN,0.0,0.0,0.0,0.0,52.0,3.0,5.0,60.0,151.0,24.0,1.0,176.0,183,67.0,4.0,254.0,175.0,91.0,5.0,271.0,208.0,37.0,9.0,254.0,173.0,13.0,6.0,192.0,31.0,5.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MAC,6022.0,958.0,318.0,7298.0,4671.0,1089.0,308.0,6068.0,5127.0,921.0,334.0,6382.0,5012,1106.0,340.0,6458.0,5668.0,1185.0,411.0,7264.0,4014.0,924.0,309.0,5247.0,3287.0,760.0,306.0,4353.0,2708.0,895.0,273.0,3876.0,3559.0,762.0,299.0,4620.0,2559.0,695.0,283.0,3537.0,2718.0,808.0,298.0,3824.0,2306.0,733.0,235.0,3274.0,2358.0,867.0,243.0,3468.0,2770.0,788.0,341.0,3899.0,3200.0,1035,416.0,4651.0,3132.0,985.0,466.0,4583.0
DOM-MAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,3.0,8.0,61.0,11.0,4.0,76.0
DOM-MEL,121.0,247.0,31.0,399.0,243.0,177.0,36.0,456.0,90.0,103.0,62.0,255.0,103,117.0,11.0,231.0,220.0,149.0,49.0,418.0,169.0,119.0,65.0,353.0,166.0,128.0,69.0,363.0,18.0,6.0,4.0,28.0,47.0,13.0,5.0,65.0,63.0,26.0,5.0,94.0,73.0,11.0,6.0,90.0,70.0,10.0,5.0,85.0,67.0,17.0,10.0,94.0,142.0,24.0,10.0,176.0,98.0,22,10.0,130.0,89.0,25.0,7.0,121.0
DOM-MIN,2.0,0.0,2.0,4.0,90.0,6.0,5.0,101.0,121.0,11.0,4.0,136.0,21,3.0,2.0,26.0,12.0,13.0,7.0,32.0,39.0,13.0,8.0,60.0,21.0,9.0,7.0,37.0,2.0,2.0,1.0,5.0,0.0,4.0,2.0,6.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MOC,2502.0,246.0,44.0,2792.0,2394.0,241.0,44.0,2679.0,2283.0,372.0,48.0,2703.0,1903,342.0,93.0,2338.0,2077.0,367.0,104.0,2548.0,1355.0,282.0,31.0,1668.0,1418.0,187.0,54.0,1659.0,579.0,88.0,16.0,683.0,460.0,65.0,17.0,542.0,283.0,69.0,77.0,429.0,584.0,64.0,22.0,670.0,551.0,50.0,65.0,666.0,528.0,93.0,25.0,646.0,408.0,94.0,23.0,525.0,417.0,57,30.0,504.0,495.0,93.0,33.0,621.0
DOM-MOI,0.0,0.0,0.0,0.0,5.0,3.0,1.0,9.0,27.0,4.0,3.0,34.0,50,5.0,2.0,57.0,60.0,4.0,1.0,65.0,36.0,3.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,20.0,78.0,0,14.0,7.0,21.0,596.0,151.0,147.0,894.0,29.0,25.0,8.0,62.0,17.0,24.0,4.0,45.0,8.0,7.0,5.0,20.0,0.0,2.0,3.0,5.0,0.0,2.0,3.0,5.0,0.0,4.0,5.0,9.0,0.0,7.0,4.0,11.0,2.0,6.0,4.0,12.0,42.0,8.0,7.0,57.0,39.0,27,5.0,71.0,16.0,24.0,9.0,49.0
DOM-MUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,23.0,25.0,228.0,194.0,22.0,25.0,241.0,179.0,20.0,24.0,223.0,137.0,59.0,41.0,237.0,134.0,60.0,43.0,237.0,153.0,64.0,46.0,263.0,185.0,56.0,47.0,288.0,298.0,76,45.0,419.0,146.0,70.0,49.0,265.0
DOM-NAV,897.0,43.0,12.0,952.0,752.0,12.0,5.0,742.0,490.0,20.0,4.0,514.0,767,6.0,5.0,778.0,978.0,34.0,5.0,1017.0,573.0,59.0,23.0,655.0,342.0,55.0,20.0,417.0,185.0,35.0,6.0,226.0,432.0,31.0,10.0,473.0,367.0,17.0,10.0,394.0,489.0,17.0,6.0,512.0,609.0,19.0,10.0,638.0,482.0,18.0,9.0,509.0,509.0,37.0,18.0,564.0,596.0,51,29.0,676.0,697.0,89.0,41.0,827.0
DOM-NIG,479.0,45.0,65.0,589.0,482.0,53.0,217.0,752.0,530.0,102.0,140.0,772.0,473,136.0,77.0,686.0,633.0,175.0,67.0,875.0,373.0,170.0,62.0,605.0,440.0,154.0,105.0,699.0,455.0,122.0,90.0,667.0,366.0,153.0,100.0,619.0,366.0,128.0,91.0,585.0,358.0,148.0,102.0,608.0,441.0,192.0,123.0,756.0,446.0,219.0,116.0,781.0,488.0,278.0,101.0,867.0,525.0,271,103.0,899.0,643.0,325.0,116.0,1084.0
DOM-NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,2.0
DOM-PAB,620.0,91.0,5.0,716.0,10.0,0.0,1.0,11.0,14.0,0.0,0.0,14.0,13,1.0,0.0,14.0,17.0,1.0,0.0,18.0,17.0,4.0,1.0,22.0,17.0,4.0,1.0,22.0,9.0,2.0,1.0,12.0,20.0,4.0,1.0,25.0,15.0,2.0,1.0,18.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0.0,1.0,1.0,0.0,0.0,1.0
DOM-PAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,82.0,4.0,1.0,87.0,83.0,6.0,1.0,90.0,99.0,6.0,5.0,110.0,128.0,6.0,10.0,144.0,209.0,15.0,12.0,236.0,136.0,6.0,6.0,148.0,168.0,7.0,14.0,189.0,380.0,17.0,11.0,408.0,275.0,22.0,8.0,305.0,318.0,17.0,10.0,345.0,401.0,31,10.0,442.0,390.0,7.0,11.0,408.0
