code,ob_m_00,tec_m_00,adm_m_00,total_m_00,ob_m_01,tec_m_01,adm_m_01,total_m_01,ob_m_02,tec_m_02,adm_m_02,total_m_02,ob_m_03,tec_m_03,adm_m_03,total_m_03,ob_m_04,tec_m_04,adm_m_04,total_m_04,ob_m_05,tec_m_05,adm_m_05,total_m_05,ob_m_06,tec_m_06,adm_m_06,total_m_06,ob_m_07,tec_m_07,adm_m_07,total_m_07,ob_m_08,tec_m_08,adm_m_08,total_m_08,ob_m_09,tec_m_09,adm_m_09,total_m_09,ob_m_10,tec_m_10,adm_m_10,total_m_10,ob_m_11,tec_m_11,adm_m_11,total_m_11,ob_m_12,tec_m_12,adm_m_12,total_m_12,ob_m_14,tec_m_14,adm_m_14,total_m_14,ob_m_15,tec_m_15,adm_m_15,total_m_15,ob_m_16,tec_m_16,adm_m_16,total_m_16
DOM-RII,403.0,102.0,40.0,545.0,532.0,263.0,41.0,836.0,602.0,164.0,38.0,804.0,512,122.0,32.0,666.0,534.0,77.0,27.0,638.0,306.0,95.0,22.0,423.0,276.0,85.0,12.0,373.0,300.0,101.0,18.0,419.0,299.0,98.0,22.0,419.0,223.0,207.0,26.0,456.0,253.0,236.0,31.0,520.0,265.0,258.0,63.0,586.0,440.0,79.0,61.0,580.0,622.0,176.0,61.0,859.0,485.0,294,105.0,884.0,508.0,211.0,102.0,821.0
DOM-ROB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,24.0,4.0,66.0,43.0,24,5.0,72.0,0.0,0.0,0.0,0.0
DOM-ROM,4604.0,794.0,237.0,5635.0,3993.0,718.0,197.0,4908.0,3465.0,407.0,175.0,4047.0,3037,387.0,161.0,3585.0,2705.0,333.0,166.0,3204.0,1366.0,218.0,138.0,1722.0,1380.0,246.0,135.0,1761.0,1228.0,205.0,146.0,1579.0,1262.0,205.0,145.0,1612.0,1059.0,194.0,155.0,1408.0,1394.0,291.0,167.0,1852.0,1366.0,323.0,169.0,1858.0,1475.0,325.0,165.0,1965.0,1357.0,198.0,202.0,1757.0,1427.0,188,237.0,1852.0,1288.0,173.0,239.0,1700.0
DOM-S12,19463.0,2296.0,673.0,22432.0,15975.0,2471.0,720.0,19166.0,18429.0,2493.0,871.0,21793.0,II,17499.0,2430.0,928.0,19342.0,2192.0,955.0,22489.0,15273.0,1982.0,753.0,18008.0,12316.0,2065.0,686.0,15067.0,6623.0,974.0,510.0,8107.0,5592.0,1155.0,499.0,7246.0,5577.0,1036.0,490.0,7103.0,5308.0,1072.0,470.0,6850.0,5363.0,1014.0,495.0,6872.0,6267.0,1371.0,505.0,8143.0,6952.0,1449.0,512.0,8913.0,7051.0,1333,547.0,8931.0,7085.0,1631.0,556.0,9272.0
DOM-SAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,3.0,14.0,164.0,132.0,8.0,5.0,145.0,83.0,8,3.0,94.0,102.0,9.0,4.0,115.0
DOM-SAL,175.0,16.0,4.0,195.0,154.0,14.0,4.0,172.0,25.0,7.0,2.0,34.0,156,8.0,6.0,170.0,269.0,40.0,30.0,339.0,192.0,32.0,18.0,242.0,62.0,22.0,10.0,94.0,87.0,18.0,16.0,121.0,355.0,21.0,20.0,396.0,110.0,4.0,7.0,121.0,98.0,0.0,5.0,103.0,69.0,3.0,1.0,73.0,115.0,3.0,2.0,120.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-SEI,53.0,6.0,3.0,62.0,7.0,9.0,4.0,20.0,3.0,11.0,7.0,21.0,24,0.0,2.0,26.0,81.0,2.0,2.0,85.0,104.0,8.0,3.0,115.0,58.0,8.0,4.0,70.0,15.0,6.0,1.0,22.0,9.0,5.0,3.0,17.0,2.0,1.0,3.0,6.0,5.0,2.0,0.0,7.0,8.0,2.0,2.0,12.0,11.0,4.0,0.0,15.0,7.0,2.0,6.0,15.0,17.0,3,1.0,21.0,13.0,2.0,1.0,16.0
DOM-SLI,606.0,36.0,11.0,653.0,536.0,85.0,17.0,638.0,409.0,52.0,15.0,476.0,378,45.0,18.0,441.0,529.0,51.0,19.0,599.0,349.0,59.0,69.0,477.0,141.0,13.0,7.0,161.0,61.0,32.0,6.0,99.0,211.0,6.0,17.0,234.0,178.0,9.0,11.0,198.0,184.0,6.0,8.0,198.0,117.0,6.0,11.0,134.0,117.0,10.0,7.0,134.0,210.0,4.0,11.0,225.0,165.0,4,14.0,183.0,179.0,7.0,14.0,200.0
DOM-SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,32.0,2.0,2.0,36.0
DOM-SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,6.0,31.0,0,2.0,33.0,30.0,0.0,2.0,32.0
DOM-TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,33.0,1.0,5.0,39.0
DOM-TAM,5.0,0.0,5.0,10.0,87.0,16.0,7.0,110.0,160.0,34.0,9.0,203.0,250,53.0,14.0,317.0,332.0,26.0,14.0,372.0,268.0,72.0,26.0,366.0,159.0,32.0,24.0,215.0,204.0,11.0,23.0,238.0,530.0,26.0,67.0,623.0,294.0,25.0,41.0,360.0,190.0,72.0,32.0,294.0,997.0,67.0,44.0,1108.0,1286.0,161.0,64.0,1511.0,2113.0,398.0,92.0,2603.0,1932.0,413,113.0,2458.0,2433.0,368.0,114.0,2915.0
DOM-VEG,6720.0,526.0,204.0,7450.0,4970.0,451.0,243.0,5664.0,5415.0,542.0,140.0,6097.0,5182,587.0,136.0,5905.0,4700.0,607.0,154.0,5461.0,3224.0,349.0,139.0,3712.0,3032.0,383.0,140.0,3555.0,2100.0,242.0,72.0,2414.0,2027.0,266.0,111.0,2404.0,1616.0,239.0,62.0,1917.0,2528.0,332.0,58.0,2918.0,2245.0,390.0,64.0,2699.0,2200.0,449.0,59.0,2708.0,2982.0,468.0,131.0,3581.0,2901.0,453,77.0,3431.0,2508.0,442.0,90.0,3040.0
DOM-VIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,30.0,15.0,3.0,48.0,395.0,57.0,52.0,504.0,720.0,218.0,165.0,1103.0,486.0,389.0,166.0,1041.0,847.0,102.0,112.0,1061.0,757.0,125.0,103.0,985.0,805.0,119.0,109.0,1033.0,487.0,442.0,61.0,990.0,500.0,347.0,164.0,1011.0,518.0,425.0,123.0,1066.0,659.0,113,72.0,844.0,1076.0,151.0,84.0,1311.0
DOM-YAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,25.0,35.0,258.0,221.0,29.0,39.0,289.0,162.0,25.0,44.0,231.0,180.0,24.0,51.0,255.0,169.0,22,48.0,239.0,157.0,37.0,30.0,224.0
DOM-ZOF,108.0,8.0,2.0,118.0,323.0,22.0,1.0,346.0,285.0,20.0,1.0,306.0,280,16.0,4.0,300.0,258.0,19.0,2.0,279.0,122.0,4.0,5.0,131.0,107.0,4.0,5.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
