park,ob_m_02,tec_m_02,adm_m_02,total_m_02,ob_f_02,tec_f_02,adm_f_02,total_f_02,total_mf_02
Azua,2,0,2,4,0,5,2,7,11
Baní,797,135,50,982,2185,58,30,2273,3255
Barahona,650,61,3,714,731,45,0,776,1490
Bayaguana,64,2,4,70,46,2,4,52,122
Bonao,966,29,18,1013,1111,5,20,1136,2149
Caribbean Ind. Park,2572,393,329,3294,1842,122,280,2244,5538
Cibernético,1,5,1,7,22,0,3,25,32
Cotuí,184,26,10,220,171,16,6,193,413
Chemtec,411,23,51,485,263,17,33,313,798
Don Rafael,53,4,1,58,80,2,5,87,145
El Seibo,3,11,7,21,268,0,0,268,289
Esperanza,3105,266,274,3645,2299,96,136,2531,6176
Excel Boca Chica,16,5,10,31,78,12,7,97,128
Global,102,12,16,130,283,2,5,290,420
Gurabo,1045,266,185,1496,735,206,107,1048,2544
Hainamosa,443,55,93,591,772,28,66,866,1457
Hato Mayor,110,14,9,133,237,3,3,243,376
Hato Nuevo,105,10,4,119,194,14,5,213,332
Higuey,43,33,5,81,341,8,4,353,434
Itabo,3402,506,402,4310,5472,305,310,6087,10397
Jaibón,1,2,3,6,2,2,1,5,11
La Armería,476,69,21,566,1372,43,20,1435,2001
La Romana I,3465,407,175,4047,5035,190,115,5340,9387
La Romana II,602,164,38,804,1664,127,35,1826,2630
La Vega,5415,542,140,6097,4557,187,153,4897,10994
Laguna Prieta,42,12,3,57,40,3,5,48,105
Las Américas,2854,291,383,3528,5500,185,340,6025,9553
Los Alcarrizos,841,89,83,1013,1143,18,51,1212,2225
Los Mina,121,11,4,136,0,0,3,3,139
Luna,151,24,1,176,121,4,4,129,305
Moca,2283,372,48,2703,2609,146,51,2806,5509
Montecristi,27,4,3,34,13,1,2,16,50
Multimodal Caucedo,0,58,20,78,0,3,9,12,90
Navarrete,490,20,4,514,485,6,4,495,1009
Nigua,530,102,140,772,942,23,99,1064,1836
Palmar Abajo,14,0,0,14,9,0,0,9,23
Palmarejo,349,49,16,414,299,35,11,345,759
Pedernales,6,0,1,7,43,0,3,46,53
PISANO,1727,220,133,2080,1132,61,90,1283,3363
Pontezuela,111,14,6,131,81,5,0,86,217
Puerto Plata,1091,302,38,1431,1612,201,54,1867,3298
Quisqueya,39,30,7,76,12,1,2,15,91
Salcedo,25,7,2,34,38,3,1,42,76
San Fco. Macorís,519,67,6,592,641,4,19,664,1256
San Isidro,1160,920,278,2358,3276,1187,267,4730,7088
San Pedro Macorís,5127,921,334,6382,9370,635,284,10289,16671
"Santiago I,II",18429,2493,871,21793,18297,1123,657,20077,41870
Santiago-Jánico,424,16,3,443,109,9,6,124,567
Santiago-Licey,409,52,15,476,252,12,24,288,764
Tamboril,160,34,9,203,48,14,3,65,268
Villa Altagracia,650,31,12,693,1623,18,14,1655,2348
Villa Mella,90,103,62,255,1551,65,140,1756,2011
Zofinma (Mao),285,20,1,306,135,6,2,143,449
Z.F. Especiales,2704,428,568,3700,1982,73,528,2583,6283
Operadoras,801,227,1028,,,,,,
