code,park,ob_m_05,tec_m_05,adm_m_05,total_m_05,ob_f_05,tec_f_05,adm_f_05,total_f_05,total_mf_05
DOM-BAN,Baní,936,95,30,1061,1962,97,22,2081,3142
DOM-BAR,Barahona,485,27,8,520,690,17,18,725,1245
DOM-BAY,Bayaguana,5,2,1,8,18,0,2,20,28
DOM-VIS,Bella Vista,395,57,52,504,97,11,12,120,624
DOM-BON,Bonao,1142,51,12,1205,1484,13,21,1518,2723
DOM-CIP,Caribbean Ind. Park,2000,497,175,2672,1328,284,149,1761,4433
DOM-CIB,Cibernético,0,34,7,41,0,2,4,6,47
DOM-COT,Cotuí,191,25,5,221,166,12,5,183,404
DOM-CHE,Chemtec,338,46,41,425,326,6,35,367,792
DOM-LIM,El Limonal,105,17,15,137,127,6,8,141,278
DOM-SEI,El Seibo,104,8,3,115,272,3,3,278,393
DOM-ESP,Esperanza,2639,225,156,3020,2081,134,95,2310,5330
DOM-EXC,Excel Boca Chica,27,8,13,48,57,8,13,78,126
DOM-DPE,Don Pedro,30,5,3,38,2,0,0,2,40
DOM-GLO,Global,63,10,2,75,2,1,6,9,84
DOM-GUR,Gurabo,990,363,119,1472,944,188,92,1224,2696
DOM-HAI,Hainamosa,361,31,19,411,357,47,20,424,835
DOM-HAT,Hato Mayor,118,17,4,139,330,5,6,341,480
DOM-HAN,Hato Nuevo,146,17,3,166,204,27,15,246,412
DOM-HIG,Higüey,47,23,2,72,322,15,5,342,414
DOM-CRI,Itabo,3909,676,577,5162,6201,435,430,7066,12228
DOM-JAI,Jaibón,42,23,1,66,1,3,0,4,70
DOM-ARM,La Armería,265,61,19,345,714,21,17,752,1097
DOM-CAN,La Canela,19,6,1,26,1,2,1,4,30
DOM-HIS,La Hispaniola,81,4,1,86,5,1,3,9,95
DOM-PAL,La Palma,83,6,1,90,55,2,4,61,151
DOM-ROM,La Romana I,1366,218,138,1722,2476,56,84,2616,4338
DOM-RII,La Romana II,306,95,22,423,1437,24,18,1479,1902
DOM-VEG,La Vega,3224,349,139,3712,2908,136,103,3147,6859
DOM-LAG,Laguna Prieta,3,0,1,4,2,0,0,2,6
DOM-LAS,Las Américas,3604,737,381,4722,5611,298,313,6222,10944
DOM-ALC,Los Alcarrizos,917,97,84,1098,1050,29,56,1135,2233
DOM-MIN,Los Mina,39,13,8,60,0,0,5,5,65
DOM-MOC,Moca,1355,282,31,1668,1546,122,39,1707,3375
DOM-MOI,Montecristi,36,3,1,40,54,4,2,60,100
DOM-MUL,Multimodal Caucedo,29,25,8,62,0,1,4,5,67
DOM-NAV,Navarrete,573,59,23,655,770,82,38,890,1545
DOM-NIG,Nigua,373,170,62,605,586,30,41,657,1262
DOM-PAB,Palmar Abajo,17,4,1,22,1,1,1,3,25
DOM-PAM,Palmarejo,505,86,27,618,565,50,28,643,1261
DOM-PED,Pedernales,32,4,3,39,80,4,2,86,125
DOM-PIS,PISANO,1848,289,161,2298,1276,74,119,1469,3767
DOM-PON,Pontezuela,73,15,1,89,47,11,1,59,148
DOM-PUE,Puerto Plata,697,262,31,990,915,99,20,1034,2024
DOM-SAL,Salcedo,192,32,18,242,120,55,12,187,429
DOM-FRA,San Fco. Macorís,301,47,5,353,317,6,14,337,690
DOM-ISI,San Isidro,2042,537,328,2907,4116,364,283,4763,7670
DOM-MAC,San Pedro Macorís,4014,924,309,5247,7075,469,299,7843,13090
DOM-S12,Santiago,15273,1982,753,18008,14838,1388,644,16870,34878
DOM-JAN,Santiago-Jánico,729,157,29,915,256,86,65,407,1322
DOM-SLI,Santiago-Licey,349,59,69,477,206,17,41,264,741
DOM-KEP,Silver Key Park,29,6,3,38,1,6,6,13,51
DOM-TAM,Tamboril,268,72,26,366,150,32,27,209,575
DOM-ALT,Villa Altagracia,285,41,22,348,394,29,32,455,803
DOM-MEL,Villa Mella,169,119,65,353,1665,38,107,1810,2163
DOM-LUN,Zona Franca Ind.Luna,208,37,9,254,158,23,2,183,437
DOM-ZOF,ZOFINMA (Mao),122,4,5,131,243,15,9,267,398
,Z.F. Especiales,5827,804,585,7216,3529,197,523,4249,11465
