park,ob_m_04,tec_m_04,adm_m_04,total_m_04,ob_f_04,tec_f_04,adm_f_04,total_f_04,total_mf_04
Azua,8,0,2,10,47,0,0,47,57
Baní,985,101,23,1109,2184,98,20,2302,3411
Barahona,750,155,25,930,550,60,25,635,1565
Bayaguana,11,4,2,17,14,1,4,19,36
Bella Vista,30,15,3,48,1,0,4,5,53
Bonao,1335,55,16,1406,1538,6,28,1572,2978
Caribbean Ind. Park,2747,365,128,3240,2425,175,158,2758,5998
Cibernético,1,3,0,4,0,0,1,1,5
Cotuí,204,32,5,241,203,13,4,220,461
Chemtec,429,75,49,553,460,12,37,509,1062
El Seibo,81,2,2,85,263,1,2,266,351
Esperanza,3510,455,159,4124,2483,174,100,2757,6881
Excel Boca Chica,19,8,12,39,78,10,12,100,139
Don Pedro,30,6,1,37,5,0,1,6,43
Don Rafael,2,0,1,3,1,0,1,2,5
Global,80,16,11,107,151,2,4,157,264
Gurabo,1136,119,55,1310,985,69,213,1267,2577
Hainamosa,598,50,49,697,1057,21,28,1106,1803
Hato Mayor,94,14,2,110,267,6,5,278,388
Hato Nuevo,466,24,6,496,216,18,12,246,742
Higüey,52,26,3,81,350,10,3,363,444
Itabo,3552,569,630,4751,6166,241,438,6845,11596
Jaibón,42,23,1,66,1,3,0,4,70
La Armería,858,79,27,964,1306,52,24,1382,2346
La Canela,13,15,2,30,0,2,1,3,33
La Palma,82,4,1,87,55,2,2,59,146
La Romana I,2705,333,166,3204,4803,198,102,5103,8307
La Romana II,534,77,27,638,1926,154,20,2100,2738
La Vega,4700,607,154,5461,4393,241,157,4791,10252
Laguna Prieta,7,1,1,9,1,0,1,2,11
Las Américas,3689,549,415,4653,5860,320,332,6512,11165
Los Alcarrizos,1360,130,63,1553,1456,54,62,1572,3125
Los Mina,12,13,7,32,0,2,2,4,36
Moca,2077,367,104,2548,2416,205,60,2681,5229
Montecristi,60,4,1,65,75,5,5,85,150
Multimodal Caucedo,596,151,147,894,6,2,35,43,937
Navarrete,978,34,5,1017,1004,27,3,1034,2051
Nigua,633,175,67,875,651,39,48,738,1613
Palmar Abajo,17,1,0,18,8,1,1,10,28
Palmarejo,419,90,12,521,515,44,24,583,1104
Pedernales,25,5,3,33,88,4,4,96,129
PEVISA,220,12,38,270,460,2,24,486,756
PISANO,1933,254,183,2370,1421,84,125,1630,4000
Pontezuela,41,11,1,53,38,8,0,46,99
Puerto Plata,1161,347,32,1540,1509,130,39,1678,3218
Quisqueya,40,21,6,67,5,0,3,8,75
Salcedo,269,40,30,339,169,32,30,231,570
San Fco. Macorís,408,41,5,454,596,9,20,625,1079
San Isidro,3250,1154,379,4783,3607,973,257,4837,9620
San Pedro Macorís,5668,1185,411,7264,9995,852,410,11257,18521
Santiago,19342,2192,955,22489,18994,1320,785,21099,43588
Santiago-Jánico,761,231,64,1056,390,62,113,565,1621
Santiago-Licey,529,51,19,599,236,23,26,285,884
Tamboril,332,26,14,372,221,13,21,255,627
Villa Altagracia,242,15,7,264,688,10,3,701,965
Villa Mella,220,149,49,418,2303,150,49,2502,2920
Zona Franca Ind. Luna,175,91,5,271,228,12,7,247,518
ZOFINMA (Mao),258,19,2,279,127,1,5,133,412
Z.F. Especiales,4354,515,392,5261,3136,102,346,3584,8845
