park,ob_m_11,tec_m_11,adm_m_11,total_m_11,ob_f_11,tec_f_11,adm_f_11,total_f_11,total_mf_11
Andrés,0,50,8,58,0,7,2,9,67
Baní,393,51,19,463,538,72,9,619,1082
Barahona,85,15,5,105,15,0,5,20,125
Bella Vista,487,442,61,990,66,41,34,141,1131
Bonao,153,16,3,172,277,4,11,292,464
Caribbean Ind. Park,1155,542,85,1782,962,286,113,1361,3143
Chemtec,215,44,44,303,289,9,33,331,634
Cibernético,202,94,55,351,102,28,75,205,556
Dos Ríos,1320,63,16,1399,297,45,29,371,1770
El Limonal,106,11,2,119,134,6,6,146,265
El Seibo,8,2,2,12,73,1,6,80,92
Esperanza,1087,92,83,1262,824,61,46,931,2193
Excel Boca Chica,45,8,6,59,2,2,10,14,73
Gurabo,708,84,63,855,617,44,74,735,1590
Hainamosa,133,23,14,170,127,10,9,146,316
Hato Mayor,20,1,1,22,58,2,2,62,84
Hato Nuevo,42,15,9,66,19,37,17,73,139
Interexport Free Zone,157,47,21,225,0,0,10,10,235
Jaibón,9,2,0,11,0,0,1,1,12
La Armería,112,21,8,141,194,9,8,211,352
La Hispaniola,10,1,1,12,3,2,1,6,18
La Palma,380,17,11,408,22,0,6,28,436
La Romana I,1366,323,169,1858,3150,61,108,3319,5177
La Romana II,265,258,63,586,1014,133,40,1187,1773
La Vega,2245,390,64,2699,2504,90,60,2654,5353
Las Américas,2402,836,495,3733,6449,458,361,7268,11001
Los Alcarrizos,480,57,63,600,585,10,44,639,1239
Moca,551,50,65,666,683,8,78,769,1435
Multimodal Caucedo,0,7,4,11,0,0,1,1,12
Multiparques,134,60,43,237,5,2,43,50,287
Navarrete,609,19,10,638,476,15,10,501,1139
Nigua,441,192,123,756,486,39,57,582,1338
Palmarejo,323,81,11,415,284,41,22,347,762
Palmar Abajo,1,0,0,1,0,0,0,0,1
Parque Ind. y de Servicios Yaque,221,29,39,289,2,1,28,31,320
Parque Tecnológico de Santiago,117,6,11,134,85,5,9,99,233
Pedernales,274,2,6,282,305,0,11,316,598
PERLAV,100,45,87,232,168,57,83,308,540
PISANO,2424,412,174,3010,1399,75,121,1595,4605
Pontezuela,0,0,0,0,0,0,1,1,1
Puerto Plata,421,20,12,453,496,2,14,512,965
Salcedo,69,3,1,73,89,16,0,105,178
San Cristóbal (Itabo),3433,754,551,4738,6309,277,506,7092,11830
San Francisco de Macorís,23,21,2,46,63,5,2,70,116
San Isidro,3091,853,322,4266,5307,491,313,6111,10377
San Pedro de Macorís,2306,733,235,3274,4966,352,257,5575,8849
Santiago,5363,1014,495,6872,6641,350,387,7378,14250
Santiago-Jánico,241,13,23,277,115,0,15,130,407
Tamboril,997,67,44,1108,1819,45,75,1939,3047
Villa Altagracia,84,8,12,104,90,4,8,102,206
Villa Mella,70,10,5,85,107,5,6,118,203
Zona Francas Especiales,9202,2842,1161,13205,6647,1165,971,8783,21988
