code,park,ob_m_08,tec_m_08,adm_m_08,total_m_08,ob_f_08,tec_f_08,adm_f_08,total_f_08,total_mf_08
DOM-BAN,Baní,498,70,12,580,1035,103,13,1151,1731
DOM-BAR,Barahona,460,20,20,500,60,10,30,100,600
DOM-VIS,Bella Vista,847,102,112,1061,56,1,31,88,1149
DOM-BON,Bonao,160,39,3,202,431,12,15,458,660
DOM-CIP,Caribbean Ind. Park,2168,1095,89,3352,1604,471,122,2197,5549
DOM-CIB,Cibernético,69,493,23,585,37,205,25,267,852
DOM-COT,Cotuí,91,14,2,107,130,6,3,139,246
DOM-CHE,Chemtec,218,38,20,276,234,8,17,259,535
DOM-LIM,El Limonal,69,8,10,87,61,2,9,72,159
DOM-SEI,El Seibo,9,5,3,17,109,1,4,114,131
DOM-ESP,Esperanza,1561,226,63,1850,1134,78,52,1264,3114
DOM-EXC,Excel Boca Chica,30,5,6,41,13,5,3,21,62
DOM-DOS,Dos Ríos,1154,240,89,1483,206,11,44,261,1744
DOM-GUR,Gurabo,519,130,79,728,412,73,61,546,1274
DOM-HAI,Hainamosa,339,30,28,397,432,7,24,463,860
DOM-HAT,Hato Mayor,53,12,2,67,280,7,6,293,360
DOM-HAN,Hato Nuevo,20,9,8,37,35,3,12,50,87
DOM-CRI,San Cristóbal (Itabo),3585,968,821,5374,6545,298,552,7395,12769
DOM-ARM,La Armería,172,51,17,240,497,26,26,549,789
DOM-HIS,La Hispaniola,81,5,2,88,8,1,1,10,98
DOM-PAL,La Palma,209,15,12,236,237,0,5,242,478
DOM-ROM,La Romana I,1262,205,145,1612,2682,56,102,2840,4452
DOM-RII,La Romana II,299,98,22,419,1024,17,6,1047,1466
DOM-VEG,La Vega,2027,266,111,2404,2027,64,71,2162,4566
DOM-LAS,Las Américas,4070,619,632,5321,6757,574,437,7768,13089
DOM-ALC,Los Alcarrizos,412,142,44,598,435,44,45,524,1122
DOM-MIN,LosMina,0,4,2,6,0,1,2,3,9
DOM-MOC,Moca,460,65,17,542,542,16,23,581,1123
DOM-MUT,Multiparques,194,22,25,241,5,2,48,55,296
DOM-MUL,Multimodal Caucedo,0,2,3,5,0,0,0,0,5
DOM-NAV,Navarrete,432,31,10,473,391,3,7,401,874
DOM-NIG,Nigua,366,153,100,619,438,17,55,510,1129
DOM-PAB,Palmar Abajo,20,4,1,25,1,1,1,3,28
DOM-PAM,Palmarejo,488,66,34,588,444,56,37,537,1125
DOM-PED,Pedernales,147,11,5,163,222,5,4,231,394
DOM-PIS,PISANO,1711,344,171,2226,1087,62,131,1280,3506
DOM-PUE,Puerto Plata,501,161,21,683,539,103,28,670,1353
DOM-QUI,Quiqueya,82,13,4,99,183,9,6,198,297
DOM-SAL,Salcedo,355,21,20,396,314,27,13,354,750
DOM-FRA,San Fco. Macorís,29,19,1,49,41,5,7,53,102
DOM-ISI,San Isidro,2344,1138,269,3751,4676,628,299,5603,9354
DOM-MAC,San Pedro Macorís,3559,762,299,4620,4580,454,276,5310,9930
DOM-S12,Santiago,5592,1155,499,7246,7843,798,453,9094,16340
DOM-JAN,Santiago-Jánico,93,2,0,95,78,1,3,82,177
DOM-SLI,Santiago-Licey,211,6,17,234,56,1,17,74,308
DOM-TAM,Tamboril,530,26,67,623,681,6,30,717,1340
DOM-ALT,Villa Altagracia,87,22,10,119,78,4,16,98,217
DOM-MEL,Villa Mella,47,13,5,65,112,2,5,119,184
,Z.F. Especiales,6846,932,966,8744,5912,390,702,7004,15748
