code,park,ob_m_00,tec_m_00,adm_m_00,total_m_00,ob_f_00,tec_f_00,adm_f_00,total_f_00,total_mf_00,ob_m_16,tec_m_16,adm_m_16,total_m_16,ob_f_16,tec_f_16,adm_f_16,total_f_16,total_mf_16
DOM-ISI,San Isidro,2059.0,705.0,149.0,2913.0,3185.0,1171.0,201.0,4557.0,7470.0,3556.0,2009.0,352.0,5917.0,4076.0,1233.0,378.0,5687.0,11604.0
DOM-JAI,Jaibón,13.0,5.0,0.0,18.0,57.0,2.0,3.0,62.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-JAN,Santiago-Jánico,196.0,17.0,11.0,224.0,30.0,5.0,6.0,41.0,265.0,343.0,86.0,32.0,461.0,73.0,14.0,18.0,105.0,566.0
DOM-JOB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,11.0,4.0,76.0,31.0,5.0,1.0,37.0,113.0
DOM-JOB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,2.0,25.0,6.0,0.0,5.0,11.0,36.0
DOM-KGC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,3.0,1.0,57.0,286.0,0.0,3.0,289.0,346.0
DOM-LAG,Laguna Prieta,39.0,1.0,2.0,42.0,30.0,1.0,3.0,34.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-LAS,Las Américas,3052.0,349.0,426.0,3827.0,5721.0,206.0,481.0,6408.0,10235.0,2615.0,1040.0,397.0,4052.0,7475.0,783.0,429.0,8687.0,12739.0
DOM-LIM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,13.0,23.0,104.0,131.0,7.0,25.0,163.0,267.0
DOM-MAC,San Pedro Mac.,6022.0,958.0,318.0,7298.0,9442.0,676.0,325.0,10443.0,17741.0,3132.0,985.0,466.0,4583.0,6275.0,337.0,339.0,6951.0,11534.0
DOM-MEL,Villa Mella,121.0,247.0,31.0,399.0,3089.0,400.0,107.0,3596.0,3995.0,89.0,25.0,7.0,121.0,105.0,11.0,7.0,123.0,244.0
