code,ob_m_00,tec_m_00,adm_m_00,ob_m_01,tec_m_01,adm_m_01,ob_m_02,tec_m_02,adm_m_02,ob_m_03,tec_m_03,adm_m_03,ob_m_04,tec_m_04,adm_m_04,ob_m_05,tec_m_05,adm_m_05,ob_m_06,tec_m_06,adm_m_06,ob_m_07,tec_m_07,adm_m_07,ob_m_08,tec_m_08,adm_m_08,ob_m_09,tec_m_09,adm_m_09,ob_m_10,tec_m_10,adm_m_10,ob_m_11,tec_m_11,adm_m_11,ob_m_12,tec_m_12,adm_m_12,ob_m_14,tec_m_14,adm_m_14,ob_m_15,tec_m_15,adm_m_15,ob_m_16,tec_m_16,adm_m_16
DOM-6NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,10.0
DOM-ALC,1068.0,157.0,81.0,1108.0,110.0,77.0,841.0,89.0,83.0,927.0,137.0,62.0,1360.0,130.0,63.0,917.0,97.0,84.0,811.0,131.0,122.0,510.0,122.0,54.0,412.0,142.0,44.0,395.0,93.0,48.0,407.0,60.0,55.0,480.0,57.0,63.0,432.0,82.0,55.0,375.0,51.0,36.0,429.0,71.0,48.0,370.0,72.0,43.0
DOM-ALT,362.0,41.0,106.0,735.0,32.0,11.0,650.0,31.0,12.0,540.0,19.0,8.0,242.0,15.0,7.0,285.0,41.0,22.0,170.0,15.0,17.0,81.0,27.0,18.0,87.0,22.0,10.0,63.0,27.0,6.0,120.0,19.0,16.0,84.0,8.0,12.0,100.0,17.0,6.0,137.0,21.0,9.0,119.0,14.0,5.0,134.0,14.0,10.0
DOM-AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,70.0,11.0,0.0,50.0,8.0,41.0,6.0,7.0,40.0,6.0,9.0,46.0,11.0,12.0,3.0,49.0,19.0
DOM-ARM,808.0,80.0,34.0,571.0,53.0,21.0,476.0,69.0,21.0,407.0,78.0,23.0,858.0,79.0,27.0,265.0,61.0,19.0,378.0,50.0,22.0,278.0,49.0,21.0,172.0,51.0,17.0,156.0,33.0,11.0,85.0,26.0,7.0,112.0,21.0,8.0,98.0,43.0,12.0,127.0,28.0,14.0,197.0,30.0,28.0,218.0,27.0,38.0
DOM-AZU,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,5.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BAN,1066.0,96.0,90.0,1038.0,98.0,101.0,797.0,135.0,50.0,850.0,154.0,46.0,985.0,101.0,23.0,936.0,95.0,30.0,654.0,59.0,24.0,441.0,55.0,16.0,498.0,70.0,12.0,309.0,54.0,13.0,346.0,49.0,22.0,393.0,51.0,19.0,191.0,49.0,12.0,201.0,77.0,31.0,131.0,40.0,33.0,132.0,54.0,18.0
DOM-BAR,473.0,80.0,32.0,787.0,164.0,26.0,650.0,61.0,3.0,623.0,48.0,21.0,750.0,155.0,25.0,485.0,27.0,8.0,670.0,20.0,10.0,610.0,30.0,10.0,460.0,20.0,20.0,210.0,20.0,20.0,195.0,3.0,2.0,85.0,15.0,5.0,91.0,16.0,5.0,420.0,53.0,52.0,559.0,52.0,42.0,559.0,52.0,43.0
DOM-BAY,100.0,3.0,3.0,15.0,2.0,6.0,64.0,2.0,4.0,18.0,2.0,2.0,11.0,4.0,2.0,5.0,2.0,1.0,7.0,2.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,1667.0,74.0,27.0,1137.0,75.0,20.0,966.0,29.0,18.0,1334.0,73.0,11.0,1335.0,55.0,16.0,1142.0,51.0,12.0,811.0,34.0,12.0,502.0,20.0,4.0,160.0,39.0,3.0,114.0,11.0,5.0,109.0,26.0,4.0,153.0,16.0,3.0,64.0,14.0,3.0,97.0,19.0,4.0,85.0,20.0,5.0,94.0,13.0,4.0
DOM-CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,9.0,1.0,13.0,15.0,2.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,6.0,1.0,95.0,5.0,1.0,31.0,5.0,2.0
DOM-CHE,1389.0,197.0,87.0,1304.0,90.0,34.0,411.0,23.0,51.0,239.0,25.0,38.0,429.0,75.0,49.0,338.0,46.0,41.0,318.0,59.0,47.0,247.0,59.0,61.0,218.0,38.0,20.0,161.0,37.0,22.0,217.0,31.0,25.0,215.0,44.0,44.0,238.0,36.0,25.0,175.0,24.0,24.0,207.0,37.0,23.0,136.0,36.0,27.0
DOM-CIB,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,6.0,0.0,1.0,3.0,0.0,0.0,34.0,7.0,5.0,12.0,9.0,28.0,508.0,24.0,69.0,493.0,23.0,75.0,523.0,43.0,24.0,451.0,31.0,202.0,94.0,55.0,243.0,105.0,77.0,42.0,350.0,20.0,20.0,453.0,27.0,141.0,159.0,105.0
DOM-CIP,2522.0,678.0,197.0,2085.0,342.0,150.0,2572.0,393.0,329.0,2043.0,484.0,354.0,2747.0,365.0,128.0,2000.0,497.0,175.0,1466.0,544.0,112.0,2313.0,1372.0,87.0,2168.0,1095.0,89.0,1614.0,598.0,65.0,1213.0,565.0,82.0,1155.0,542.0,85.0,1472.0,803.0,91.0,1798.0,1061.0,149.0,1660.0,937.0,393.0,1871.0,898.0,203.0
DOM-CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,25.0,8.0,61.0,22.0,67.0,134.0,43.0,55.0
DOM-COT,173.0,15.0,8.0,154.0,22.0,5.0,184.0,26.0,10.0,188.0,27.0,4.0,204.0,32.0,5.0,191.0,25.0,5.0,155.0,16.0,2.0,134.0,16.0,2.0,91.0,14.0,2.0,85.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CRI,2975.0,486.0,336.0,3194.0,481.0,430.0,3402.0,506.0,402.0,3388.0,658.0,539.0,3552.0,569.0,630.0,3909.0,676.0,577.0,4118.0,515.0,580.0,3330.0,1025.0,767.0,3585.0,968.0,821.0,2778.0,691.0,565.0,3410.0,680.0,508.0,3433.0,754.0,551.0,3674.0,886.0,632.0,4066.0,1228.0,738.0,4179.0,1135.0,838.0,4327.0,1234.0,722.0
DOM-CTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,14.0,7.0,45.0,4.0,6.0
DOM-DOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,27.0,51.0,1158.0,31.0,81.0,1154.0,240.0,89.0,1397.0,56.0,43.0,1342.0,63.0,16.0,1320.0,63.0,16.0,991.0,383.0,61.0,1446.0,445.0,73.0,1482.0,449.0,74.0,1454.0,438.0,72.0
DOM-DPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,1.0,30.0,5.0,3.0,21.0,11.0,4.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-EMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,22.0,21.0,413.0,54.0,24.0,532.0,82.0,17.0
DOM-ESP,4412.0,173.0,328.0,3672.0,121.0,309.0,3105.0,266.0,274.0,3775.0,285.0,357.0,3510.0,455.0,159.0,2639.0,225.0,156.0,2673.0,175.0,244.0,2398.0,296.0,68.0,1561.0,226.0,63.0,1780.0,217.0,118.0,1766.0,140.0,109.0,1087.0,92.0,83.0,1008.0,125.0,160.0,1662.0,188.0,138.0,1770.0,192.0,140.0,1757.0,222.0,112.0
DOM-EXC,10.0,10.0,5.0,33.0,12.0,6.0,16.0,5.0,10.0,17.0,6.0,12.0,19.0,8.0,12.0,27.0,8.0,13.0,29.0,7.0,18.0,33.0,7.0,13.0,30.0,5.0,6.0,39.0,7.0,4.0,44.0,7.0,6.0,45.0,8.0,6.0,40.0,8.0,6.0,33.0,35.0,9.0,53.0,15.0,9.0,61.0,14.0,11.0
DOM-FRA,398.0,27.0,10.0,357.0,35.0,13.0,519.0,67.0,6.0,480.0,32.0,6.0,408.0,41.0,5.0,301.0,47.0,5.0,284.0,37.0,5.0,222.0,31.0,1.0,29.0,19.0,1.0,18.0,17.0,1.0,19.0,18.0,1.0,23.0,21.0,2.0,27.0,23.0,4.0,23.0,21.0,2.0,27.0,21.0,3.0,27.0,21.0,1.0
DOM-GLO,94.0,10.0,10.0,97.0,11.0,14.0,102.0,12.0,16.0,88.0,14.0,17.0,80.0,16.0,11.0,63.0,10.0,2.0,63.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,3.0,10.0,0.0,1.0,9.0,0.0,1.0
DOM-GUR,1041.0,7.0,221.0,1116.0,178.0,127.0,1045.0,266.0,185.0,671.0,155.0,151.0,1136.0,119.0,55.0,990.0,363.0,119.0,1062.0,165.0,44.0,1158.0,86.0,272.0,519.0,130.0,79.0,653.0,149.0,88.0,587.0,93.0,87.0,708.0,84.0,63.0,907.0,139.0,81.0,1672.0,176.0,168.0,1812.0,168.0,174.0,1277.0,696.0,227.0
DOM-HAI,1670.0,42.0,58.0,484.0,163.0,58.0,443.0,55.0,93.0,481.0,75.0,99.0,598.0,50.0,49.0,361.0,31.0,19.0,558.0,27.0,33.0,332.0,42.0,22.0,339.0,30.0,28.0,244.0,24.0,17.0,230.0,35.0,17.0,133.0,23.0,14.0,184.0,31.0,11.0,143.0,31.0,8.0,177.0,44.0,13.0,187.0,57.0,11.0
DOM-HAN,0.0,0.0,0.0,137.0,16.0,5.0,105.0,10.0,4.0,303.0,5.0,5.0,466.0,24.0,6.0,146.0,17.0,3.0,88.0,16.0,5.0,34.0,5.0,4.0,20.0,9.0,8.0,19.0,9.0,7.0,45.0,13.0,10.0,42.0,15.0,9.0,41.0,21.0,12.0,104.0,22.0,30.0,72.0,20.0,31.0,67.0,21.0,35.0
DOM-HAT,166.0,17.0,12.0,228.0,12.0,6.0,110.0,14.0,9.0,98.0,14.0,2.0,94.0,14.0,2.0,118.0,17.0,4.0,157.0,6.0,2.0,131.0,32.0,3.0,53.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,65.0,8.0,0.0,51.0,10.0,2.0,51.0,10.0,2.0,55.0,10.0,2.0
DOM-HER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,15.0,0.0,240.0,17.0,0.0,240.0,12.0
DOM-HIG,147.0,84.0,10.0,136.0,75.0,16.0,43.0,33.0,5.0,18.0,27.0,4.0,52.0,26.0,3.0,47.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-HIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,2.0,11.0,1.0,1.0
