code,park,ob_m_10,tec_m_10,adm_m_10,total_m_10,ob_f_10,tec_f_10,adm_f_10,total_f_10,total_mf_10
DOM-AND,Andrés,0,70,11,81,0,7,5,12,93
DOM-BAN,Baní,346,49,22,417,493,74,16,583,1000
DOM-BAR,Barahona,195,3,2,200,43,1,1,45,245
DOM-VIS,Bella Vista,805,119,109,1033,120,3,38,161,1194
DOM-BON,Bonao,109,26,4,139,171,1,12,184,323
DOM-CIP,Caribbean Ind. Park,1213,565,82,1860,810,331,91,1232,3092
DOM-CIB,Cibernético,24,451,31,506,16,252,30,298,804
DOM-CHE,Chemtec,217,31,25,273,282,9,18,309,582
DOM-LIM,El Limonal,70,10,2,82,80,6,6,92,174
DOM-SEI,El Seibo,5,2,0,7,81,0,5,86,93
DOM-ESP,Esperanza,1766,140,109,2015,1457,102,87,1646,3661
DOM-EXC,Excel Boca Chica,44,7,6,57,1,2,15,18,75
DOM-DOS,Dos Ríos,1342,63,16,1421,296,42,1,339,1760
DOM-GUR,Gurabo,587,93,87,767,426,27,54,507,1274
DOM-HAI,Hainamosa,230,35,17,282,522,5,21,548,830
DOM-HAN,Hato Nuevo,45,13,10,68,57,7,12,76,144
DOM-CRI,San Cristóbal (Itabo),3410,680,508,4598,5857,285,485,6627,11225
DOM-INT,Interexport Free Zone,113,47,19,179,0,0,10,10,189
DOM-ARM,La Armería,85,26,7,118,169,18,11,198,316
DOM-HIS,La Hispaniola,13,0,3,16,3,0,3,6,22
DOM-PAL,La Palma,168,7,14,189,229,1,6,236,425
DOM-ROM,La Romana I,1394,291,167,1852,3012,49,107,3168,5020
DOM-RII,La Romana II,253,236,31,520,1080,209,24,1313,1833
DOM-VEG,La Vega,2528,332,58,2918,2427,82,60,2569,5487
DOM-LAS,Las Américas,2991,824,441,4256,5701,623,330,6654,10910
DOM-ALC,Los Alcarrizos,407,60,55,522,501,11,44,556,1078
DOM-MOC,Moca,584,64,22,670,788,14,25,827,1497
DOM-MUT,Multiparques,137,59,41,237,5,2,47,54,291
DOM-MUL,Multimodal Caucedo,0,4,5,9,0,0,0,0,9
DOM-NAV,Navarrete,489,17,6,512,331,6,6,343,855
DOM-NIG,Nigua,358,148,102,608,337,19,54,410,1018
DOM-PAB,Palmar Abajo,1,0,0,1,0,0,0,0,1
DOM-PAM,Palmarejo,352,100,23,475,385,51,20,456,931
DOM-PED,Pedernales,233,21,6,260,291,7,10,308,568
DOM-PER,PERLAV,27,103,42,172,99,85,34,218,390
DOM-PIS,PISANO,2215,138,172,2525,1192,17,113,1322,3847
DOM-PUE,Puerto Plata,353,32,42,427,373,25,45,443,870
DOM-SAL,Salcedo,98,0,5,103,102,0,3,105,208
DOM-FRA,San Fco. Macorís,19,18,1,38,50,5,1,56,94
DOM-ISI,San Isidro,2943,1226,303,4472,4882,744,358,5984,10456
DOM-MAC,San Pedro Macorís,2718,808,298,3824,5772,443,261,6476,10300
DOM-S12,Santiago,5308,1072,470,6850,6227,511,344,7082,13932
DOM-JAN,Santiago-Jánico,164,12,18,194,51,0,14,65,259
DOM-SLI,Parque Tecnológico de Stgo,184,6,8,198,63,3,9,75,273
DOM-YAQ,Parque Ind. y de Servicios Yaque,198,25,35,258,0,0,25,25,283
DOM-TAM,Tamboril,190,72,32,294,394,23,22,439,733
DOM-ALT,Villa Altagracia,120,19,16,155,121,19,8,148,303
DOM-MEL,Villa Mella,73,11,6,90,143,6,10,159,249
,Z.F. Especiales,8693,2009,1197,11899,6311,808,870,7989,19888
