id,year,shapeName,year,inv,ob_f_,tec_f_,adm_f_,ob_m_,tec_m_,adm_m_,ent,ele,com,inf,wat,tss,buiilt,ocu,sal_op,sal_tec,pop,temp,agr,urb,ntl,egdp,medical_checks_,emergencies_,deaths_,births_,suicides_,homicides_,car_theft_,drop_m,scho_count,class,stu
16.0,2000,San Juan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291711.59,301.8200727,0.0,0.0,0.0227521447287005,1566.3057791941303,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
17.0,2000,Santiago RodrÃ­guez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64843.25002,302.377113,0.0,0.0,0.0066602982506846,328.3294886786564,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
18.0,2000,Distrito Nacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210715.598,305.0894432,0.0,0.0,24.684198770474925,3266.9194884356334,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
19.0,2000,El Seibo,2000.0,0.0,84.0,2.0,2.0,53.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,48561.0,16187.0,570.0,850.0,124775.21,302.2725729,0.0,0.0,0.006848212219239,565.6418480742211,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
20.0,2000,Espaillat,1989.0,20417613.51,3093.0,89.0,129.0,2502.0,246.0,44.0,12.0,9048692.83,0.0,1734799.33,4928.0,10513308.64,493156.0,493156.0,692.37,1445.94,245128.9998,301.510915,0.0,0.0,0.0962260132811043,1262.7408950777617,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
21.0,2000,Hermanas Mirabal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105697.5999,301.4623278,0.0,0.0,0.0251328588310307,382.5896877120522,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
22.0,2000,Independencia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44174.88001,304.0318488,0.0,0.0,0.0044255433114462,439.9820673492026,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
23.0,2000,Baoruco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116984.67,306.1809654,0.0,0.0,0.0156399252633018,576.7975627210794,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
24.0,2000,Azua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231901.3299,303.5770947,0.0,0.0,0.0218854691082453,1108.3714733869713,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
25.0,2000,DajabÃ³n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88624.49,304.2815588,0.0,0.0,0.0087960644592122,336.38196040047137,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
26.0,2000,La Altagracia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125620.3901,302.9177225,0.0,0.0,0.1023060726926531,3897.124231391619,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
27.0,2000,MarÃ­a Trinidad SÃ¡nchez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131947.0202,300.9118507,0.0,0.0,0.0277817272933124,578.5776383841155,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
