code,name,latitude,longitude,year,close,type,sez_id,origin ,inv00,inv01,inv02,inv03,inv04,inv05,inv06,inv07,inv08,inv09,inv10,inv11,inv12,inv13,inv14,inv15,inv16,inv17,inv18,inv19,ob_f_00,tec_f_00,adm_f_00,total_f_00,ob_f_01,tec_f_01,adm_f_01,total_f_01,ob_f_02,tec_f_02,adm_f_02,total_f_02,ob_f_03,tec_f_03,adm_f_03,total_f_03,ob_f_04,tec_f_04,adm_f_04,total_f_04,ob_f_05,tec_f_05,adm_f_05,total_f_05,ob_f_06,tec_f_06,adm_f_06,total_f_06,ob_f_07,tec_f_07,adm_f_07,total_f_07,ob_f_08,tec_f_08,adm_f_08,total_f_08,ob_f_09,tec_f_09,adm_f_09,total_f_09,ob_f_10,tec_f_10,adm_f_10,total_f_10,ob_f_11,tec_f_11,adm_f_11,total_f_11,ob_f_12,tec_f_12,adm_f_12,total_f_12,ob_f_14,tec_f_14,adm_f_14,total_f_14,ob_f_15,tec_f_15,adm_f_15,total_f_15,ob_f_16,tec_f_16,adm_f_16,total_f_16
DOM-ESP,Esperanza ,19.59381238,-70.97901224,1988.0,0.0,public,26.0,1.0,25175096.0,18349267.0,12978335.35,12821702.37,16494059.37,16458862.26,15128216.15,26105748.75,28691078.0,25574506,28160673.0,22456491.7,21562882.0,13765140.0,22563480,21882449,19795843.72,16926403.1,0.0,32673410.71,2277.0,103.0,169.0,2549.0,2357.0,67.0,171.0,2595.0,2299.0,96.0,136.0,2531.0,2456.0,122.0,176.0,2754.0,2483.0,174.0,100.0,2757.0,2081.0,134.0,95.0,2310.0,1977.0,91.0,105.0,2173.0,1260.0,194.0,47.0,1501.0,1134.0,78.0,52.0,1264.0,1177.0,66.0,83.0,1326.0,1457.0,102.0,87.0,1646.0,824.0,61.0,46.0,931.0,579.0,64.0,54.0,697.0,727.0,90.0,49.0,866.0,993.0,88.0,54.0,1135.0,1055.0,92.0,52.0,1199.0
DOM-EXC,Excel Boca Chica ,18.45806505,-69.63004786,1995.0,0.0,private,27.0,1.0,1505224.0,1850848.0,2366666.0,2429044.0,3270065.43,2866943.55,1955626.55,2329221.93,3069408.0,3108964,3323751.86,5980000,8000000.0,6732500.0,7930600,8330000,8330000.0,9000000.0,0.0,9600000.0,176.0,15.0,4.0,195.0,140.0,16.0,6.0,162.0,78.0,12.0,7.0,97.0,75.0,12.0,10.0,97.0,78.0,10.0,12.0,100.0,57.0,8.0,13.0,78.0,58.0,0.0,18.0,76.0,58.0,0.0,23.0,81.0,13.0,5.0,3.0,21.0,2.0,2.0,16.0,20.0,1.0,2.0,15.0,18.0,2.0,2.0,10.0,14.0,2.0,2.0,7.0,11.0,2.0,0.0,16.0,18.0,2.0,0.0,17.0,19.0,2.0,3.0,17.0,22.0
DOM-FLO,La Flor Dominicana ,19.48619912,-70.62006966,2019.0,0.0,private,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,12057937.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM-FRA,San Francisco de Macoris ,19.27537126,-70.28770858,1990.0,0.0,public,29.0,1.0,5331860.0,5737738.0,5276529.0,5152726.27,5617302.37,2347939.3,1990981.67,645107.69,596096.89,999000,131939.96,1053438.3,588095.0,572061.16,344510.7,291266.4,3353902.07,3359934.1,0.0,3364364.76,514.0,24.0,11.0,549.0,395.0,22.0,20.0,436.0,641.0,4.0,19.0,664.0,512.0,2.0,18.0,532.0,596.0,9.0,20.0,625.0,317.0,6.0,14.0,337.0,296.0,14.0,15.0,325.0,264.0,5.0,16.0,285.0,41.0,5.0,7.0,53.0,43.0,5.0,1.0,49.0,50.0,5.0,1.0,56.0,63.0,5.0,2.0,70.0,60.0,5.0,2.0,67.0,63.0,6.0,1.0,70.0,67.0,6.0,3.0,76.0,66.0,6.0,2.0,74.0
DOM-GLO,Global Zona Franca Ind. ,18.53043559,-70.01195079,1995.0,0.0,private,30.0,1.0,9719625.77,10459813.08,8388888.0,8888888.0,7733334.0,4600000.0,4900000.0,0.0,0.0,0,0.0,0,187420.0,402925.0,440900,428211,728733.0,735289.0,0.0,682321.0,235.0,3.0,6.0,244.0,341.0,4.0,6.0,351.0,283.0,2.0,5.0,290.0,177.0,3.0,4.0,184.0,151.0,2.0,4.0,157.0,2.0,1.0,6.0,9.0,1.0,3.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0
DOM-GUR,Gurabo ,19.48857084,-70.658343,1993.0,0.0,private,31.0,1.0,5390954.0,7524131.0,6173123.44,6210741.0,10256846.97,7955826.97,16641399.67,24958839.6,12312060.73,10867492.33,7227145.02,6222335,17197448.36,14981963.52,24826481,25429550.4,27261655.52,32908390.0,0.0,9078654.8,884.0,6.0,171.0,1061.0,923.0,87.0,66.0,1076.0,735.0,206.0,107.0,1048.0,724.0,133.0,94.0,951.0,985.0,69.0,213.0,1267.0,944.0,188.0,92.0,1224.0,934.0,81.0,33.0,1048.0,1051.0,19.0,229.0,1299.0,412.0,73.0,61.0,546.0,510.0,79.0,62.0,651.0,426.0,27.0,54.0,507.0,617.0,44.0,74.0,735.0,619.0,34.0,87.0,740.0,1070.0,67.0,139.0,1276.0,1225.0,73.0,138.0,1436.0,1003.0,447.0,167.0,1617.0
DOM-HAI,Hainamosa ,18.51389836,-69.81584618,1988.0,0.0,private,32.0,1.0,10485771.0,9975665.39,6319385.0,22736105.85,7538698.0,5808123.7,6962329.0,9095812.52,11086818.52,12415013.52,12482560.08,11066456.6,9794817.22,14223911.22,14811170.4,21419086.9,22329475.47,25604251.8,0.0,43061493.13,1130.0,68.0,38.0,1236.0,816.0,177.0,67.0,1060.0,772.0,28.0,66.0,866.0,1033.0,23.0,66.0,1122.0,1057.0,21.0,28.0,1106.0,357.0,47.0,20.0,424.0,229.0,28.0,39.0,296.0,423.0,27.0,29.0,479.0,432.0,7.0,24.0,463.0,420.0,8.0,22.0,450.0,522.0,5.0,21.0,548.0,127.0,10.0,9.0,146.0,150.0,3.0,13.0,166.0,129.0,7.0,16.0,152.0,164.0,21.0,23.0,208.0,189.0,23.0,26.0,238.0
DOM-HAN,Hato Nuevo ,18.53692314,-70.06254185,2001.0,0.0,public,33.0,1.0,0.0,5500000.0,5500000.0,2500000.0,2750000.0,1050000.0,1050000.0,1568802.79,16168567.63,14974244.52,16721603.52,18372661.8,18962933.17,20061888.25,19516688.6,31710575.8,25844201.88,41981506.5,0.0,41294194.45,0.0,0.0,0.0,0.0,137.0,16.0,5.0,158.0,194.0,14.0,5.0,213.0,192.0,17.0,7.0,216.0,216.0,18.0,12.0,246.0,204.0,27.0,15.0,246.0,116.0,25.0,6.0,147.0,28.0,2.0,11.0,41.0,35.0,3.0,12.0,50.0,33.0,3.0,8.0,44.0,57.0,7.0,12.0,76.0,19.0,37.0,17.0,73.0,12.0,10.0,16.0,38.0,46.0,9.0,25.0,80.0,49.0,5.0,31.0,85.0,36.0,8.0,33.0,77.0
DOM-HAT,Hato Mayor ,18.76258519,-69.26597733,1990.0,0.0,public,34.0,1.0,2376975.0,2081975.0,1351975.0,1141975.0,1141975.0,1241975.0,1301975.0,600000.0,480000.0,0,0.0,350000,3501456.0,1141975.0,1201975,1401975,1237451.0,1237451.0,0.0,200000.0,309.0,8.0,6.0,323.0,454.0,1.0,3.0,458.0,237.0,3.0,3.0,243.0,247.0,3.0,4.0,254.0,267.0,6.0,5.0,278.0,330.0,5.0,6.0,341.0,590.0,4.0,8.0,602.0,519.0,15.0,7.0,541.0,280.0,7.0,6.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,2.0,62.0,159.0,6.0,5.0,170.0,120.0,12.0,7.0,139.0,119.0,11.0,7.0,137.0,144.0,22.0,9.0,175.0
DOM-HER,Parque Z.F. Tecnologica de Herrera ,18.44047267,-69.9817525,2013.0,0.0,private,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1553488.63,1467025,3385283.6,3480183.61,350407.5,0.0,2543804.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,11.0,241.0,0.0,227.0,12.0,239.0,0.0,184.0,11.0,195.0
DOM-HIG,Higuey,,,1990.0,2005.0,public,36.0,1.0,2970999.0,2833731.0,1254400.0,1220000.0,1220000.0,1220000.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1022.0,99.0,8.0,1129.0,924.0,101.0,9.0,1034.0,341.0,8.0,4.0,353.0,345.0,4.0,4.0,353.0,350.0,10.0,3.0,363.0,322.0,15.0,5.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-HIP,La Herradura Industrial Park  ,19.45074236,-70.74300157,2015.0,0.0,private,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,3009858.1,3009858.14,3533577.5,0.0,2550000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0
DOM-HIS,La Hispaniola  ,18.92390206,-70.40485331,2005.0,0.0,private,38.0,1.0,0.0,0.0,0.0,0.0,0.0,1599051.22,2000000.0,1200000.0,3679944.94,3679944.94,3500000.0,2968677,2828048.7,3545762.3,3605100,4065900,4930475.0,4969166.2,0.0,4960125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,9.0,10.0,0.0,0.0,10.0,3.0,0.0,0.0,3.0,8.0,1.0,1.0,10.0,6.0,3.0,1.0,10.0,3.0,0.0,3.0,6.0,3.0,2.0,1.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,5.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
DOM-HIT,Zona Franca Hit,18.4418766,-69.65026915,2018.0,0.0,private,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.0,6100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM-IHA,Parque Ind. Exp. Haina,,,1994.0,2000.0,private,40.0,1.0,2382400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,490.0,28.0,14.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-INE,Parque Industrial INETAB ,19.48954984,-70.72195582,2016.0,0.0,private,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11243908.33,33402383.6,0.0,25702443.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,4.0,14.0,289.0
DOM-INF,ZF Ind. y de Servicios Norte Infiesto ,18.49179288,-69.98528116,2014.0,0.0,private,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,201930.5,201930.5,210000.0,200000.0,0.0,198750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0
DOM-INT,Interexport Free Zone ,18.21182991,-71.11042584,2010.0,0.0,private,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45300000.0,46400000,46400000.0,15267843.0,5700000,5700000,7300000.0,7566384.8,0.0,16224923.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,8.0,8.0,0.0,0.0,13.0,13.0,0.0,0.0,13.0,13.0,0.0,0.0,11.0,11.0
DOM-ISI,San Isidro ,18.50033327,-69.7873092,1986.0,0.0,private,44.0,1.0,66947689.9,80277740.85,80359019.37,88929794.99,119380624.7,146063919.8,144863643.0,149106646.7,133164130.9,127627579.5,138930602.0,160469275.9,173580748.7,193516526.9,267320687,209311735.1,185910845.6,202185055.7,0.0,261679250.1,3185.0,1171.0,201.0,4557.0,3615.0,893.0,289.0,4797.0,3276.0,1187.0,267.0,4730.0,3371.0,1353.0,258.0,4982.0,3607.0,973.0,257.0,4837.0,4116.0,364.0,283.0,4763.0,4145.0,401.0,329.0,4875.0,4050.0,581.0,361.0,4992.0,4676.0,628.0,299.0,5603.0,4147.0,663.0,291.0,5101.0,4882.0,744.0,358.0,5984.0,5307.0,491.0,313.0,6111.0,5449.0,569.0,307.0,6325.0,5253.0,1385.0,335.0,6973.0,5416.0,1170.0,376.0,6962.0,4076.0,1233.0,378.0,5687.0
DOM-JAI,Jaibon,,,2000.0,2012.0,private,45.0,1.0,50000000.0,2907462.0,1000000.0,538782.0,538782.0,538782.0,2050000.0,1125000.0,0.0,0,0.0,350000,350000.0,0.0,0,0,0.0,0.0,0.0,0.0,57.0,2.0,3.0,62.0,18.0,2.0,3.0,23.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,3.0,0.0,4.0,1.0,3.0,0.0,4.0,1.0,2.0,0.0,3.0,7.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-JAN,Ecopark Industrial Free Zone ,19.43705956,-70.70483542,1997.0,0.0,private,23.0,1.0,10200000.0,18605411.0,18042060.0,16141588.76,16141588.76,29218513.96,31297739.0,28167965.1,285600.0,4657734.25,11426448.0,5473432.9,15473775.0,17103479.83,17778662.4,19810494,22017101.0,20801502.0,0.0,21896171.02,30.0,5.0,6.0,41.0,156.0,1.0,18.0,175.0,109.0,9.0,6.0,124.0,184.0,74.0,117.0,375.0,390.0,62.0,113.0,565.0,256.0,86.0,65.0,407.0,468.0,20.0,22.0,510.0,374.0,18.0,16.0,408.0,78.0,1.0,3.0,82.0,118.0,2.0,6.0,126.0,51.0,0.0,14.0,65.0,115.0,0.0,15.0,130.0,123.0,0.0,17.0,140.0,1.0,3.0,19.0,23.0,20.0,15.0,14.0,49.0,73.0,14.0,18.0,105.0
DOM-JOB,Zona Franca Jobo Industrial,19.47548577,-70.64268481,2015.0,0.0,private,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,235000,6534700.0,7240708.9,0.0,7435708.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,1.0,37.0
DOM-JOB,Zona Franca Jobo Industrial,19.47548577,-70.64268481,2015.0,0.0,private,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,235000,6534700.0,7240708.9,0.0,7435708.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,11.0
DOM-JOB,Zona Franca Jobo Industrial,19.47548577,-70.64268481,2015.0,0.0,private,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,235000,6534700.0,7240708.9,0.0,7435708.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,5.0,22.0,31.0,5.0,1.0,37.0
DOM-JOB,Zona Franca Jobo Industrial,19.47548577,-70.64268481,2015.0,0.0,private,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,235000,6534700.0,7240708.9,0.0,7435708.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,5.0,22.0,6.0,0.0,5.0,11.0
DOM-KEP,Silver Key Park,,,2005.0,2006.0,private,47.0,1.0,0.0,0.0,0.0,0.0,0.0,5616428.0,5256428.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-KGC,Parque Ind. KG Compania Comercial,19.5498392,-70.84249449,2014.0,0.0,private,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2658123.3,2691026.9,1378419.0,1378419.0,0.0,1378419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,0.0,3.0,326.0,364.0,0.0,4.0,368.0,286.0,0.0,3.0,289.0
DOM-LAG,Laguna Prieta,,,1997.0,2007.0,private,49.0,1.0,1375000.0,1500000.0,1290526.0,1290526.0,1000000.0,1000000.0,1000000.0,250000.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,30.0,1.0,3.0,34.0,47.0,1.0,4.0,52.0,40.0,3.0,5.0,48.0,36.0,5.0,4.0,45.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-LAS,Las Americas ,18.46024249,-69.7068226,1989.0,0.0,private,50.0,1.0,106989708.0,129646562.0,135824379.2,139389061.7,185309783.6,181067451.1,197337263.0,184298723.9,368203479.7,410015315.9,393617488.6,357020442.4,342177049.4,405978614.9,356027384.7,333853320.5,383936907.5,460575569.7,0.0,741390516.2,5721.0,206.0,481.0,6408.0,5035.0,364.0,280.0,5679.0,5500.0,185.0,340.0,6025.0,5335.0,373.0,332.0,6040.0,5860.0,320.0,332.0,6512.0,5611.0,298.0,313.0,6222.0,5816.0,421.0,366.0,6603.0,5330.0,443.0,421.0,6194.0,6757.0,574.0,437.0,7768.0,6296.0,645.0,352.0,7293.0,5701.0,623.0,330.0,6654.0,6449.0,458.0,361.0,7268.0,6893.0,540.0,370.0,7803.0,7449.0,402.0,484.0,8335.0,7918.0,611.0,517.0,9046.0,7475.0,783.0,429.0,8687.0
DOM-LEO,Parque Industrial Eduardo Leon Jimenes ,19.46227703,-70.671318,2018.0,0.0,private,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.0,6312378.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM-LIM,El Limonal ,19.44195379,-70.63858151,2005.0,0.0,private,52.0,1.0,0.0,0.0,0.0,0.0,0.0,3816492.03,4198206.6,4049887.1,2848669.88,3777074.21,5526995.41,5087227.7,5087227.7,5396532.18,7409162,3586845.4,5604124.68,4532656.9,0.0,12057849.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,6.0,8.0,141.0,109.0,3.0,9.0,121.0,59.0,2.0,10.0,71.0,61.0,2.0,9.0,72.0,62.0,3.0,7.0,72.0,80.0,6.0,6.0,92.0,134.0,6.0,6.0,146.0,67.0,9.0,7.0,83.0,165.0,5.0,24.0,194.0,155.0,5.0,26.0,186.0,131.0,7.0,25.0,163.0
DOM-LUN,Zona Franca Industrial Luna,,,2001.0,2007.0,private,53.0,1.0,0.0,365114.0,1000000.0,1064600.0,1361523.24,398333.33,375874.0,300000.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,7.0,5.0,72.0,121.0,4.0,4.0,129.0,204.0,2.0,4.0,210.0,228.0,12.0,7.0,247.0,158.0,23.0,2.0,183.0,127.0,12.0,2.0,141.0,23.0,2.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MAC,San Pedro de Macoris ,18.45274371,-69.28915784,1973.0,0.0,public,54.0,1.0,83818075.57,77047150.49,69008769.12,83843844.0,100904818.5,106283114.0,104410800.5,117742843.3,98933247.8,110444428.2,105633982.4,117392030.2,133914998.3,125926492.5,148635877.4,288228578.3,306711790.8,191457870.4,0.0,181789419.4,9442.0,676.0,325.0,10443.0,9122.0,729.0,294.0,10145.0,9370.0,635.0,284.0,10289.0,9325.0,551.0,299.0,10175.0,9995.0,852.0,410.0,11257.0,7075.0,469.0,299.0,7843.0,6420.0,431.0,231.0,7082.0,6543.0,474.0,266.0,7283.0,4580.0,454.0,276.0,5310.0,5213.0,386.0,250.0,5849.0,5772.0,443.0,261.0,6476.0,4966.0,352.0,257.0,5575.0,4933.0,439.0,275.0,5647.0,5478.0,303.0,288.0,6069.0,6346.0,340.0,327.0,7013.0,6275.0,337.0,339.0,6951.0
DOM-MAI,Zona Franca Bah’a de Maimon,,,2015.0,0.0,private,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,390000,2149200.0,1854005.5,0.0,2763779.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM-MEL,Villa Mella ,18.522265,-69.90166418,1989.0,0.0,public,56.0,1.0,33528000.0,32130784.0,9791777.0,13650000.0,14102621.34,8624705.4,12626748.12,3515124.09,8685092.14,11636577.68,9026248.52,10109835.7,7569908.06,15267810.99,15926641.2,16124936.1,16910749.48,13914713.4,0.0,20371964.3,3089.0,400.0,107.0,3596.0,2552.0,256.0,35.0,2843.0,1551.0,65.0,140.0,1756.0,1521.0,126.0,25.0,1672.0,2303.0,150.0,49.0,2502.0,1665.0,38.0,107.0,1810.0,1312.0,42.0,99.0,1453.0,3.0,0.0,3.0,6.0,112.0,2.0,5.0,119.0,201.0,14.0,22.0,237.0,143.0,6.0,10.0,159.0,107.0,5.0,6.0,118.0,99.0,14.0,8.0,121.0,109.0,10.0,7.0,126.0,121.0,10.0,11.0,142.0,105.0,11.0,7.0,123.0
