code,name,latitude,longitude,year,close,type,sez_id,origin ,inv00,inv01,inv02,inv03,inv04,inv05,inv06,inv07,inv08,inv09,inv10,inv11,inv12,inv13,inv14,inv15,inv16,inv17,inv18,inv19,ob_f_00,tec_f_00,adm_f_00,total_f_00,ob_f_01,tec_f_01,adm_f_01,total_f_01,ob_f_02,tec_f_02,adm_f_02,total_f_02,ob_f_03,tec_f_03,adm_f_03,total_f_03,ob_f_04,tec_f_04,adm_f_04,total_f_04,ob_f_05,tec_f_05,adm_f_05,total_f_05,ob_f_06,tec_f_06,adm_f_06,total_f_06,ob_f_07,tec_f_07,adm_f_07,total_f_07,ob_f_08,tec_f_08,adm_f_08,total_f_08,ob_f_09,tec_f_09,adm_f_09,total_f_09,ob_f_10,tec_f_10,adm_f_10,total_f_10,ob_f_11,tec_f_11,adm_f_11,total_f_11,ob_f_12,tec_f_12,adm_f_12,total_f_12,ob_f_14,tec_f_14,adm_f_14,total_f_14,ob_f_15,tec_f_15,adm_f_15,total_f_15,ob_f_16,tec_f_16,adm_f_16,total_f_16
DOM-CAD,Los Candelones ,19.55066181,-70.85609369,2017.0,0.0,private,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,411338.6,0.0,122704.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM-CAN,La canela ,,,2003.0,2005.0,private,12.0,1.0,0.0,0.0,0.0,75000.0,105300.0,80000.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CDF,Parque Industrial CDF,19.49516261,-70.71634466,2014.0,0.0,private,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,9951283.2,12385321.3,13877081.07,14327027.9,0.0,18385681.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,1.0,9.0,403.0,416.0,3.0,10.0,429.0,347.0,4.0,10.0,361.0
DOM-CHE,Chemtec ,18.45851329,-69.28651371,1988.0,0.0,private,14.0,1.0,13904205.18,15028164.77,10843940.0,11701944.0,12451195.0,12578026.0,11544005.88,13078586.88,11670132.56,9529543.84,9674380.13,12627628.3,22727726.14,15744854.67,10086381.8,13252725.1,11888282.0,13073325.6,0.0,21526217.53,1173.0,51.0,65.0,1289.0,703.0,30.0,40.0,773.0,263.0,17.0,33.0,313.0,158.0,2.0,24.0,184.0,460.0,12.0,37.0,509.0,326.0,6.0,35.0,367.0,337.0,8.0,38.0,383.0,545.0,40.0,66.0,651.0,234.0,8.0,17.0,259.0,292.0,6.0,19.0,317.0,282.0,9.0,18.0,309.0,289.0,9.0,33.0,331.0,326.0,12.0,29.0,367.0,202.0,5.0,25.0,232.0,302.0,4.0,23.0,329.0,248.0,3.0,26.0,277.0
DOM-CIB,Cibernetico ,18.45320537,-69.66257273,2001.0,0.0,mix,15.0,1.0,0.0,100000.0,370000.0,850000.0,200022.0,447688.04,687068.0,4812539.37,27578537.13,26346861.1,28720043.69,23317650.2,8287450.3,3113738.42,14723507.1,13991905,14983445.16,33214209.4,0.0,35323725.42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,0.0,3.0,25.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,6.0,8.0,0.0,5.0,13.0,20.0,191.0,20.0,231.0,37.0,205.0,25.0,267.0,27.0,262.0,36.0,325.0,16.0,252.0,30.0,298.0,102.0,28.0,75.0,205.0,249.0,53.0,101.0,403.0,1.0,418.0,42.0,461.0,13.0,209.0,52.0,274.0,221.0,101.0,62.0,384.0
DOM-CIP,Caribbean Industrial Park ,19.410116,-70.661171,1997.0,0.0,private,16.0,1.0,18051016.0,50560204.77,46506866.87,41356877.0,87086690.8,67237667.9,80945068.95,106653235.4,94008689.99,97436928.19,98848558.18,74088828.3,90022192.1,92176467.35,81632133.9,86613144.4,75017908.83,85202608.5,0.0,87093861.96,1679.0,549.0,126.0,2354.0,1603.0,137.0,120.0,1860.0,1842.0,122.0,280.0,2244.0,2087.0,141.0,496.0,2724.0,2425.0,175.0,158.0,2758.0,1328.0,284.0,149.0,1761.0,1098.0,226.0,111.0,1435.0,2024.0,558.0,156.0,2738.0,1604.0,471.0,122.0,2197.0,884.0,345.0,86.0,1315.0,810.0,331.0,91.0,1232.0,962.0,286.0,113.0,1361.0,1245.0,441.0,116.0,1802.0,1422.0,443.0,181.0,2046.0,1715.0,381.0,377.0,2473.0,1629.0,451.0,305.0,2385.0
DOM-CON,Conacado Industrial Park ,19.32373849,-70.27604128,2013.0,0.0,private,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,17850000.0,18200000,17036793.9,14670572.54,15325256.0,0.0,13356974.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,13.0,3.0,8.0,50.0,61.0,12.0,18.0,79.0,109.0
DOM-COT,Cotui,19.03592402,-70.15049018,1990.0,2009.0,public,18.0,1.0,848212.12,647057.0,707666.0,674500.0,991500.0,1270000.0,350200.0,332690.0,350200.0,350200,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,167.0,7.0,8.0,182.0,176.0,6.0,6.0,188.0,171.0,16.0,6.0,193.0,175.0,17.0,4.0,196.0,203.0,13.0,4.0,220.0,166.0,12.0,5.0,183.0,164.0,8.0,2.0,174.0,144.0,8.0,2.0,154.0,130.0,6.0,3.0,139.0,116.0,8.0,3.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CRI,San Cristobal (Itabo) ,18.38627302,-70.04084591,1986.0,0.0,private,19.0,1.0,128412185.6,173673194.0,167406327.0,54751310.0,160500579.5,227382639.8,255296543.6,192590839.4,176024106.6,170061663.1,223399295.8,303716964.3,353293339.5,393731783.8,457875277.8,327128636.3,400875948.6,361501451.7,0.0,448782869.8,5575.0,376.0,297.0,6248.0,5745.0,228.0,313.0,6286.0,5472.0,305.0,310.0,6087.0,5363.0,373.0,430.0,6166.0,6166.0,241.0,438.0,6845.0,6201.0,435.0,430.0,7066.0,7005.0,297.0,449.0,7751.0,5882.0,314.0,615.0,6811.0,6545.0,298.0,552.0,7395.0,5147.0,184.0,453.0,5784.0,5857.0,285.0,485.0,6627.0,6309.0,277.0,506.0,7092.0,6229.0,312.0,529.0,7070.0,6102.0,561.0,628.0,7729.0,6248.0,584.0,736.0,7568.0,6474.0,594.0,595.0,7663.0
DOM-CTQ,Parque Industrial CTQ ,19.42740185,-70.5940585,2015.0,0.0,private,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,7972912.2,4417394.92,4948805.0,0.0,4419487.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,6.0,301.0,227.0,0.0,5.0,232.0
DOM-DOS,Dos Rios  ,18.91241012,-70.37486281,2006.0,0.0,private,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70000000.0,70000000.0,110000000.0,110000000,110000000.0,65161871.9,96729338.25,208986256.0,208986256,208986256,211987405.0,169429373.0,0.0,171442666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,18.0,12.0,161.0,94.0,3.0,36.0,133.0,206.0,11.0,44.0,261.0,298.0,25.0,24.0,347.0,296.0,42.0,1.0,339.0,297.0,45.0,29.0,371.0,205.0,71.0,50.0,326.0,204.0,40.0,72.0,316.0,248.0,45.0,60.0,353.0,243.0,42.0,59.0,344.0
DOM-DPE,Don Pedro,,,2004.0,2007.0,private,22.0,1.0,0.0,0.0,0.0,0.0,300000.0,440900.0,425000.0,205000.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,2.0,0.0,0.0,2.0,6.0,1.0,1.0,8.0,16.0,1.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-ELV,Parque Industrial Elva Maria,19.45844729,-70.63018049,2017.0,0.0,private,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,10000.0,0.0,229900.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM-EMI,Zona Franca Industrial Emimar ,19.42494677,-70.62298095,2014.0,0.0,private,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,4030000,4030000,7121521.1,7100000.0,0.0,6525063.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,10.0,12.0,290.0,908.0,19.0,36.0,963.0,1149.0,38.0,38.0,1225.0
