id,drop_m2020,drop_m2019,drop_m2018,drop_m2017,drop_m2016,drop_m2015,drop_m2014,drop_m2013,drop_m2012,drop_m2011,drop_m2010,scho_count2008,scho_count2009,scho_count2010,scho_count2011,scho_count2012,scho_count2013,scho_count2014,scho_count2015,scho_count2016,scho_count2017,scho_count2018,scho_count2019,scho_count2020,class2008,class2009,class2010,class2011,class2012,class2013,class2014,class2015,class2016,class2017,class2018,class2019,class2020,stu2008,stu2009,stu2010,stu2011,stu2012,stu2013,stu2014,stu2015,stu2016,stu2017,stu2018,stu2019,stu2020
20,5.1,2.3,4.9,5.7,6.1,5.2,6.8,8.1,6.1,8.1,8.3,273,273,270,271,269,270,277,274,269,277,279,282,279,2730,2785,3251,2779,3421,3639,3732,2684,2610,2685,2680,2714,2624,61406,59939,57899,56621,56777,55849,55419,54802,53968,55348,56233,55180,49182
21,3.9,3.0,2.7,3.6,4.9,6.4,5.9,4.9,6.1,6.6,6.5,161,163,165,162,166,161,158,153,153,152,152,149,145,1505,1494,1769,1513,1802,1791,2064,1362,1361,1363,1362,1297,1250,26478,25194,24005,23646,23332,22837,22594,22232,21898,21258,22125,21359,18738
22,3.2,1.8,2.5,3.6,3.9,5.1,10.8,5.5,6.1,6.0,7.0,60,65,67,65,66,67,68,67,66,67,70,71,68,662,618,738,658,803,764,962,589,604,617,664,682,690,14834,15516,16031,15715,15415,15830,17020,17434,17587,18152,19845,19539,16918
23,5.5,1.7,2.3,4.6,5.3,7.5,5.5,4.7,5.3,5.6,6.2,145,155,155,156,162,163,164,162,165,158,162,161,158,1383,1488,1676,1462,1858,1909,2076,1410,1407,1354,1429,1461,1453,31300,32549,31645,31853,32828,33965,33461,33962,33555,32820,33763,32476,29105
24,8.1,2.4,4.8,5.5,5.7,5.4,5.6,6.5,4.8,4.5,3.6,247,256,260,249,249,249,253,250,253,259,259,260,255,2590,2604,3061,2611,3167,3353,3456,2577,2554,2613,2625,2634,2604,63532,62351,63097,62378,62463,64558,66415,66771,66403,64666,65372,64200,58556
25,9.6,2.4,3.6,4.6,5.0,7.2,7.3,6.9,5.7,4.4,2.7,124,120,120,121,123,124,126,122,125,123,124,125,123,938,979,1124,980,1245,1327,1353,929,914,914,952,959,948,19115,19041,18122,18053,18748,18855,19053,18507,18571,17667,18818,18665,16903
26,8.6,1.5,2.8,5.1,5.4,7.0,8.6,7.8,5.6,6.2,6.9,243,254,256,266,273,288,288,274,282,280,291,294,308,2289,2415,2850,2649,3378,3485,3627,2924,3059,3160,3331,3457,3366,60891,66808,64646,68876,75541,81540,85380,88899,92633,95268,100684,102115,86862
27,5.4,2.5,2.9,3.4,4.1,5.2,5.9,2.0,3.3,3.5,3.7,262,259,260,261,263,257,255,243,244,243,252,251,244,2154,2163,2450,2153,2782,2926,2831,2002,1969,1921,1975,1980,1928,40882,37301,35987,35443,34923,35147,35875,35547,34824,33696,35383,35387,31604
28,6.2,2.0,3.5,3.5,4.4,5.3,6.2,4.3,4.0,4.4,5.0,2385,2599,2702,2716,2788,2793,2769,2487,2510,2512,2467,2427,2247,27990,29156,32426,30132,35466,35661,35485,29474,29641,30518,30460,30192,26933,627191,651122,655566,661582,685307,711500,727718,729535,724894,726990,751025,743241,623832
29,6.8,2.1,3.0,4.0,5.5,6.0,4.6,3.5,4.0,3.0,2.8,355,348,351,341,345,346,348,346,347,345,341,338,335,2972,3016,3566,2905,3783,4071,3994,2972,2944,2987,2953,2932,2953,60595,60207,56343,56856,58462,59874,61221,62042,60469,58221,59138,58060,53083
30,6.1,1.3,2.7,4.3,4.9,6.5,8.2,5.2,4.4,6.4,6.3,644,676,694,683,694,692,709,671,692,698,701,687,645,7015,7620,9089,7738,9799,9492,10027,7490,7639,7618,7676,7623,7112,171656,186554,184466,188586,188777,194817,198856,198572,195588,194027,194011,192592,169134
31,6.5,2.4,3.9,5.7,6.6,7.0,6.7,4.3,5.5,6.2,5.4,277,307,302,298,306,302,311,299,294,287,289,287,288,3397,3629,4026,3584,4290,4375,4742,3639,3592,3609,3619,3583,3461,90328,91142,92866,92553,94102,96909,96581,95428,93285,91801,93999,92640,80619
