code,ele0,tss0,inf0,wat0,com0,ele1,tss1,inf1,wat1,com1,ele3,tss3,inf3,wat3,com3,ele4,tss4,inf4,wat4,com4,ele5,tss5,inf5,wat5,com5,ele6,tss6,inf6,wat6,com6,ele7,tss7,inf7,wat7,com7,ele8,tss8,inf8,wat8,com8,ele9,tss9,inf9,wat9,com9,ele10,tss10,inf10,wat10,com10,ele11,tss11,inf11,wat11,com11,ele12,tss12,inf12,wat12,com12,ele14,tss14,inf14,wat14,com14,ele15,tss15,inf15,wat15,com15,ele16,tss16,inf16,wat16,com16
DOM-CIB,0,0,0,0,0,0,0,0,0,0,22000,0,3000,0,70000,0,0,0,0,0,526342,10362.5,10447,0,580091,4831007,48100,81843,10105,517666,12222517.82,1060673.08,33644.72,0,680065.78,19063172.61,4099596.64,1354680.02,79095.8,1515131.49,17546188.22,6451824.03,1927642.62,20395.91,25676403.54,5720230.69,5099155.57,131431.5,14230,1973833.61,19172437.66,10485390.01,545719.5,0,5776410.34,18956992.95,96374430.87,4805747,25000,39866322.46,27786000,24121725.52,5631264.31,105000,5382600.94,41757937.42,113420336.6,5761777,109832,4173375.14,30250.05,42716.16,1730.13,67.92,8808.83
DOM-CIP,8864202,4009688,0,457832,0,23042736.06,5865570.56,5248053.79,764430.72,0,36867922.31,8784222.09,3333914.28,1085400.28,8733568.27,87363210.07,7421156.14,4221563.57,3830485.58,13649317.18,65407518.8,5980210.85,3197934.44,8757942.18,8538792.75,70584347.77,5078569.88,3236198.75,13653532.46,11853413.16,106637497.1,43130318.51,7510872.95,9876949.39,14166523.46,90381177.52,191251263.2,5487855.36,11571109.6,15574103.65,80355505.87,54453450.85,3987825.93,11946023.29,14522582.9,45913185.07,73652784.85,48703113.25,5640274.43,7501807.64,86861655.83,121479731,4350456.33,13561726.1,8915092.61,180360924.8,85154028.71,5342132.32,13780807.91,16689509.16,128755649.2,181936505.1,7146610.52,25030231.76,10001543.65,146043047.4,161131111.9,8480759.54,22133148.27,9700286.51,127272.03,170362.39,9289.85,21575.69,10326.43
DOM-CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4556012.57,10325863.9,502808,0,1309617.26,7560914.81,33159271.05,550347.87,338277.16,2115564.1,7425.37,9261.6,411.16,343.04,2420.58
DOM-CRI,68236074,24682875,5098848,2697286,0,73122148.68,20020772.09,4739782.21,3032356.37,0,191366523.7,25616961.28,7654849.11,3566382.49,25779624.82,276169513.3,19644115.67,10553964.55,4237565.02,40445759.79,325668370.3,24913736.7,12106799.7,5527065.05,52509586.56,302698151.6,24977990.92,13300294.87,5755459.54,51836050.67,348712686.5,125415337.4,64069530.79,6883000.37,51177281.17,287747989.2,311271274.8,14403102.46,3792657.25,42540010.22,232284174.5,283308121.9,14048012.02,4828679.5,36200210.67,244652532.6,328690788.2,14886567.91,8116708.35,77546134.08,276332873.9,384701922.1,16396187.01,11165165.4,45403493.51,365093433.6,456084144.1,25535904,11169012.73,66791361.28,584125924.9,539729090.9,26197638.97,6099045.76,95277131.05,625331734,580494898.8,27439624.32,8981283.89,125589817.5,651718.62,651908.11,33549.17,9791.8,118943.46
DOM-CTQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175619.75,17210207.04,408855.6,210924,388228.23,1388.02,6913.24,337.61,156.82,681.41
DOM-DOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128144640,9285912.29,1148196,944179,3151994.17,128144640,46075854.77,2158061.73,600257,2656806,34057156.07,50358358.07,2730700,673403,2664237,19095998.4,60523386.64,2474246,487800,3787776,242431456.2,67755357.39,2954679,505504.23,5023155.79,262569413.9,65687494.28,2931445,810266.35,2989781.58,328948693,100373200.1,4591614.25,3098246.58,2312752.42,327002713,120924376.8,5666808,2619207.74,3370867.01,202952.73,124631.26,5076.13,2335.96,2818.88
DOM-ECO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM-EMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11098754.41,27070578.81,1180647,203568,621684.7,12249484.23,91818063.81,1444840.2,297605,496408.48,8744.58,40556.79,566.01,100.21,495.41
DOM-ESP,10290123.02,8541176.67,1403431,235384,0,23236495.09,14099855.7,1751138.77,259157,0,21276192.5,15483501.07,2666631.66,1646453.79,2264735.88,40428423.28,11827736.77,3719079.72,1502703.85,2235950.78,28562158.58,10306497.5,3998300.23,1204814.09,3163163.26,905161.66,259060.45,33096,43152,271998.48,32366169.94,47197889.84,3934617.92,1555832.35,2138450.21,27035862.11,55337825.15,2189339.07,1321031.1,2089375.6,24216673.43,56081496.45,2354881,1527619.28,1518836.68,29460537.51,78520783.23,3674774,1296558.94,1609078.23,22457580.01,54124216.8,2454459.5,1346949.2,2061739.49,14917069.85,44572745.02,2067027,1070635.68,2096991.52,12163312,53087174.97,1421702.34,316144.6,1150624.84,28329627.02,68525580.21,2938003.2,1690076.12,4242648.8,28788.4,91748.26,4187.29,2006.3,5126.37
DOM-EXC,294179,466635,58337.55,4680,0,362000,513000,61500,19925,0,879912,527425,100825.88,11183,708896,1159680,527458,160057.47,9504,1205420,1503711.65,545832.63,120907,22500,1626148,38360768.55,15180225.04,3778927.69,1473944.15,1681533.46,2048091,1186469.88,241752,68000,3239228.8,1375450,297987.59,349547.42,48260,2388511,47790.34,3606656.63,224040,51749,1804556.55,1584746.77,4189065.88,407875.48,86549.83,1903336.36,3222000,418612.08,253000,14000,9.00E+05,4.00E+06,3583783.68,200357,9000,750000,6063319.36,5231061.87,345740.4,39600,1864173.34,7929219.5,6001314.2,490280,96000,3179094.72,7751,6992.72,662,432.6,2650
DOM-FLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM-FRA,1271259,1937598,133094.38,155744,0,1262821,2471334,169572,144790,0,3107986.38,2494719.22,134164.82,183970,504653.03,4597762.1,1513103,872913,199660,802987.27,3857469.33,1704888.96,341433.69,189315.4,1069807.25,4265731.7,1538836.81,352767.02,406065.77,790240.25,3714134.71,4880664.06,280707.02,131864.66,394075.88,682100.99,3319852.88,38193.93,26718,101375.12,724743.81,1211011.08,52802,26718,100809.59,694055.57,1611791.29,60331,26718,100414.48,1072866.99,1985346.79,73794,26718,119289.24,1087059.64,1945604.44,85744.26,29936,149412.62,1156683.37,2513008.97,98000.2,27803.33,147885.77,1204258.97,2749604.74,121506,96540,329018.32,1305.68,2826.4,130.4,96,350.56
DOM-GLO,0,710000,0,0,0,0,1209000,107800,0,0,0,263800,80300,35000,266000,0,0,29100,480000,372000,0,56096,27100,619500,540000,1688391,580432.63,177589,16500,2655577.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23233,0,0,0,5000,230000,152198.92,4300,0,210000,263440,236797.31,10200,0,256384,285.88,390.93,19.59,0,270.3
DOM-GUR,6820179.91,2867796,751991,673920,0,7685350.16,6301187,1165096,395066,0,9305761.59,4541115,1255761,303199.19,1401856.91,36051786.93,3136495.38,1408057.59,391412.56,5330115.02,25398122.2,8292794.05,2483425.18,1393096.82,7297096.92,13464000,180000,162000,948000,8.00E+05,19780486.01,30275394.53,2750516.63,954563.18,7168606.93,13636635.67,40260473.37,1857585.26,325826.52,8840869.52,11403163.67,37227903.31,1893232.39,674806.25,11686139.94,12891988.97,35128415.46,1562663.58,311000,16495693.88,15419362.97,47803457.56,1951756,95000,41410801.39,18725821.73,57914806.36,2734365,64000,36422680.56,35021178.09,110362972.6,5505088.1,1455259.92,5033726.12,30215613.44,204852510.3,4858621.27,1397507.76,6854202.92,28780.76,59793.58,5562.56,1029.33,6769.59
DOM-HAI,7327312.15,6555330.14,761254.39,1045561,0,6442176.72,4741768,119995,216586,0,4021745.75,2457641,415963.68,283300,2386604.58,6239029.97,1762905.5,942991,229300,2510288.69,4453966.57,1701630.67,297415.31,638501.88,2521981.89,17583342.54,4013257.62,2039169.34,816580.7,6526264.71,4742077.77,9867398.78,628093.65,313017.28,3298443.24,12673790.84,7359112.89,325985.56,169362.75,2732556.05,5433532.73,9994010.75,894210,384904,2182791.27,9405248.11,8938240.41,234923.36,393809.82,2326703.73,2141319.84,8464688.63,234768.38,404017.04,2043424.84,1685146.08,5319429.44,246199.98,652060.69,2602977.64,1549000,7460893.92,313222,865000,2464800,3790425.74,9009647.35,593079,960588.95,3046946.65,2256.12,12098.4,649.38,1454.6,3975.91
DOM-HAN,0,0,0,0,0,0,26000,0,0,0,120170,1056703,271119,0,501782,0,990426.23,368472,0,951456,0,1603910,504545,0,1320500,637287.54,528104.91,117052.9,20824.8,396921.83,155154.69,320032.51,30655.81,23301.6,508099.03,2082907.03,1386102.35,39935.82,0,545186.8,939754.48,1518011.28,75963,0,1009185.24,2424512.99,2271884.71,94978,0,1441265.05,2862853.03,3391599.58,659869.44,0,1176226.24,4245553.6,4528433.46,231136.22,12604.8,1735756.37,3825404.56,8605677.56,409209.2,1181744,3068764,5428204.55,11447627.44,639205.8,155120,5631280.68,4381.42,11054.81,604.91,2,2728.03
DOM-HAT,0,0,0,0,0,191325.4,1464406.36,66213.43,53991,0,689937.68,680984.38,109119.16,41257.5,185789.93,1033823,5143272,141385,37290,168289,1156172.85,730462.7,192756.89,372130,432544.17,11411760.55,1738237.94,373877.66,382275.84,3439481.18,1550157.69,5178699.49,269957.19,167537,951364.95,1373647.19,13329847.85,296327.15,26746.2,287485.56,0,5091840.89,0,0,0,0,0,0,0,0,1205000,1308828.94,64400,30000,40500,1488861.54,2074890.22,64105,44076,92270.16,2015763.11,0,213042,45932.4,242151.71,2316299.2,0,213042,45932.4,242151.71,1820.91,6035.39,200.24,34.2,392.56
DOM-HER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6210003,0,2002214,0,18041328,0,162235.57,6753,0,0,15759.18,28767.46,1773.95,574.88,23008.99
DOM-HIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,320930.14,14282,60000,42000,2600,492.63,21.72,70,46.5
DOM-HIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8586570,358513,102900,0,216787,7393166,297845.86,68104,0,324599,3254154.21,882409.67,48254.65,0,245254.36,11465044.6,3392724.46,43415.6,64912,143092.91,11465044.6,2994391.88,43415.6,64912,143092.91,1276002,2178303.41,0,12444,144198.16,0,0,148138,0,168705,12316294.49,0,0,55000,422057.97,9265149,2944687.58,541522,55000,2716639,22182095.37,0,146936.25,50000,514220.67,5209.76,0,0,24.21,217.94
DOM-INE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10010,11357.78,138.28,1268.17,1120
DOM-INF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180000,631880.54,18000,0,360000,231140.68,465430.14,22353.52,22350,520311.87,393.93,408.95,19.41,2.24,460.24
DOM-INT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746966.74,3808915.65,171005,134412,1076580,3535691.11,5137158.94,245035,134563.2,6.00E+05,3400000,5703169.51,230000,130000,6.00E+05,10511630.69,7601807.78,355468,131632.4,2342975.73,9318612.86,7497175.6,337506.37,14856.23,2184808.93,10632.05,8950.48,394.7,16.39,2082.57
DOM-ISI,31646223.4,17460230.61,5325528.84,757785.81,0,37173666.23,18061333.76,3489325.33,1092184.99,0,76825402.54,19598138.37,4772733.2,1651186.39,25973656.16,168897478.6,15039551.66,8347091.28,2365592.24,40913432.72,117089825.7,13508504.63,6835304.55,2224881.78,52040178.21,113312390.4,12164657.93,8214332.99,2222645.17,42519465.27,146519634.5,94221029.94,10692956.55,2717371.32,66325717.37,139838599.5,218994541.8,12002827.39,5353475.48,86535330.7,143815211.4,411432905.9,9861386.33,2437470.02,74765997.22,153059641,389491791.6,12653971.77,2484410.69,71732684.29,192686630.6,412295561,14663263.75,2376390.64,108673423.5,221826562.5,293276150.9,27454926.47,3962188.82,39959027.02,291017114.6,468762268.2,25885097.88,3881109.81,31533448.28,304271060.5,588972991.2,22991903.43,2787900.23,57163142.31,275492.7,475700.78,19965.49,2739.7,43754.95
