code,ele0,tss0,inf0,wat0,com0,ele1,tss1,inf1,wat1,com1,ele3,tss3,inf3,wat3,com3,ele4,tss4,inf4,wat4,com4,ele5,tss5,inf5,wat5,com5,ele6,tss6,inf6,wat6,com6,ele7,tss7,inf7,wat7,com7,ele8,tss8,inf8,wat8,com8,ele9,tss9,inf9,wat9,com9,ele10,tss10,inf10,wat10,com10,ele11,tss11,inf11,wat11,com11,ele12,tss12,inf12,wat12,com12,ele14,tss14,inf14,wat14,com14,ele15,tss15,inf15,wat15,com15,ele16,tss16,inf16,wat16,com16
DOM-LAS,39819296.51,18075614,3828482,659109,0,47191306.25,54461047.49,4016915.25,1056567.94,0,89759303.35,19479075.1,4603336.69,2031771.94,13600259.12,139655957,32545714.87,6526259,3096066.94,18415056.64,161252682,32098790.74,8250162.38,4128403.43,22157331.78,182068757.3,19939434.03,9630952.12,4335997.8,24776671.92,226515732.7,82758069.47,11418837.77,5390349.74,26473088.44,183340508.6,320520331,12706874.59,4833209.31,24558280.98,184663047.5,183177753.7,10989941.71,3545105.17,20264154.81,148893774.2,212243524.6,10669461.19,3022288.53,16907982.24,187574926.9,220785052,12122941.99,3809589.07,23002757.29,217385839.1,229389506.7,13698401.94,3990137.71,20807743.47,243770121.4,378837030.9,16453650.06,3707055.18,28663996.9,280476699.9,463645784,18741943.54,4337957.99,36698243.86,247328.3,411903.86,18492.23,3484.4,40217.23
DOM-LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM-LIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342221,167796,215746.39,31314,478261.38,43391834.21,860031.1,863991.31,0,1722712,0,1068882.06,147455.11,0,368812.75,0,3069128.87,114186.46,0,321598.37,0,693746.23,107114,0,333102,0,4102334.28,160265.75,0,418396,0,0,194796,0,361723,0,4622677.78,161892,0,407652,2811290.02,7872473.7,478989.87,470751.84,1055349.74,5150982.66,9784219.92,390261.39,569976.4,1112253.18,8197.46,9995.44,454.13,57.24,1658.17
DOM-MAC,45780419.63,46509414.03,6340525.83,696067.85,0,42492996.64,40567674.67,49587329.02,941548.7,0,83155099.4,36102364.97,5751414.08,1274951.86,12960394.39,168840272.3,29957206.33,8752216.53,1792134.44,20734780.03,139794467.6,33295179.64,8063748.73,1766853.12,17971475.14,101201162.9,26184091.22,8371382.54,1951867.2,16694728.7,112400543.1,132387488.3,9183358.85,2290715,16454189.5,121725770,178460231.2,7252105.62,1421141.21,17182123.84,100969161.5,147644846.7,7202291.63,1938210.99,17544897.54,135001450.1,208176476.8,8392928.24,1615155.36,15180371.45,161665303.2,209165737.6,9061747.91,2729766.76,17741368.17,188382145.5,195300219.7,12063316.06,2244070.84,17642783.18,221808160.3,243711653.3,11669026.33,2317914.65,19988840.02,212345332.3,305064307.3,14631933.08,2166360.47,17902622.64,208110.17,354985.98,14814.92,2873.28,24336.08
DOM-MEL,6796128.3,10408004,998486.48,104220,0,6283739.67,6326465.86,1206755.16,99000,0,6639000,4000743,100202,37800,1051400,9187007.94,2849658.83,1500863.91,135455,2418371.44,10838620.64,6864504.05,1901695.06,513814.21,2005573.75,19350428.55,4349134.9,1688765.35,317617,1549991.66,3067631.8,323221.17,44156.88,39862,381924.69,2387409.67,2004245.44,116466.46,53080,588963.92,3674585.1,3853437.91,147650.36,45917.88,452702.7,1816759.48,4128908.48,152802,34409.88,360286.31,6687300.5,4196908.64,203936,73454.88,553338.39,7456313.48,5084744.68,230830.4,103937.4,785581.14,11822216.17,5617536.15,232837,162905.42,485255.18,14030595.4,6969455.02,315159,299398,1322304.76,11396.63,7713.24,336.76,198.99,739.4
DOM-MOC,9048692.83,10513308.64,1734799.33,4928,0,11848330.33,13219724.88,1540252.7,28169,0,20580576.56,10664549.11,1618117.68,384307,2577300.69,36782141.58,6253512.68,2040067.26,820971.78,5421317.15,31797019.84,8032525.54,1696092.24,261170.02,2877672.98,28623690.69,8589113.57,2059107.59,676019.1,2853336.62,20431567.78,7078101.48,711877.12,620213,1666301.56,15461539.82,44020643.25,522702.04,276314,1306154.42,12297963.57,12111774.73,651579.59,344422,1028481.88,18430762.5,17702444.62,659226.75,488552,1780206.8,34625580.29,26995360.95,979866,450474,2506450.27,15231252.35,36638223.68,1038076,494624.01,1362112.84,21318131.04,24517943.22,1260126.8,1221553.99,1182812.63,14446956.15,32723267.31,1086792,713009,1565896.24,30417.06,41595.11,1066.08,1374.31,3464.04
DOM-MUL,0,0,0,0,0,0,0,0,0,0,0,1372698,633145,0,4239266,382589.57,32500,332000,3521.56,3144743.46,0,95903.92,430960,150000,1780837.06,0,0,0,0,0,0,0,0,0,0,0,37124013,0,0,0,0,69617781.24,0,0,0,1.00E+05,46128232.99,0,0,20048,150000,51770209.9,0,0,10000,373305.86,53699783.1,25067,0,37067,528593.12,675339.13,36666,0,251885.28,296750.33,800017.47,431823.87,0,203613.08,278.47,840.08,219.18,0,189.24
DOM-NAV,2383800,2085723,0,200956.34,0,2833561.7,2534621,149321,216175.25,0,5050331,1418276.5,230950.96,96000,0,5612278.31,3470640,586616.15,0,1044087.52,10131215.85,5438136.55,314749.31,64961.28,514232.94,8259877.55,3025883.81,345666.04,64941.6,380517.52,4609725.13,7451357.93,288897.66,59141.6,391405.44,4011440.3,11475305.68,511487.64,57922.5,332611.03,4158602.92,10788036.3,476657,73084.56,241825.23,6391340.08,12463877.29,554109,69292.8,432678.25,7352062.5,12388848.18,583592,115765,533040,4680867.9,13897324.72,621971,54135,378499.86,9489340.72,19473611.16,1031468.04,75088.3,722361.93,9602851.91,20681558.04,1007316.75,138421,727174.3,11226.56,18457.54,1048.31,197.03,1282.08
DOM-NIG,4990825.74,3814033.23,445024.76,123438,0,10773658.69,6300954.18,662848.31,261827.5,0,14439561.49,3513308.16,568067.27,306456.64,3185107.93,26029161.91,2070366.9,1074832.3,456582.8,20879863.65,28125967.09,2363385.93,832939.12,397423,3377764.79,33135588.11,3281255.74,1009856.55,534588,2678912.77,32203441.29,14666424.93,1122435.19,790876.5,3114229.16,26339314.91,22850110.9,1020692.34,453807.6,2302178.81,24101599.92,8856559.6,1056873.36,409775.5,2538799.83,31599007.22,9231984.13,1289326.09,412444.5,2133301.91,36928008.32,33181584.99,1281394,418829.5,2959946.25,35169553.2,38586738.5,1841956,434776.54,2596191.06,62651614.05,52019137.39,2738809.31,736707.4,6785075.28,65850037.58,114833927.2,3228956.52,815303.16,6395274.07,40526.58,73092.99,4224.66,1225.92,6585.69
DOM-PAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,1600,22000,240000,72000,6492,21600,242400,359376,300500,128276,21600,503000,552220.44,2501557.57,94067.3,4800,485693.58,908717.81,5659452.94,231597.6,28320,494268.01,589243.21,5527375.8,155383,24307,290615.9,991864.3,5820428.58,194840.6,69600,351512.34,1456440.38,7705079.3,133503.49,27776.61,714328.25,2131815.88,10268310.72,209661,27000,794119.43,1952417,13729294.05,526375,0,527681.8,3694818.92,17480606.95,726104,0,1351002.92,8262.04,23513.4,793.78,138,1173.71
DOM-PAM,929360,2246163,0,0,0,848991,1996525,310970,0,0,3169920,3572168,721576,0,470470,3836872.93,2455634.74,864067.44,0,1088923.16,4044706.12,3183726.95,987721.83,0,1021998.37,5207571.5,2771039.05,1185480.53,0,1379221.69,5613195,7694138.54,1980443.18,555796.56,1501098.49,6063778.16,43862125.68,1410802.21,3200000,1188037.26,5376814.52,33244644.25,1049434,0,606566.39,4506784.77,31120141.42,1246469,0,791823.21,7263328.49,31609823.43,1251239,0,950128.87,6472658.23,19171698.03,822930,0,1756413.41,7009679.1,47209984.72,1279362.52,0,1619761.62,8137380.4,63332729.8,1391097.33,0,3897028.54,9130.11,35590.68,1613.08,0,2859.54
DOM-PED,0,0,0,0,0,24000,108,0,0,0,95710.29,72020,0,0,95961.73,250361,65767,0,23192,83351,284351,0,0,18654,95546,730876.41,478127.6,94507,143000,230081.25,823787.63,402857.74,121956.5,249547,261733.27,823787.63,4362261.64,121956.5,249547,261733.77,922866.82,5668127.36,290000,1982,241654.36,1115044.36,8569554.05,652869,126140,225580.13,1659603.39,11247387.82,358782,292755,211238.74,875241,9177708.51,458231,176254,215354,1712396.98,733991.4,0,0,416231.83,1641805.95,0,0,0,318687.67,1745.54,4846.1,747.49,0,347.41
DOM-PIS,9166401,9009416,1468884,706118.36,0,3694857.27,2240227.42,808119.03,1636405.67,0,19555619.53,8763119.6,1548329.04,1931589.45,5362284.53,46965030.16,6310733.08,13792609.54,3813733.08,8742694.21,59526504.97,7293358.24,3355373.24,4095008.15,9259106.6,62519598.46,9158289.73,3653875.04,3772148.12,10602596.8,65925107.98,34647947.79,4444121.98,4813419.12,12123035.85,51271347.69,91154559.18,3391034.91,2956223.34,8157058.74,48973308.86,35430864.54,3669995.58,3216327.58,7241746.78,24282079.02,24136987.18,898364,46026,2580158.85,73547178.7,118930578.6,4604848.18,5198000.97,8331268.42,80591565.56,120855691.7,5391119.18,5444976.04,8497175.56,168579823.7,188117598.4,9427893.24,8105770.28,12044104.24,117681077.5,223219663.6,10004789.61,9331990.98,12919803.72,101622.47,231279.02,10585.88,9089.68,12265.86
DOM-PUE,5311906.08,19892838.13,786084.04,145265,0,6382882.63,6419805.95,631521.55,129193,0,9841753.51,6659583.19,735598.13,648764.22,2546894.34,14868005.65,3581763.78,791875.3,756115,3495653.66,11835927,3011085.08,803361.37,805447.47,2751093.2,10330810.56,3522521.2,865168.59,453290.4,2193230.15,11371193.78,20366645.86,913969.94,401389.02,1756401.01,7811303.43,18774578.16,818299.71,214065,1183492.16,10479512.62,15721814.43,447281.7,180449,2900046.61,52109546.38,45396213.8,4182443.12,6263721.21,7905337.29,6687413.52,7312274.6,167248.8,118063.12,770961.32,8351288.95,10192293.64,315526,82041,1926275.46,9095511.43,19743281.3,608851,120081.5,901997.26,13816381.09,27061971.07,1150966.61,231799.5,2037517.29,12543.54,25730.32,1098.78,450.31,2170.7
DOM-RII,5968526.43,8757437.13,0,243825,0,8627763.89,3962954.44,624279.65,412804,0,18782739.25,5243133.34,954827,757346.5,506756,33819992.38,3524698.92,1168742.04,455013,1576320.37,27622215.09,5316982.53,502878,92423,5699148.97,22992789.55,3728105.88,313874,393916,4728283.61,23672777.38,14539918.06,1127332.21,601015.8,6003856.2,29393353.81,26239897.7,1047717.28,425722,4594818.87,20976522.34,25443329.64,1451575.72,565579,4638795.01,21025814.36,40249767.5,1353359,1032350,6025982.27,26507466.38,43656665.89,1884397,512386,6198840.74,35256865.8,46456377.23,2221527,567804,6473887.03,58426062.04,67856585.87,3357378.96,1093525,8162700.77,60462198.91,84572883.03,3899395,1453006,8273410.3,79362.75,88232.78,5151.76,1578.83,10020.11
DOM-ROM,38118402.65,33173329,5255715.34,1510160,0,49743540.42,33256452.12,3256054,1597092.15,0,47814816.03,25379912.02,2534539.02,2260398.7,3232831.04,74764835.34,17815676.7,3405629.58,1184616.42,4027088.78,28743520.15,8774893.62,3294138.37,584209.64,3607736.85,29174906.85,12584215.74,2703224.98,992612.24,3270986.63,27082637.86,29683401.14,2499426.1,788032.45,2589712.94,33532284.52,61850187.69,2729242.54,730458.8,3004730.52,27220317.22,48362444.22,3121031.46,1383983,3531332.78,28893398.31,76010121.76,3278119.18,863915.65,3221721.58,38452319.51,87869159.07,3456330.72,1117443,3122093.57,38473255.24,90844829.43,4133658.15,971957.19,2310621.26,90106211.87,114852182.7,7308210.71,848204.35,10748793.01,89889901.15,135021535.5,7541434.38,946506.25,8125120.12,85530.98,156109.18,7220.9,1521.43,14004.5
DOM-S12,101656845,93401094,13441979.47,13636879,0,94383489.6,71771272.25,10063519.18,12194254.78,0,201119669.6,92329447.79,16520485.61,34218860.57,21591433.41,308988769.2,81698044.19,24149543.55,23892849.44,33352697.87,303091368.2,94397401.9,24579596.4,32493454.17,33365802.05,293768218.6,74116296.7,24586372.22,35329977,35722962.3,161897027.3,177824716.7,16283965.76,17583117.16,25846482.74,166163383.1,372308187.2,13158164.02,13718573.17,23194480.42,129867974.1,419989450,12134516.23,16174542.36,24463355.34,166844336.3,399145603.4,12982721.28,15411805.21,23907167.5,186080832.9,338004851.7,13756191.89,17049702.13,24975944.45,194981328.6,394171662,15151115.28,18209285.45,29898634.97,293475351.9,375618476.3,21115489.4,26372764.74,37451294.78,291582455.3,632323833.5,24732793.16,32558019.14,42307567.05,386730.67,527000.37,25948.89,32161.21,44071.28
DOM-SEI,0,0,0,0,0,0,790246,79024,60000,0,0,480000,80000,36000,51516,0,2.00E+05,85000,38450,95540,1059585.08,0,18547,58471.4,162826.17,0,497872.54,159505.21,0,439202,612457,135016,10458,20245,165365.25,785000,457382.55,50078.64,56493,181800,336000,598589.94,30000,22356,69600,540000,941028.41,30000,22344,66720,521478,1388704.73,23251,32002,68251,542318,1503183.87,53038,34344,77769,855805,1836406.72,85058,39802,93528,909547,2171268.1,107324,22344,138000,919.6,2750.05,102.37,32.84,146.28
DOM-SLI,990083.26,754365,0,112392.83,0,1543339.11,1244326.49,226326.05,93684.86,0,1372721.6,333102.6,99751.2,59152.5,912937.19,7994044.26,831191,438906.89,167367.5,1613941,8818173.82,989251.42,751988.75,188442.23,1995157.97,3091175.19,115086.17,197569.86,117567.74,1769901,3788948.8,1888681.38,146439.83,110292.36,1449649.33,2823416.28,6305425.57,146174.29,143693.7,820269.95,4382922.63,5287273.28,217540.05,145396.5,843597.41,4969175.89,5915651.74,256937,122343,892153.21,4793079.86,6050267.9,246967,190269,812426.51,4358267.17,4505223.74,226855,169468,472843.03,6436875.41,6846228.67,192579.24,199839,459926.77,6000754.68,7847364.7,356271.97,274253,568696.68,6945.19,9347.21,426.52,314.55,595.45
DOM-TAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40132.19,3745,0,24508.98,1251.31,624.92,20.08,0,179.33
DOM-TAM,4500,15230,0,0,0,1280000,315000,24000,6000,0,4691649.35,359637.5,74234.54,525165.16,1135211.05,7464937.92,695833.11,283577.59,292089.01,2384349.3,10465287.93,1477759.33,440309.86,230730,1742157.93,12144439.26,980921.13,341408.41,281895,1729837.67,7647898.55,1767131.69,15015,125577,737265.01,10643103.24,32580057.42,901435.3,221300,907525.86,15307395.82,7381582.97,816230.55,187893.2,2222398.76,8487711.31,5986772.08,470710.92,150799.2,1000568.06,21213843.83,40468244.36,1704566,362295.2,2469710.24,39412130.31,75275387.33,2926636.56,288050,2175364.52,75931434.73,117687230.4,5449801.67,1519316.27,2566912.95,80861818.16,137435425.2,5922129.16,2060706.32,3014177.21,151758.85,160109.11,8303.48,4596.8,4552.47
DOM-VEG,19505860.5,18751875,2669151.67,1031627,0,18458617.35,87093851.53,10642320.08,813431.79,0,36287644.7,33048282.13,2877482.27,1383746.7,6395237.19,62456738.43,16118619.59,3806124.69,1579188.62,8066854.47,42998044.02,13783180.84,3271956.75,633163.5,6693525.45,55704977.32,16521788.65,3962920.62,1276016.28,9667117.76,37044662.79,23892615.3,2169976.68,882786,6660364.34,30021879.85,42926959,1872791.36,770575.63,5135740.31,22856282.57,15508283.6,1099318.98,413403,2792625.3,35713830,46127044.08,1724458.5,740548.49,3636941.93,50243306.14,58945323.97,2388481,1073158.17,4709304.3,57437671.39,58689408.68,2583834.45,895640.7,4885253.45,129657135.5,102344837,11961332.15,1886356.32,4984907.91,61770972.74,107008260.7,4513150,1793569,5568246.32,50380.11,109065.73,4535.28,2539.47,6435.25
DOM-VER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM-VIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145500,56400,0,90000,185000,73211.41,207217.3,0,49071,272934.73,85024900,171681.98,1137654.35,8.00E+06,3209490.99,146663382.3,24860776.08,1448370,7642081,4297577.79,215730058.9,33782555.03,1532104,12451533,3902908.41,4224434.65,30144336.33,1973480,12696529,4074717.2,10085000,40627668.25,1950000,9700000,8070000,173500000,50224417.22,2563800,17191000,11600000,5013142.46,44747426.19,2632573,16354196,2960080.59,374700000,57600351.29,3023000,19924000,4365000,315649590.4,60854461.67,3173190,21329496,885510.8,254413.1,65013.44,3001.83,16800,5231
DOM-ZFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114718485.9,16204661.54,4151535.51,7121176.42,25334126.13,217620059.2,13313858.97,7133582.44,25478099.87,42131987.06,329645069.4,25556092.06,9960987.07,30228872.37,59306854.56,255728777.2,126626165.6,11226984.43,30175966.65,96304776.48,260776176.3,315099138.2,13035689.76,30935183.93,85282654.91,262345324.2,465692056.4,17051141.99,15121043.69,88563960.86,289523508.4,419378311.1,19045830.55,10943696.08,115588590.6,323949608.5,545453048.5,21804267.31,10802240.43,120346557,366616395.6,601651183.9,35378715.1,12388355.11,142971061.3,521249619.7,933024269.2,44938424.2,33078533.13,196838991.6,560731683,1936937930,56878735.77,31905877.56,180436853.3,519425.72,1204396.35,53397.75,27844.11,210191.42
