code,name,latitude,longitude,year,close,type,sez_id,origin 
DOM-PER,PERLAV,18.52899686,-69.99851177,2010,0,private,70,1
DOM-PEV,PEVISA,,,2004,2005,private,71,1
DOM-PIS,Santiago-Navarrete (PISANO) ,19.50852054,-70.75994998,1993,0,private,72,1
DOM-PON,Pontezuela,,,1997,2012,private,73,1
DOM-PUE,Puerto Plata ,19.80291323,-70.72350803,1983,0,mix,74,1
DOM-QUI,Quisqueya ,19.48858161,-70.65855914,2001,0,public,75,1
DOM-RAF,Don Rafael ,,,2002,2004,private,76,1
DOM-RIE,Los Rieles,19.48858161,-70.65855914,2013,0,private,77,1
DOM-RII,La Romana II ,18.44349389,-68.97852859,1987,0,private,78,1
DOM-RIO,Riosur ,18.5195064,-69.64306985,2017,0,private,79,1
DOM-ROB,Los Robles,,,2013,2015,private,80,1
DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969,0,private,81,1
DOM-S12,Santiago ,19.47670339,-70.72489004,1974,0,mix,82,1
DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012,0,private,83,1
DOM-SAL,Salcedo,,,1999,2012,public,84,1
DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000,0,public,85,1
DOM-SLI,Parque Tecnologico de Santiago ,19.4462542,-70.639953,1993,0,private,86,1
DOM-SUN,Parque Industrial Zona Franca Sunsea,,,2016,2019,private,87,1
DOM-SUR,Zona Franca Ind. Del Sur,,,2014,0,private,88,1
DOM-TAL,Intercontinental ,18.56054395,-70.07035003,2015,0,private,89,1
DOM-TAM,Tamboril ,19.48142597,-70.63333181,1997,0,private,90,1
DOM-VEG,La Vega ,19.24673204,-70.55649026,1987,0,public,91,1
DOM-VER,Luperon Verde ,19.79325036,-70.68090459,2019,0,private,92,1
DOM-VIS,Bella Vista ,18.61321459,-69.70844704,2004,0,private,93,1
DOM-YAQ,Parque Industrial y de Servicios Yaque,19.46972418,-70.71437329,2010,0,private,94,1
DOM-ZOF,Zofinma (Mao),19.5539567,-71.09162809,1993,2006,private,95,1
