urb2001,urb2002,urb2003,urb2004,urb2005,urb2006,urb2007,urb2008,urb2009,urb2010,urb2011,urb2012,urb2013,urb2014,urb2015,urb2016,urb2017,urb2018,urb2019,urb2020,urb2021,urb2022
6180.80623626709,6432.711183309555,5308.845401406288,3147.76997590065,3451.3819996118546,5848.528939008713,5221.923490643501,4677.018489122391,4561.550270557404,3305.3079483509064,6639.356855511665,8742.67504286766,9157.936366552463,10352.097625223796,11210.182359782855,10610.317350006104,11661.74369597435,12994.750677140551,14016.60199063619,13529.01499188741,14503.41424645162,15321.988072556142
951.9024529457092,1147.0356959104538,669.2840224504471,714.7004314661026,1037.2198759317398,1637.0447064638138,1117.9123376607895,951.1118507385254,728.4094014167786,428.5085092782974,1024.8166449069977,1574.4100016355517,1145.3112618923187,1309.631136894226,1638.5863444805143,1574.0070414543152,1679.3246923685074,1867.4200060367584,2153.64499270916,2205.224986076355,2336.950001001358,2770.9950181245804
11.79581868648529,0.0,4.95084273815155,1.4477858543395996,1.4477858543395996,0.0,1.05390465259552,12.034022331237791,3.718613386154175,1.22383713722229,5.0134687423706055,10.902509689331056,60.35637092590332,41.6845817565918,34.0279598236084,40.03840255737305,40.59048652648926,41.23999977111816,32.8849983215332,32.31999969482422,33.17999839782715,70.329998254776
83.90387577169082,146.72912544362686,87.33538419358871,91.73890149172615,86.50713717516732,105.05418234572691,71.0111594354405,43.30768282974468,59.18266700856826,61.6303893327713,67.50199458458845,113.42488016614728,280.7393841593873,283.9232564299714,275.71147873541884,281.49636297786935,291.99460297098346,298.27125584705203,290.55984310916824,292.38139276411016,311.34331499782263,395.84915727727554
633.345099568367,901.56469476223,608.5271986722946,380.2590743303299,373.59180200099945,341.69626247882843,188.7882298231125,220.5595016479492,389.117139339447,225.6052724123001,535.4429755439945,680.9297232856937,1314.1668992804546,1463.5279997423584,1876.146358629769,1698.005414014704,1951.746783393037,2100.5432165837756,2645.6904543222163,2354.4625360563687,2405.3086822939854,2457.0329398052363
161.00086271762848,82.25885903835297,105.55710756778716,102.05060517787932,50.05124819278717,85.60560750961304,33.62277662754059,36.65746068954468,77.01446723937988,66.99088132381439,125.77533411979675,470.22740626335144,942.008739709854,837.1398965120316,941.8978213071824,908.151825428009,912.8165332078934,953.8299914598464,1081.5650089979172,945.0349922180176,947.4100000858308,1206.904994249344
23.631321741085426,23.992930961590183,21.07220297981711,23.822593778722425,39.566157430760995,37.41465778865066,24.023049148391273,5.7747116715300315,6.110637615241256,7.120194550121532,75.48785293803495,96.38245994810964,147.44970015123778,161.26828872690012,182.32170079829643,166.09659651073756,158.83679994134343,165.59427471628376,184.0163337431702,172.24162694192398,185.66588383515676,223.07282285316316
136.60291516780853,189.17018282413483,327.04610538482666,183.65943503379825,149.76495933532715,203.1028881072998,157.28790807724,116.1712783575058,199.71329617500305,154.32578790187836,274.5377196073532,263.6776901483536,805.553318810463,1021.5922936518988,1238.4520335047853,1280.2677025593964,1582.461995625496,1889.234675474728,1954.1750627531724,1804.7511053665012,1857.4932116919872,1917.281954246876
584.8270887052311,612.3237368167615,368.7515758808922,242.6834706844068,299.6368357751884,387.7312859315498,207.82404311544755,190.0230594265695,202.9542767384473,176.51575382924543,418.7442785487456,455.9166159470876,1341.3490353948932,1501.20313474945,1374.1855694565118,1338.6466580012266,1300.548570837694,1318.0380728515925,1330.212529262842,1329.1554637469496,1849.8527694594627,2122.2215883853387
915.685601442468,1172.3709179611767,1059.1068673278771,796.4533691004211,547.8794596209246,674.5253479915506,581.652914686764,624.4970523324668,652.637322192566,528.6105762575188,663.780293527304,1224.908235517203,2716.9457517418205,2795.6399714339013,2868.595254737723,2858.33196332221,2936.229767265507,3332.1949953317644,3179.8064508325915,3074.731007081855,3296.655976084167,3788.240190846312
288.6679993867874,306.73368430137634,325.20448875427246,157.9967337846756,184.80283176898956,212.9961849451065,143.1490662097931,107.69338703155518,253.96117067337036,89.30062782764435,282.72217309474945,474.2112326622009,472.8092476129532,531.6410641670227,601.3709264993668,635.8896408081055,745.5907119512558,804.9799972772598,841.8449999094009,790.2300018072128,945.095002412796,1357.0749768018725
84.71295392513275,85.77591359615326,129.2820075750351,87.83108007907867,72.05555629730225,90.62692034244536,67.98286426067352,66.56520974636078,47.64917778968811,28.90824282169342,133.4216912984848,238.57423758506775,485.0324195506526,481.1408176169676,471.493531889074,482.3888358003953,864.238893478057,839.2080019600251,845.9950054883957,782.0149974822998,956.3300023078918,1042.080001950264
33.7059545507618,43.91656989957772,27.431148667429007,44.7363486883687,20.011713366882475,27.647678815149796,31.70557021253249,43.49293007803898,135.22299105232838,26.140642725252636,49.806136818493115,41.12196172545938,189.07321979064568,202.50840504683703,192.4444231636384,195.71949771245323,240.52952978984985,260.5687431279351,244.0150608361936,251.5935921262292,275.5312541503532,303.33819430014665
413.7581610207464,570.2110426963544,499.2781609792335,239.63680843465468,245.80459773540497,300.8148014704386,197.39660072466907,241.0090290322023,295.49131298065186,145.1288561820984,396.995097918604,800.5415059407552,1031.942982210365,1170.0321629879522,1243.2834917208727,1161.3266111775945,1193.912000800114,1232.724275747935,1312.5053751875373,1843.2106469177731,2179.2261821162465,2530.2836550820107
826.0448483738245,813.0681498326508,667.7011096547632,375.8056439909281,551.8264151086994,951.3379387748008,816.5198834176157,594.3196659387328,362.5481898382598,298.4508153396494,1094.7200620978488,1424.084402248906,1894.3009634635027,2046.4932400493055,2279.562236505863,2382.912800509789,2319.4478993280263,2610.5330793876274,2768.5784631018546,2385.178631586655,2707.064583959299,2728.4291657298218
