asdf_id,surface_pm25_annual_v5gl03.2015.mean,surface_pm25_annual_v5gl03.2016.mean,surface_pm25_annual_v5gl03.2019.mean,surface_pm25_annual_v5gl03.2018.mean,surface_pm25_annual_v5gl03.2014.mean,surface_pm25_annual_v5gl03.2008.mean,surface_pm25_annual_v5gl03.2002.mean,surface_pm25_annual_v5gl03.2009.mean,surface_pm25_annual_v5gl03.2007.mean,surface_pm25_annual_v5gl03.2000.mean,surface_pm25_annual_v5gl03.2006.mean,surface_pm25_annual_v5gl03.2013.mean,surface_pm25_annual_v5gl03.1998.mean,surface_pm25_annual_v5gl03.2012.mean,surface_pm25_annual_v5gl03.2004.mean,surface_pm25_annual_v5gl03.2005.mean,surface_pm25_annual_v5gl03.2011.mean,surface_pm25_annual_v5gl03.1999.mean,surface_pm25_annual_v5gl03.2010.mean,surface_pm25_annual_v5gl03.2003.mean,surface_pm25_annual_v5gl03.2017.mean,surface_pm25_annual_v5gl03.2021.mean,surface_pm25_annual_v5gl03.2001.mean,surface_pm25_annual_v5gl03.2020.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
10,13.741440259488297,13.716187130037556,12.556525337139803,13.624283753440128,13.213673136197812,11.620352672145382,12.929722703405298,11.056783849404338,12.458827192836953,11.849678056728942,12.373707100481337,12.682500083570101,11.622228556858419,12.117875174651857,11.204537523308607,12.1683524248367,11.858993051157844,11.916539270261548,12.701797456320719,13.354393907486871,14.092464839009903,13.396915855020517,12.300351215568543,12.252426901491537,ADM2,10,10,DOM,DOM-ADM2-62336421B40996189,Baní,ADM2
11,10.170919513054091,10.289941514740422,10.80167099288207,11.168771064669153,10.102387993817256,9.337243115249763,11.421515192003666,9.44021655196368,11.090060221732562,10.185353315715172,10.922714579551704,9.721428758356653,9.48797793136799,9.788906357498314,9.243584505309045,10.80442457132225,9.374738514591273,10.710412783817638,11.280256535780376,11.156175111185854,11.258972964094934,10.883300942617891,11.024649170275898,9.985705308761652,ADM2,11,11,DOM,DOM-ADM2-62336421B92290454,Villa Hermosa,ADM2
12,14.064022059010501,13.935600105576961,12.616585541629311,13.725160803585304,13.463458004632573,12.52106851905528,12.772241242519753,11.992540349237009,12.887447863294025,10.705607397130679,12.860050883838284,13.375131111116126,9.423623156113644,13.057012710245527,11.604004649562643,14.037701202255644,13.625190337049014,9.18232764792949,14.318384793576826,13.996332277171279,14.489836362808234,14.216911681347558,11.967058276124854,14.68665078975963,ADM2,12,12,DOM,DOM-ADM2-62336421B96628190,El Cercado,ADM2
13,11.038203105881712,11.329560310996568,11.233917416743862,11.684673216756634,10.677922044029716,9.751221695388164,12.363338689628069,9.625486421870644,12.271225305035937,12.092387284171297,11.4750162130418,9.993975981038027,9.672464451514255,9.618667780886266,9.864210038049036,11.876640006026092,9.216938750612957,9.143753486374113,11.369936370575507,12.708408252164215,12.023559153902264,11.296843387547828,13.124651248971285,10.248259783404945,ADM2,13,13,DOM,DOM-ADM2-62336421B60125690,Eugenio María De Hostos,ADM2
14,15.151684740373735,16.428945369334247,14.0754795733372,15.779569487473099,15.449170357456001,13.999951960575844,13.96156208175008,13.17999183252899,14.336273269920412,11.357103098565117,13.932093093258365,14.623845894653696,10.509805422665817,14.379713719153381,13.279589489302198,16.532578757646412,15.213813770791983,10.669787643633844,15.684649895158872,16.0325054154811,17.306411905637265,15.5017322730288,14.128135172119459,16.070092471486216,ADM2,14,14,DOM,DOM-ADM2-62336421B62065221,Bohechío,ADM2
15,8.852678026906501,8.998784155180251,9.544249341014728,9.854799651711783,8.74451628542736,8.158425003662812,10.966951707702316,7.879814132750468,10.489260178156906,11.670495876570126,10.02875715525808,8.030200210298924,10.00545094933833,8.231753112222295,8.679296621330678,10.4149573211137,7.718709772692106,9.54577480103254,9.630946618206552,11.223594153524129,9.772631628388893,9.228034873178622,11.604391412166184,8.435517149563967,ADM2,15,15,DOM,DOM-ADM2-62336421B63865508,Arenoso,ADM2
16,15.182603977466743,15.125321041392901,13.801053814253338,15.020594457921717,14.621568684000417,13.173697417424322,14.169399038759448,12.55475212324545,13.520294043502561,12.663528478280808,13.376263361762545,14.10898059457093,11.305263099512787,13.691739898215943,12.575382747709252,13.997164415234044,14.143522457720593,11.052498077365005,14.621370928434315,14.726827650007086,15.767713150821926,15.710534578785397,13.474155936474974,15.169486266430663,ADM2,16,16,DOM,DOM-ADM2-62336421B3706850,Tábara Arriba,ADM2
17,15.057268605861628,14.621039055220066,13.65843705072277,14.608739072332376,14.282943662682632,12.887736553340108,14.787072752529191,12.22968645699043,13.307300243851985,13.646050464498234,13.470076692892302,13.855006627939726,11.61992193529353,13.209348778830973,12.557930511540883,13.506721367050623,13.585669638415599,11.754626165484199,14.268365167800612,14.920172350102556,15.601295040105637,15.362531793217032,13.852493767894426,14.692835872371665,ADM2,17,17,DOM,DOM-ADM2-62336421B51467128,Vicente Noble,ADM2
18,11.452498501592306,11.486355189587211,11.580093258457458,11.999061646817397,10.99956596896614,9.945357484669668,13.182062499698747,9.817796963454787,11.884515881766987,11.804566375621842,11.67280204388804,10.319026087392375,10.335260074451252,10.351121451530801,10.561136636576709,11.742073651990847,9.766671541314633,11.138341389469536,11.458564804856517,12.667529351057809,12.118680082805973,11.598171392581222,13.122187148663265,10.804426030026619,ADM2,18,18,DOM,DOM-ADM2-62336421B81143522,Consuelo,ADM2
19,12.912076094945272,13.13700301076627,12.479096001132213,13.304493657219767,12.455732210938324,11.031707627852441,13.5574952910827,10.572314539003285,13.073334077700236,11.89234430370736,12.315186511896922,11.575669456910836,11.456967568904942,11.741204961980566,11.300766174957857,14.362132541206483,11.840365641537682,10.680572693715073,12.919621025137328,14.194982491899792,14.508828649941156,13.151759342431808,14.221577929729882,12.563547241933069,ADM2,19,19,DOM,DOM-ADM2-62336421B77754311,Puñal,ADM2
20,13.570425848280877,13.348625385175719,11.847996893800515,13.079683052551424,13.179253263470883,12.323376886658655,12.661346448177106,11.75437369755536,12.697534562305371,10.690218165659463,12.661746128928847,13.118763601531048,9.558736745745767,13.209842260716353,11.442125456017397,13.888001116203961,13.357258776429973,9.1912774306316,14.288799455656868,13.887252024023187,13.57899802340162,13.448280304086165,11.759359294426982,13.906500373122865,ADM2,20,20,DOM,DOM-ADM2-62336421B7031628,Juan Santiago,ADM2
21,14.809043092935129,13.935938658499978,12.613408946937616,13.66070810810649,13.803238595052303,12.747425661863488,13.501107635139412,12.152074462320405,13.253367912719007,11.487397911116277,13.393479688454182,13.991695326280222,9.195385427320023,13.708433509043566,12.153698806736402,13.888938047486793,13.75097727461981,8.897220999582359,14.947561661691006,14.411094576794275,14.394354196202707,14.262915078015254,12.51121896046271,14.578649795534021,ADM2,21,21,DOM,DOM-ADM2-62336421B66400184,La Descubierta,ADM2
22,10.975039082800949,10.95499319735422,10.998285916979075,11.67009988792096,10.631623513265133,10.046322741209558,12.20216012717006,9.992362658582623,11.577828767853063,11.05391528151342,11.328847621361453,10.43908876905772,10.974975100347065,10.37081146244555,9.99328789406462,11.062382019468734,10.17398267385189,11.47165242530052,11.606984588833805,12.155549713572977,11.753142108556478,11.389120425062455,11.445249200808643,10.31748805296994,ADM2,22,22,DOM,DOM-ADM2-62336421B75913994,Boca Chica,ADM2
23,11.089021993624597,11.203527826241046,11.4216696974538,11.7988425042827,10.7166962833143,9.36540435076973,12.64585022445762,9.1610473017152,11.778552666869711,12.505258896844207,11.083199033780843,10.038475715311375,10.930978250909256,9.914114619419534,9.916301228420492,12.177115304702179,9.671538137455476,10.27831860062939,11.370302458701453,12.973148569450178,12.152429696134389,11.02083748478947,13.427045923101032,10.172948467701959,ADM2,23,23,DOM,DOM-ADM2-62336421B90226291,Tenares,ADM2
24,9.112335908972435,9.037312990921237,9.193140282163093,9.446900937318505,8.876489300540367,8.17339643088661,10.870734983809546,8.011515463515252,10.375108603165295,11.289088914696176,9.721957849206632,8.225175593166576,11.87979741148405,8.61701223059623,8.578746849934682,10.91094975303455,8.243938515695074,11.675946110536856,10.0058346026165,11.508278840449844,9.720527595077874,8.76653864674238,11.328983155999223,7.855224528155863,ADM2,24,24,DOM,DOM-ADM2-62336421B83253583,Villa Montellano,ADM2
25,9.255832078560529,9.188061423296832,9.55663999957301,9.824317136045913,8.983805929714856,8.04044688548688,10.554591695442564,7.863296965776157,10.156470148120151,11.133155046401008,9.470099347854728,8.243531167827216,11.657761768778178,8.529459751096171,8.332084960201351,10.485473838109895,8.112464602791913,11.480135268284434,9.854093087315878,11.08953794187297,9.946019464078105,8.963177891256194,10.964689816812266,8.084224718202226,ADM2,25,25,DOM,DOM-ADM2-62336421B36707931,Sosúa,ADM2
26,14.292845943880156,14.383088535554682,12.826733776615052,14.12547338095413,13.815088856281388,12.505553947081275,13.145220934902385,11.706510286705962,13.043301446743305,12.13411599530612,12.88412077984717,13.24743535013505,11.603836300460925,12.883414772505725,11.692646323628644,12.953486981693052,12.678987831187891,11.625343970556568,13.411927065368596,13.817649313964203,14.446692486156602,14.192636351535967,12.45659256632848,13.174685233685437,ADM2,26,26,DOM,DOM-ADM2-62336421B93961828,Las Charcas,ADM2
27,10.898120317768177,10.167122144560713,10.681133358504477,11.441341753236621,10.616490878034337,9.420327637035145,11.878387335077935,9.395604145186761,11.581698050252863,11.489998043755103,10.865217193839907,9.69651643174386,12.698055276240819,10.062641140903674,9.525103592812,12.199301304487982,9.676925689862298,11.837040859569113,10.787316386813453,12.477002508110136,11.506548833175513,11.272055835332564,11.903918693366135,10.287175907011031,ADM2,27,27,DOM,DOM-ADM2-62336421B38836089,Castañuelas,ADM2
28,16.206726502566635,17.712562984346146,15.868803994595478,17.29979633270227,16.953341954447893,15.243911876986328,15.932948591091963,14.827358259151382,15.881316906381889,12.394148021221357,14.935680355529557,16.22194922314718,11.555169597088954,15.876452920613836,14.476184062933424,17.3683378094885,16.743697528545333,11.508941773576902,17.2775208998629,17.052689298925802,19.02351773731989,17.464604530457148,16.17443892008338,17.255297207352346,ADM2,28,28,DOM,DOM-ADM2-62336421B5029861,Jarabacoa,ADM2
29,15.130116731165836,16.02226836980169,15.00278731210281,16.109403156117438,15.268610144672458,13.445355968615003,15.824358537228703,13.508314604991726,15.157148123532778,13.303787970054007,14.357424588467982,14.364775825272952,11.504461130606444,13.957061105280147,13.58713327800353,16.17831544327703,14.106568796971112,10.951676711563252,15.486658798459201,16.199288426840848,17.239145819394512,16.039702874644046,16.474071901581556,15.302143941558471,ADM2,29,29,DOM,DOM-ADM2-62336421B55956095,Jima Abajo,ADM2
30,11.78139866707446,12.265146262921228,12.308816801246266,12.853456780029138,11.554306787615802,10.355781165444583,13.152207947290158,10.197708815242331,12.849341203374067,12.805730095264218,12.01135876634455,10.874351671900106,10.090942624854017,10.5435237293352,10.51125836660116,12.68093777858217,10.08520682406683,9.58429031603056,12.09442268955047,13.476848146989976,13.230533920699571,12.45673781434279,14.003430960718783,11.459815057350836,ADM2,30,30,DOM,DOM-ADM2-62336421B23343019,Pimentel,ADM2
31,13.83639640792561,14.190177915249404,13.403138591051047,14.106595062210502,13.4447618095297,11.922750329311908,14.726208662504789,11.763803131169817,13.779109990549562,11.837642979147578,13.054474209068184,12.713679969074942,10.205017594606177,12.061395560992775,11.794088050839624,13.483445775646684,11.894964487407123,9.903171168568065,13.50718618176965,14.585525631924737,14.89068685125088,14.152771753048633,14.736747406591535,13.239380468766756,ADM2,31,31,DOM,DOM-ADM2-62336421B66064530,Yamasá,ADM2
32,13.064138944443899,13.465989509018774,12.23881502658533,13.50717466908041,12.877418933756251,11.612705765751393,13.58283677912399,11.101835345584194,13.381116720769642,11.638561948583986,12.659622353546,12.208024939030185,11.511003393198141,12.494252162008083,11.525327842532034,15.075342952485318,12.656012308255564,10.808009356575749,13.583728401546654,14.48485425020666,14.736989026880646,13.376292122438429,14.19246641717528,12.872003717397616,ADM2,32,32,DOM,DOM-ADM2-62336421B72763564,Sabana Iglesia,ADM2
