code,park_15,ele15,tss15,inf15,wat15,com15
DOM-AND,Andrés,2710157.43,3607344.32,190443.41,62040,1151974.54
DOM-BAN,bani,4967735.6,5068662.78,404979.81,429835.08,1478174.86
DOM-BAR,Barahona,40383864.63,51883452.6,631268.87,605755.5,2268129.5
DOM-VIS,BellaVista,315649590.4,60854461.67,3173190,21329496,885510.8
DOM-BON,Bonao,4423760.38,6975466.02,333767,144000,1064010.82
DOM-CIP,CaribbeanIndustrialPark,146043047.4,161131111.9,8480759.54,22133148.27,9700286.51
DOM-CHE,Chemtec,19753863.39,14392580.28,700228.34,222407.2,2633786.51
DOM-CIB,Cibernético,41757937.42,113420336.6,5761777,109832,4173375.14
DOM-CON,ConacadoIndustrialPark,7560914.81,33159271.05,550347.87,338277.16,2115564.1
DOM-DOS,DosRíos,327002713,120924376.8,5666808,2619207.74,3370867.01
DOM-LIM,el limonal ,5150982.66,9784219.92,390261.39,569976.4,1112253.18
DOM-SEI,ElSeibo,909547,2171268.1,107324,22344,138000
DOM-ESP,Esperanza,28329627.02,68525580.21,2938003.2,1690076.12,4242648.8
DOM-EXC,ExcelBocaChica,7929219.5,6001314.2,490280,96000,3179094.72
DOM-GLO,GlobalZonaFrancaIndustrial,263440,236797.31,10200,0,256384
DOM-GUR,Gurabo,30215613.44,204852510.3,4858621.27,1397507.76,6854202.92
DOM-HAI,Hainamosa,3790425.74,9009647.35,593079,960588.95,3046946.65
DOM-HAT,HatoMayor,2316299.2,0,213042,45932.4,242151.71
DOM-HAN,HatoNuevo,5428204.55,11447627.44,639205.8,155120,5631280.68
DOM-TAL,Intercontinental,0,40132.19,3745,0,24508.98
DOM-INT,InterexportFreeZone,9318612.86,7497175.6,337506.37,14856.23,2184808.93
DOM-ARM,LaArmería,20596983.45,11133280.32,550180.07,722143.9,1509984.22
DOM-HIP,LaHerraduraIndustrialPark,2400000,320930.14,14282,60000,42000
DOM-HIS,LaHispaniola,22182095.37,0,146936.25,50000,514220.67
DOM-PAL,LaPalma,3694818.92,17480606.95,726104,0,1351002.92
DOM-ROM,LaRomanaI,89889901.15,135021535.5,7541434.38,946506.25,8125120.12
DOM-RII,LaRomanaII,60462198.91,84572883.03,3899395,1453006,8273410.3
DOM-VEG,LaVega,61770972.74,107008260.7,4513150,1793569,5568246.32
DOM-LAS,LasAméricas,280476699.9,463645784,18741943.54,4337957.99,36698243.86
DOM-ALC,LosAlcarrizos,12778331.28,28271407.9,1141928.41,1435953.34,4495590.62
DOM-RIE,LosRieles,3006028,15736526.38,206942,0,45345
DOM-ROB,LosRobles,2242076.98,2677220.24,120914.4,203803.2,483486.44
DOM-MOC,Moca,14446956.15,32723267.31,1086792,713009,1565896.24
DOM-MUL,MultimodalCaucedo,296750.33,800017.47,431823.87,0,203613.08
DOM-MUT,Multiparques,40311999.49,24823021.82,1198694.24,149646,4197197.96
DOM-NAV,Navarrete,9602851.91,20681558.04,1007316.75,138421,727174.3
DOM-NIG,Nigua,65850037.58,114833927.2,3228956.52,815303.16,6395274.07
DOM-PAM,Palmarejo,8137380.4,63332729.8,1391097.33,0,3897028.54
DOM-KGC,ParqueInd.KGCía.Comerc.,182851.78,6504848.16,296012,73420.06,306934.45
DOM-CDF,Parque Industrial CDF,1577590.58,10973754.88,617335.66,434475,640155.83
DOM-CTQ,Parque Industrial CTQ,1175619.75,17210207.04,408855.6,210924,388228.23
DOM-YAQ,Parque Ind. y Servicios Yaque,31201560.66,12581423.11,746458.8,5308903.2,1635297.82
DOM-SLI,Parque Tecn de Santiago,6000754.68,7847364.7,356271.97,274253,568696.68
DOM-HER,Parque ZF Tecn. de Herrera,0,162235.57,6753,0,0
DOM-PED,Pedernales,1641805.95,0,0,0,318687.67
DOM-PER,PERLAV,49742887.3,59535026.12,1414134.35,641062.57,3657245.43
DOM-PIS,PISANO,117681077.5,223219663.6,10004789.61,9331990.98,12919803.72
DOM-PUE,Puerto Plata,13816381.09,27061971.07,1150966.61,231799.5,2037517.29
DOM-QUI,Quisqueya,6965468.02,6518333.07,108734,20901.6,0
DOM-CRI,San Cristobal (Itabo),625331734,580494898.8,27439624.32,8981283.89,125589817.5
DOM-FRA,San Fco. de Macorís,1204258.97,2749604.74,121506,96540,329018.32
DOM-ISI,San isidro,304271060.5,588972991.2,22991903.43,2787900.23,57163142.31
DOM-MAC,San Pedro de Macorís,212345332.3,305064307.3,14631933.08,2166360.47,17902622.64
DOM-S12,Santiago,291582455.3,632323833.5,24732793.16,32558019.14,42307567.05
DOM-JAN,Santiago-Jánico,23618678,19370105.96,445562.22,1161581,1642602
DOM-TAM,Tamboril,80861818.16,137435425.2,5922129.16,2060706.32,3014177.21
DOM-ALT,Villa Altagracia,2953903.92,12614559.92,672375.3,215511.24,1074811.05
DOM-MEL,Villa Mella,14030595.4,6969455.02,315159,299398,1322304.76
DOM-INF,Z.F. Ind. y Serv. Norte Infiesto,231140.68,465430.14,22353.52,22350,520311.87
DOM-MAI,Zona Franca Bahía de Maimón,51000,0,0,234000,0
DOM-SUR,Zona Franca Industrial del Sur,76200,0,0,0,36000
DOM-EMI,Zona Franca Industrial Emimar,12249484.23,91818063.81,1444840.2,297605,496408.48
DOM-SAG,Zona Franca Industrial SAG,2062396.65,5636840.71,263429.26,178492.17,708673.57
DOM-JOB,Zona Franca Jobo Industrial,85000,3437592.01,10200,6500,15300
DOM-ZFE,Zonas Francas Especiales,560731683,1936937930,56878735.77,31905877.56,180436853.3
