code,park_16,ele16,tss16,inf16,wat16,com16
DOM-AND,Andrés,1982.32,4093.94,215.33,201.45,1029.41
DOM-BAN,BanÅE6491.47,4758.06,538.36,766.45,1388.77
DOM-BAR,Barahona,40948.45,30089.5,1258.52,1728.01,1915.2
DOM-VIS,Bella Vista,254413.1,65013.44,3001.83,16800,5231
DOM-BON,Bonao,4327.98,7887.88,387.6,144,1215.18
DOM-CIP,Caribbean Industrial Park,127272.03,170362.39,9289.85,21575.69,10326.43
DOM-CHE,Chemtec,16396.4,16817.56,707.33,167.81,1890.4
DOM-CIB,Cibernético,30250.05,42716.16,1730.13,67.92,8808.83
DOM-CON,Conacado Industrial Park,7425.37,9261.6,411.16,343.04,2420.58
DOM-DOS,Dos Ríos,202952.73,124631.26,5076.13,2335.96,2818.88
DOM-LIM,El Limonal,8197.46,9995.44,454.13,57.24,1658.17
DOM-SEI,El Seibo,919.6,2750.05,102.37,32.84,146.28
DOM-ESP,Esperanza,28788.4,91748.26,4187.29,2006.3,5126.37
DOM-EXC,Excel Boca Chica,7751,6992.72,662,432.6,2650
DOM-GLO,Global Zona Franca Industrial,285.88,390.93,19.59,0,270.3
DOM-GUR,Gurabo,28780.76,59793.58,5562.56,1029.33,6769.59
DOM-HAI,Hainamosa,2256.12,12098.4,649.38,1454.6,3975.91
DOM-HAT,Hato Mayor,1820.91,6035.39,200.24,34.2,392.56
DOM-HAN,Hato Nuevo,4381.42,11054.81,604.91,2,2728.03
DOM-TAL,Intercontinental,1251.31,624.92,20.08,0,179.33
DOM-INT,Interexport Free Zone,10632.05,8950.48,394.7,16.39,2082.57
DOM-ARM,La Armería,5046.3,13470.86,591.82,951.47,1772.33
DOM-HIP,La Herradura Industrial Park,2600,492.63,21.72,70,46.5
DOM-HIS,La Hispaniola,5209.76,0,0,24.21,217.94
DOM-PAL,La Palma,8262.04,23513.4,793.78,138,1173.71
DOM-ROM,La Romana I,85530.98,156109.18,7220.9,1521.43,14004.5
DOM-RII,La Romana II,79362.75,88232.78,5151.76,1578.83,10020.11
DOM-VEG,La Vega,50380.11,109065.73,4535.28,2539.47,6435.25
DOM-LAS,Las Américas,247328.3,411903.86,18492.23,3484.4,40217.23
DOM-ALC,Los Alcarrizos,11783.2,29103.43,1256.74,669.42,3847.24
DOM-RIE,Los Rieles,3250.88,20273.39,877.47,65.8,1318.75
DOM-MOC,Moca,30417.06,41595.11,1066.08,1374.31,3464.04
DOM-MUL,Multimodal Caucedo,278.47,840.08,219.18,0,189.24
DOM-MUT,Multiparques,32955.06,25669.93,1223.71,160.58,3570.06
DOM-NAV,Navarrete,11226.56,18457.54,1048.31,197.03,1282.08
DOM-NIG,Nigua,40526.58,73092.99,4224.66,1225.92,6585.69
DOM-PAB,Palmar Abajo,9.96,0,1.53,1.42,1.55
DOM-PAM,Palmarejo,9130.11,35590.68,1613.08,0,2859.54
DOM-SUN,Parque Ind. Zona Franca Sunsea,1982.33,1047.14,95.7,16.68,375.14
DOM-CDF,Parque Industrial CDF,1529.18,10248.76,495.2,682.71,617.36
DOM-CTQ,Parque Industrial CTQ,1388.02,6913.24,337.61,156.82,681.41
DOM-INE,Parque Industrial INETAB,10010,11357.78,138.28,1268.17,1120
DOM-KGC,Parque Industrial KG Compañía Comercial,183.44,5001.6,239.11,6,283.01
DOM-YAQ,Parque Industrial y de Servicios Yaque,24382.6,11917.76,589.07,4489.82,1206.38
DOM-SLI,Parque Tecnológico de Santiago,6945.19,9347.21,426.52,314.55,595.45
DOM-HER,Parque Zona Franca Tecnológica de Herrera,15759.18,28767.46,1773.95,574.88,23008.99
DOM-PED,Pedernales,1745.54,4846.1,747.49,0,347.41
DOM-PER,PERLAV,25842.41,31160.18,1299.93,2215.29,4705.01
DOM-PIS,PISANO,101622.47,231279.02,10585.88,9089.68,12265.86
DOM-PUE,Puerto Plata,12543.54,25730.32,1098.78,450.31,2170.7
DOM-QUI,Quisqueya,5499.88,0,0,0,421.27
DOM-CRI,San Cristóbal (Itabo),651718.62,651908.11,33549.17,9791.8,118943.46
DOM-FRA,San Francisco de Macorís,1305.68,2826.4,130.4,96,350.56
DOM-ISI,San Isidro,275492.7,475700.78,19965.49,2739.7,43754.95
DOM-MAC,San Pedro de Macorís,208110.17,354985.98,14814.92,2873.28,24336.08
DOM-S12,Santiago,386730.67,527000.37,25948.89,32161.21,44071.28
DOM-JAN,Santiago-Jánico,24590.47,14091.49,477.14,1222.73,1773.81
DOM-TAM,Tamboril,151758.85,160109.11,8303.48,4596.8,4552.47
DOM-ALT,Villa Altagracia,5659.76,11903.82,550.26,294.3,1155.99
DOM-MEL,Villa Mella,11396.63,7713.24,336.76,198.99,739.4
DOM-INF,Z.F. Ind. y de Servicios Norte Infiesto,393.93,408.95,19.41,2.24,460.24
DOM-MAI,Zona Franca Bahía de Maimón,2559.95,270.65,135.29,28.96,143.56
DOM-6NO,Zona Franca Ind. 6 de Noviembre,6280.98,2104.9,184.04,162.55,359.26
DOM-NOR,Zona Franca Industrial del Norte,27.6,55.19,3.2,3.6,8
DOM-SUR,Zona Franca Industrial del Sur,83,0,0,0,36
DOM-EMI,Zona Franca Industrial Emimar,8744.58,40556.79,566.01,100.21,495.41
DOM-SAG,Zona Franca Industrial SAG,2062.4,7043.4,263.43,178.49,708.67
DOM-JOB,Zona Franca Jobo Industrial,1360,1078.43,47.17,50.53,122.23
DOM-ZFE,Zonas Francas Especiales,519425.72,1204396.35,53397.75,27844.11,210191.42

