code,park_05,ele05,tss05,inf05,wat05,com05
DOM-BAN,Baní,9066274.95,10238552.77,997643.26,462374,1924319.62
DOM-BAR,Barahona,45337430,3000000,360000,113000,360000
DOM-BAY,Bayaguana,105781.44,85450.25,0,8550,54087
DOM-VIS,Bella Vista,73211.41,207217.3,0,49071,272934.73
DOM-BON,Bonao,15053601.87,30696905.61,568509.3,556297.8,1596498.92
DOM-CIP,Caribbean Ind. Park,65407518.8,5980210.85,3197934.44,8757942.18,8538792.75
DOM-CHE,Chemtec,10402782.44,1170073.15,262804.83,209040.6,1387635.99
DOM-CIB,Cibernético,526342,10362.5,10447,0,580091
DOM-COT,Cotuí,739950,636303,42693.36,35859,175973
DOM-DPE,Don Pedro,84373.75,15147.07,5567.81,24490.25,204167.5
DOM-LIM,El Limonal,342221,167796,215746.39,31314,478261.38
DOM-SEI,El Seibo,1059585.08,0,18547,58471.4,162826.17
DOM-ESP,Esperanza,28562158.58,10306497.5,3998300.23,1204814.09,3163163.26
DOM-EXC,Excel Boca Chica,1503711.65,545832.63,120907,22500,1626148
DOM-GLO,Global,0,56096,27100,619500,540000
DOM-GUR,Gurabo,25398122.2,8292794.05,2483425.18,1393096.82,7297096.92
DOM-HAI,Hainamosa,4453966.57,1701630.67,297415.31,638501.88,2521981.89
DOM-HAT,Hato Mayor,1156172.85,730462.7,192756.89,372130,432544.17
DOM-HAN,Hato Nuevo,0,1603910,504545,0,1320500
DOM-HIG,Higüey,2301000,1014000,231000,147000,728328
DOM-CRI,Itabo,325668370.3,24913736.7,12106799.7,5527065.05,52509586.56
DOM-JAI,Jaibón,1254564,0,0,3125,345814
DOM-ARM,La Armería,8102430.7,2895184.45,460677.17,179433,1957018.55
DOM-CAN,La Canela,0,0,12548,0,0
DOM-HIS,La Hispaniola,8586570,358513,102900,0,216787
DOM-PAL,La Palma,240000,72000,6492,21600,242400
DOM-ROM,La Romana I,28743520.15,8774893.62,3294138.37,584209.64,3607736.85
DOM-RII,La Romana II,27622215.09,5316982.53,502878,92423,5699148.97
DOM-VEG,La Vega,42998044.02,13783180.84,3271956.75,633163.5,6693525.45
DOM-LAG,Laguna Prieta,0,0,12548,0,0
DOM-LAS,Las Américas,161252682,32098790.74,8250162.38,4128403.43,22157331.78
DOM-ALC,Los Alcarrizos,30035567.07,5501330.91,1407623.3,920207.21,4420022.97
DOM-MIN,Los Mina,801527.86,88527,32103.05,0,185038.93
DOM-MOC,Moca,31797019.84,8032525.54,1696092.24,261170.02,2877672.98
DOM-MOI,Montecristi,737678.01,259829.73,28938.24,99423.05,91853.62
DOM-MUL,Multimodal Caucedo,0,95903.92,430960,150000,1780837.06
DOM-NAV,Navarrete,10131215.85,5438136.55,314749.31,64961.28,514232.94
DOM-NIG,Nigua,28125967.09,2363385.93,832939.12,397423,3377764.79
DOM-PAB,Palmar Abajo,0,0,0,0,0
DOM-PAM,Palmarejo,4044706.12,3183726.95,987721.83,0,1021998.37
DOM-PED,Pedernales,284351,0,0,18654,95546
DOM-PIS,PISANO,59526504.97,7293358.24,3355373.24,4095008.15,9259106.6
DOM-PON,Pontezuela,347453.02,348899.71,98313.14,0,0
DOM-PUE,Puerto Plata,11835927,3011085.08,803361.37,805447.47,2751093.2
DOM-SAL,Salcedo,12140,363421.17,0,14150,222203.9
DOM-FRA,San Fco. de Macorís,3857469.33,1704888.96,341433.69,189315.4,1069807.25
DOM-ISI,San Isidro,117089825.7,13508504.63,6835304.55,2224881.78,52040178.21
DOM-MAC,San Pedro de Macorís,139794467.6,33295179.64,8063748.73,1766853.12,17971475.14
DOM-S12,Santiago,303091368.2,94397401.9,24579596.4,32493454.17,33365802.05
DOM-JAN,Santiago-Jánico,33049721.8,3615864.3,1177780.2,2322318.6,3194773.2
DOM-SLI,Santiago-Licey,8818173.82,989251.42,751988.75,188442.23,1995157.97
DOM-KEP,Silver Key Park,1432000,0,70380.34,62947.26,580698.4
DOM-TAM,Tamboril,10465287.93,1477759.33,440309.86,230730,1742157.93
DOM-ALT,Villa Altagracia,6987870.34,2107920.47,408213.28,266100,2286140.75
DOM-MEL,Villa Mella,10838620.64,6864504.05,1901695.06,513814.21,2005573.75
DOM-ZOF,ZOFINMA (Mao),2240217.31,1371528.13,296186.09,53510,463374.94
DOM-LUN,Zona Franca Ind. Luna,2794.1,310610.44,73285.28,13657.8,237424.41
DOM-ZFE,Zonas Francas Especiales,217620059.2,13313858.97,7133582.44,25478099.87,42131987.06
