code,park_11,ele11,tss11,inf11,wat11,com11
DOM-AND,Andrés,1270858,3452591.29,147725,70000,778647.54
DOM-BAN,Baní,9525893.83,20538705.08,516147.5,362455.08,2187942.39
DOM-BAR,Barahona,35949048.84,0,413347.5,128552.4,663464.04
DOM-VIS,Bella Vista,173500000,50224417.22,2563800,17191000,11600000
DOM-BON,Bonao,3432219.23,5410301.48,271250,66988,993399.75
DOM-CIP,Caribbean Ind. Park,86861655.83,121479731,4350456.33,13561726.1,8915092.61
DOM-CHE,Chemtec,19051156.69,10608410.61,362138,217974.5,1171243.72
DOM-CIB,Cibernético,19172437.66,10485390.01,545719.5,0,5776410.34
DOM-DOS,Dos Ríos,242431456.2,67755357.39,2954679,505504.23,5023155.79
DOM-LIM,El Limonal,0,0,194796,0,361723
DOM-SEI,El Seibo,521478,1388704.73,23251,32002,68251
DOM-ESP,Esperanza,22457580.01,54124216.8,2454459.5,1346949.2,2061739.49
DOM-EXC,Excel Boca Chica,3222000,418612.08,253000,14000,900000
DOM-GUR,Gurabo,15419362.97,47803457.56,1951756,95000,41410801.39
DOM-HAI,Hainamosa,2141319.84,8464688.63,234768.38,404017.04,2043424.84
DOM-HAT,HatoMayor,1205000,1308828.94,64400,30000,40500
DOM-HAN,Hato Nuevo,2862853.03,3391599.58,659869.44,0,1176226.24
DOM-INT,Interexport Free Zone,3535691.11,5137158.94,245035,134563.2,600000
DOM-JAI,Jaibón,0,43296.01,96000,16000,72000
DOM-ARM,La Armería,3784639.9,5957603.18,296433.6,118693,987064
DOM-HIS,La Hispaniola,0,0,148138,0,168705
DOM-PAL,La Palma,1456440.38,7705079.3,133503.49,27776.61,714328.25
DOM-ROM,La Romana I,38452319.51,87869159.07,3456330.72,1117443,3122093.57
DOM-RII,La Romana II,26507466.38,43656665.89,1884397,512386,6198840.74
DOM-VEG,La Vega,50243306.14,58945323.97,2388481,1073158.17,4709304.3
DOM-LAS,Las Américas,187574926.9,220785052,12122941.99,3809589.07,23002757.29
DOM-ALC,Los Alcarrizos,14013520.36,22596915.27,933492,1493500.5,3314118.53
DOM-MOC,Moca,34625580.29,26995360.95,979866,450474,2506450.27
DOM-MUL,Multimodal Caucedo,150000,51770209.9,0,0,10000
DOM-MUT,Multiparques,33896416,14566085.38,858518,88046,3917520
DOM-NAV,Navarrete,7352062.5,12388848.18,583592,115765,533040
DOM-NIG,Nigua,36928008.32,33181584.99,1281394,418829.5,2959946.25
DOM-PAM,Palmarejo,7263328.49,31609823.43,1251239,0,950128.87
DOM-YAQ,Parque Ind. y de Servicios Yaque,12995959.54,10633548.99,526602,3714850,1194829.95
DOM-SLI,Parque Tecnológico de Santiago,4793079.86,6050267.9,246967,190269,812426.51
DOM-PED,Pedernales,1659603.39,11247387.82,358782,292755,211238.74
DOM-PER,PERLAV,34242290.28,30350686.21,1199846.66,315186.76,3549852.91
DOM-PIS,PISANO,73547178.7,118930578.6,4604848.18,5198000.97,8331268.42
DOM-PON,Pontezuela,0,85212.16,4200,0,0
DOM-PUE,Puerto Plata,6687413.52,7312274.6,167248.8,118063.12,770961.32
DOM-SAL,Salcedo,1608000,997244.97,56175.12,125000,108000
DOM-CRI,San Cristóbal (Itabo),276332873.9,384701922.1,16396187.01,11165165.4,45403493.51
DOM-FRA,San Francisco deMacorís,1072866.99,1985346.79,73794,26718,119289.24
DOM-ISI,San Isidro,192686630.6,412295561,14663263.75,2376390.64,108673423.5
DOM-MAC,San Pedro deMacorís,161665303.2,209165737.6,9061747.91,2729766.76,17741368.17
DOM-S12,Santiago,186080832.9,338004851.7,13756191.89,17049702.13,24975944.45
DOM-JAN,Santiago-Jánico,18071842.11,10224814.6,386102.2,783814.74,801517.7
DOM-TAM,Tamboril,21213843.83,40468244.36,1704566,362295.2,2469710.24
DOM-ALT,Villa Altagracia,1520517.05,7561303.51,356764,55852.5,1552829.83
DOM-MEL,Villa Mella,6687300.5,4196908.64,203936,73454.88,553338.39
DOM-ZFE,Zonas Francas Especiales,323949608.5,545453048.5,21804267.31,10802240.43,120346557
