code,park_12,ele12,tss12,inf12,wat12,com12
DOM-AND,Andrés,2316650,4182936.78,183133,97718,894234
DOM-BAN,Baní,10891060.06,2958098.68,619017.32,286146,2672284.25
DOM-BAR,Barahona,25813861.28,14523197.8,413347.5,128552.4,546066.47
DOM-VIS,Bella Vista,5013142.46,44747426.19,2632573,16354196,2960080.59
DOM-BON,Bonao,2683090.4,4733357.13,108817,61405,995619.77
DOM-CIP,Caribbean Ind. Park,180360924.8,85154028.71,5342132.32,13780807.91,16689509.16
DOM-CHE,Chemtec,19316760.03,10548295.96,530063,230259.6,1570888.64
DOM-CIB,Cibernético,18956992.95,96374430.87,4805747,25000,39866322.46
DOM-DOS,Dos Rios,262569413.9,65687494.28,2931445,810266.35,2989781.58
DOM-LIM,El Limonal,0,4622677.78,161892,0,407652
DOM-SEI,El Seibo,542318,1503183.87,53038,34344,77769
DOM-ESP,Esperanza,14917069.85,44572745.02,2067027,1070635.68,2096991.52
DOM-EXC,Excel Boca Chica,4000000,3583783.68,200357,9000,750000
DOM-GLO,Global,23233,0,0,0,5000
DOM-GUR,Gurabo,18725821.73,57914806.36,2734365,64000,36422680.56
DOM-HAI,Hainamosa,1685146.08,5319429.44,246199.98,652060.69,2602977.64
DOM-HAT,Hato Mayor,1488861.54,2074890.22,64105,44076,92270.16
DOM-HAN,Hato Nuevo,4245553.6,4528433.46,231136.22,12604.8,1735756.37
DOM-INT,Interexport Free Zone,3400000,5703169.51,230000,130000,600000
DOM-JAI,Jaibón,0,48620.9,108000,22000,88000
DOM-ARM,La Armería,4101929.55,6053210.57,349344.39,244911,1106267.34
DOM-HIS,La Hispaniola,12316294.49,0,0,55000,422057.97
DOM-PAL,La Palma,2131815.88,10268310.72,209661,27000,794119.43
DOM-ROM,La Romana I,38473255.24,90844829.43,4133658.15,971957.19,2310621.26
DOM-RII,La Romana II,35256865.8,46456377.23,2221527,567804,6473887.03
DOM-VEG,La Vega,57437671.39,58689408.68,2583834.45,895640.7,4885253.45
DOM-LAS,Las Américas,217385839.1,229389506.7,13698401.94,3990137.71,20807743.47
DOM-ALC,Los Alcarrizos,10572678.8,23296070.87,980049,1192078.77,3355000.81
DOM-MOC,Moca,15231252.35,36638223.68,1038076,494624.01,1362112.84
DOM-MUL,Multimodal Caucedo,373305.86,53699783.1,25067,0,37067
DOM-MUT,Multiparques,31144585,15022465.48,616657.66,127578,2743464.87
DOM-NAV,Navarrete,4680867.9,13897324.72,621971,54135,378499.86
DOM-NIG,Nigua,35169553.2,38586738.5,1841956,434776.54,2596191.06
DOM-PAM,Palmarejo,6472658.23,19171698.03,822930,0,1756413.41
DOM-YAQ,Parque Ind. y de Servicios Yaque,10715418.68,10276500.28,467575,3156085.3,1058579.59
DOM-SLI,Parque Tecnológico de Santiago,4358267.17,4505223.74,226855,169468,472843.03
DOM-PED,Pedernales,875241,9177708.51,458231,176254,215354
DOM-PER,PERLAV,42049577.91,19372485.44,1118268.97,344911.24,4009453.13
DOM-PIS,PISANO,80591565.56,120855691.7,5391119.18,5444976.04,8497175.56
DOM-PON,Pontezuela al Medio,0,88050.52,4800,0,78000
DOM-PUE,Puerto Plata,8351288.95,10192293.64,315526,82041,1926275.46
DOM-SAL,Salcedo,1742000,1156750.83,56175.12,170000,110000
DOM-CRI,San Cristóbal (Itabo),365093433.6,456084144.1,25535904,11169012.73,66791361.28
DOM-FRA,San Francisco de Macorís,1087059.64,1945604.44,85744.26,29936,149412.62
DOM-ISI,San Isidro,221826562.5,293276150.9,27454926.47,3962188.82,39959027.02
DOM-MAC,San Pedro de Macorís,188382145.5,195300219.7,12063316.06,2244070.84,17642783.18
DOM-S12,Santiago,194981328.6,394171662,15151115.28,18209285.45,29898634.97
DOM-JAN,Santiago-Jánico,27578770.12,11403839.62,576502.72,1146753.41,1373811.47
DOM-TAM,Tamboril,39412130.31,75275387.33,2926636.56,288050,2175364.52
DOM-ALT,Villa Altagracia,1288332.81,7936020.51,387770.82,76099,1397401.31
DOM-MEL,Villa Mella,7456313.48,5084744.68,230830.4,103937.4,785581.14
DOM-SAG,Zona Franca Ind. SAG,1904171.69,5977094.35,169376,67184,691475.94
DOM-ZFE,Zonas Francas Especiales,366616395.6,601651183.9,35378715.1,12388355.11,142971061.3
