code,park_2000,ele00,tss00,inf00,wat00,com00
DOM-BAN,Baní,5251803.98,8583658.52,847448.58,129226,0
DOM-BAR,Barahona,7226794,1126650,234224.39,36750,0
DOM-BAY,Bayaguana,150000,144000,0,27000,0
DOM-BON,Bonao,3027130.25,5771109.01,648183.09,35432,0
DOM-CIP,CaribbeanInd.Park,8864202,4009688,0,457832,0
DOM-CHE,Chem-Tec,4580529,7149064.81,0,345045,0
DOM-COT,Cotuí,129982.91,393397.8,15626.01,5800,0
DOM-ESP,Esperanza,10290123.02,8541176.67,1403431,235384,0
DOM-EXC,ExcelBocaChica,294179,466635,58337.55,4680,0
DOM-GLO,Global,0,710000,0,0,0
DOM-GUR,Gurabo,6820179.91,2867796,751991,673920,0
DOM-HAI,Hainamosa,7327312.15,6555330.14,761254.39,1045561,0
DOM-HIG,Higuey,2055149,4045887,390435.92,80780,0
DOM-CRI,Itabo,68236074,24682875,5098848,2697286,0
DOM-JAI,Jaibón,180000,0,0,0,0
DOM-ARM,LaArmería,3561896,3980122.5,678543.21,86750,0
DOM-ROM,LaRomanaI,38118402.65,33173329,5255715.34,1510160,0
DOM-RII,LaRomanaII,5968526.43,8757437.13,0,243825,0
DOM-VEG,LaVega,19505860.5,18751875,2669151.67,1031627,0
DOM-LAG,LagunaPrieta,275000,10500,0,15500,0
DOM-LAS,LasAméricas,39819296.51,18075614,3828482,659109,0
DOM-ALC,LosAlcarrizos,9812247.7,5638113.84,766893.43,464354,0
DOM-MOC,Moca,9048692.83,10513308.64,1734799.33,4928,0
DOM-NAV,Navarrete,2383800,2085723,0,200956.34,0
DOM-NIG,Nigua,4990825.74,3814033.23,445024.76,123438,0
DOM-PAB,PalmarAbajo,2445774,3424211,0,138798,0
DOM-PAM,Palmarejo,929360,2246163,0,0,0
DOM-IHA,ParquedeExp.Haina,2011963.41,1058967,350169.65,32400,0
DOM-PIS,Pisano,9166401,9009416,1468884,706118.36,0
DOM-PON,Pontezuela,172380,650700,0,30000,0
DOM-PUE,PuertoPlata,5311906.08,19892838.13,786084.04,145265,0
DOM-SAL,Salcedo,0,1140000,158152,0,0
DOM-FRA,SanFco.deMacorís,1271259,1937598,133094.38,155744,0
DOM-S12,SantiagoIyII,101656845,93401094,13441979.47,13636879,0
DOM-ISI,SanIsidro,31646223.4,17460230.61,5325528.84,757785.81,0
DOM-JAN,Santiago-Jánico,1920000,0,0,0,0
DOM-SLI,Santiago-Licey,990083.26,754365,0,112392.83,0
DOM-MAC,SanPedrodeMacorís,45780419.63,46509414.03,6340525.83,696067.85,0
DOM-TAM,Tamboril,4500,15230,0,0,0
DOM-ALT,VillaAltagracia,4272000,7560000,793343.19,72000,0
DOM-MEL,VillaMella,6796128.3,10408004,998486.48,104220,0
SPE-DN1,ZFEDistritoNac.,14280491,5465463,0,207000,0
SPE-HIG,ZFEHiguey,3325383,559513,0,26747,0
SPE-VEG,ZFELaVega,24228,7548.02,0,1200,0
SPE-TRI,ZFEMa.TrinidadS.,0,29530,0,0,0
SPE-SCR,ZFESanCristóbal,257564,725814,0,20754,0
SPE-SAN,ZFESantiago,4271390.5,4121801.3,0,847621,0
DOM-ZOF,Zofinma(Mao),30000,33729.37,0,7500,0
