code,park_06,ele06,tss06,inf06,wat06,com06
DOM-BAN,Baní,6442155.34,5140003.74,824660.11,404351.8,1961682.95
DOM-BAR,Barahona,45337430,0,360000,113000,360000
DOM-BAY,Bayaguana,146300,90450,0,0,32400
DOM-VIS,Bella Vista,85024900,171681.98,1137654.35,8000000,3209490.99
DOM-BON,Bonao,15897982.83,5974542.8,719034.68,371096.2,3040014.45
DOM-CIP,Caribbean Ind. Park,70584347.77,5078569.88,3236198.75,13653532.46,11853413.16
DOM-CHE,Chemtec,13242019.36,2596859.38,717258.02,233961.6,2354743.79
DOM-CIB,Cibernético,4831007,48100,81843,10105,517666
DOM-COT,Cotuí,934400,568595.95,55857,43800,203065
DOM-DPE,Don Pedro,0,16610.16,2748,0,81740
DOM-LIM,Dos Rios,43391834.21,860031.1,863991.31,0,1722712
DOM-SEI,El Limonal,0,497872.54,159505.21,0,439202
DOM-ESP,El Seibo,905161.66,259060.45,33096,43152,271998.48
DOM-EXC,Esperanza,38360768.55,15180225.04,3778927.69,1473944.15,1681533.46
DOM-GLO,Excel Boca Chica,1688391,580432.63,177589,16500,2655577.24
DOM-GUR,Global,13464000,180000,162000,948000,800000
DOM-HAI,Gurabo,17583342.54,4013257.62,2039169.34,816580.7,6526264.71
DOM-HAT,Hainamosa,11411760.55,1738237.94,373877.66,382275.84,3439481.18
DOM-HAN,Hato Mayor,637287.54,528104.91,117052.9,20824.8,396921.83
DOM-HIG,Hato Nuevo,0,1603910,504545,0,1320500
DOM-CRI,Itabo,302698151.6,24977990.92,13300294.87,5755459.54,51836050.67
DOM-JAI,Jaibón,3600,150852,48000,20892,96000
DOM-ARM,La Armería,8361395.8,2034905.97,889290.93,88058,2007078.8
DOM-HIS,La Hispaniola,7393166,297845.86,68104,0,324599
DOM-PAL,La Palma,359376,300500,128276,21600,503000
DOM-ROM,La Romana I,29174906.85,12584215.74,2703224.98,992612.24,3270986.63
DOM-RII,La Romana II,22992789.55,3728105.88,313874,393916,4728283.61
DOM-VEG,La Vega,55704977.32,16521788.65,3962920.62,1276016.28,9667117.76
DOM-LAG,Laguna Prieta,0,0,0,0,0
DOM-LAS,Las Américas,182068757.3,19939434.03,9630952.12,4335997.8,24776671.92
DOM-ALC,Los Alcarrizos,27144131.93,5145037.9,1543897.97,877829,4708623.09
DOM-MIN,Los Mina,841152.93,362245,53548.33,9500,145566.43
DOM-MOC,Moca,28623690.69,8589113.57,2059107.59,676019.1,2853336.62
DOM-MUL,Multimodal Caucedo,0,0,0,0,0
DOM-NAV,Navarrete,8259877.55,3025883.81,345666.04,64941.6,380517.52
DOM-NIG,Nigua,33135588.11,3281255.74,1009856.55,534588,2678912.77
DOM-PAB,Palmar Abajo,0,0,0,0,0
DOM-PAM,Palmarejo,5207571.5,2771039.05,1185480.53,0,1379221.69
DOM-PED,Pedernales,730876.41,478127.6,94507,143000,230081.25
DOM-PIS,PISANO,62519598.46,9158289.73,3653875.04,3772148.12,10602596.8
DOM-PON,Pontezuela,420337.81,299218.81,124715.38,0,0
DOM-PUE,Puerto Plata,10330810.56,3522521.2,865168.59,453290.4,2193230.15
DOM-QUI,Quisqueya,684095.53,26101.44,42103.61,0,574974.05
DOM-SAL,Salcedo,0,328295.12,0,3000,212340
DOM-FRA,San Fco. de Macorís,4265731.7,1538836.81,352767.02,406065.77,790240.25
DOM-ISI,San Isidro,113312390.4,12164657.93,8214332.99,2222645.17,42519465.27
DOM-MAC,San Pedro de Macorís,101201162.9,26184091.22,8371382.54,1951867.2,16694728.7
DOM-S12,Santiago,293768218.6,74116296.7,24586372.22,35329977,35722962.3
DOM-JAN,Santiago-Jánico,30372231.57,3488336.13,1166095.12,2393837.98,3439315.11
DOM-SLI,Santiago-Licey,3091175.19,115086.17,197569.86,117567.74,1769901
DOM-KEP,Silver Key Park,9013270.42,182710.44,95236.17,22836.6,262071.23
DOM-TAM,Tamboril,12144439.26,980921.13,341408.41,281895,1729837.67
DOM-ALT,Villa Altagracia,4751695.92,1201401.88,381967.26,250468.6,2163662.03
DOM-MEL,Villa Mella,19350428.55,4349134.9,1688765.35,317617,1549991.66
DOM-ZOF,ZOFINMA (Mao),2302379.65,1068000,397886.67,55044,349726.58
DOM-LUN,Zona Franca Ind. Luna,0,475823,80726,18723,325826
DOM-ZFE,Zonas Francas Especiales,329645069.4,25556092.06,9960987.07,30228872.37,59306854.56
