code,com0,com1,com2,com03,com04,com05,com06,com07,com08,com09,com10,com11,com12,com13,com14,com15,com16,com17,com18,com19
DOM-RAF,0.0,0.0,0.0,177743.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-RIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141869.0,210600.0,45345.0,1318.75,1124274,0.0,3640000.0
DOM-RII,0.0,0.0,0.0,506756.0,1576320.37,5699148.97,4728283.61,6003856.2,4594818.87,4638795.01,6025982.27,6198840.74,6473887.03,5845460.58,8162700.77,8273410.3,10020.11,10557835.33,0.0,8928232.27
DOM-RIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,51680.0
DOM-ROB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542691.84,529015.54,483486.44,0.0,0,0.0,0.0
DOM-ROM,0.0,0.0,0.0,3232831.04,4027088.78,3607736.85,3270986.63,2589712.94,3004730.52,3531332.78,3221721.58,3122093.57,2310621.26,4992213.38,10748793.01,8125120.12,14004.5,18421507.82,0.0,14967055.87
DOM-S12,0.0,0.0,0.0,21591433.41,33352697.87,33365802.05,35722962.3,25846482.74,23194480.42,24463355.34,23907167.5,24975944.45,29898634.97,31120537.85,37451294.78,42307567.05,44071.28,44710518.61,0.0,88761257.93
DOM-SAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691475.94,833279.05,681447.0,708673.57,708.67,711191,0.0,839955.47
DOM-SAL,0.0,0.0,0.0,253061.88,340126.0,222203.9,212340.0,92910.81,318479.64,1411819.06,72053.07,108000.0,110000.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-SEI,0.0,0.0,0.0,51516.0,95540.0,162826.17,439202.0,165365.25,181800.0,69600.0,66720.0,68251.0,77769.0,13400.0,93528.0,138000.0,146.28,36000,0.0,38693.0
DOM-SLI,0.0,0.0,0.0,912937.19,1613941.0,1995157.97,1769901.0,1449649.33,820269.95,843597.41,892153.21,812426.51,472843.03,546428.37,459926.77,568696.68,595.45,600551.18,0.0,903248.23
DOM-SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.14,57912,0.0,0.0
DOM-SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,36.0,34201,0.0,0.0
DOM-TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24508.98,179.33,171806.86,0.0,203403.38
DOM-TAM,0.0,0.0,0.0,1135211.05,2384349.3,1742157.93,1729837.67,737265.01,907525.86,2222398.76,1000568.06,2469710.24,2175364.52,2000905.4,2566912.95,3014177.21,4552.47,3405664.19,0.0,4325408.48
DOM-VEG,0.0,0.0,0.0,6395237.19,8066854.47,6693525.45,9667117.76,6660364.34,5135740.31,2792625.3,3636941.93,4709304.3,4885253.45,4497035.91,4984907.91,5568246.32,6435.25,5242662.86,0.0,4980407.44
DOM-VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24385.0
DOM-VIS,0.0,0.0,0.0,0.0,185000.0,272934.73,3209490.99,4297577.79,3902908.41,4074717.2,8070000.0,11600000.0,2960080.59,11407000.0,4365000.0,885510.8,5231.0,9008871.5,0.0,7145427.2
DOM-YAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1086816.97,1194829.95,1058579.59,1147109.02,1883188.91,1635297.82,1206.38,995739.91,0.0,877514.23
DOM-ZFE,0.0,0.0,0.0,0.0,25334126.13,42131987.06,59306854.56,96304776.48,85282654.91,88563960.86,115588590.6,120346557.0,142971061.3,0.0,196838991.6,180436853.3,210191.42,0,0.0,303259.0
DOM-ZOF,0.0,0.0,0.0,276210.84,456000.0,463374.94,349726.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660030.36,0,0.0,0.0
