code,park_10,ele10,tss10,inf10,wat10,com10
DOM-AND,Andrés,1430112,3396051.78,135976,0,1158574
DOM-BAN,Baní,7711990.19,10096906.3,785209.75,322045,2595124.47
DOM-BAR,Barahona,30478185,4678962.73,734039,128552,657411
DOM-VIS,Bella Vista,10085000,40627668.25,1950000,9700000,8070000
DOM-BON,Bonao,2349687.03,1246678.79,65550,44658.4,905668.81
DOM-CIP,Caribbean Ind. Park,45913185.07,73652784.85,48703113.25,5640274.43,7501807.64
DOM-CHE,Chemtec,13255139,10656593.09,405706.8,142915.55,1371393.55
DOM-CIB,Cibernético,5720230.69,5099155.57,131431.5,14230,1973833.61
DOM-COT,Cotuí *,0,809798.75,0,0,0
DOM-DOS,Dos Rios,19095998.4,60523386.64,2474246,487800,3787776
DOM-LIM,El Limonal,0,4102334.28,160265.75,0,418396
DOM-SEI,El Seibo,540000,941028.41,30000,22344,66720
DOM-ESP,Esperanza,29460537.51,78520783.23,3674774,1296558.94,1609078.23
DOM-EXC,Excel Boca Chica,1584746.77,4189065.88,407875.48,86549.83,1903336.36
DOM-GUR,Gurabo,12891988.97,35128415.46,1562663.58,311000,16495693.88
DOM-HAI,Hainamosa,9405248.11,8938240.41,234923.36,393809.82,2326703.73
DOM-HAN,Hato Nuevo,2424512.99,2271884.71,94978,0,1441265.05
DOM-CRI,San Cristóbal (Itabo),244652532.6,328690788.2,14886567.91,8116708.35,77546134.08
DOM-INT,Interexport Free Zone,746966.74,3808915.65,171005,134412,1076580
DOM-ARM,La Armería,3612196.79,4756105.55,145913.89,107733,1015920.68
DOM-HIS,La Hispaniola,1276002,2178303.41,0,12444,144198.16
DOM-PAL,La Palma,991864.3,5820428.58,194840.6,69600,351512.34
DOM-ROM,La Romana I,28893398.31,76010121.76,3278119.18,863915.65,3221721.58
DOM-RII,La Romana II,21025814.36,40249767.5,1353359,1032350,6025982.27
DOM-VEG,La Vega,35713830,46127044.08,1724458.5,740548.49,3636941.93
DOM-LAS,Las Américas,148893774.2,212243524.6,10669461.19,3022288.53,16907982.24
DOM-ALC,Los Alcarrizos,9379610.45,18714115.9,871198.12,1261781.85,3955706.7
DOM-MOC,Moca,18430762.5,17702444.62,659226.75,488552,1780206.8
DOM-MUL,Multimodal Caucedo,100000,46128232.99,0,0,20048
DOM-MUT,Multiparques,30290636,13373684.87,531557,24729,2828048
DOM-NAV,Navarrete,6391340.08,12463877.29,554109,69292.8,432678.25
DOM-NIG,Nigua,31599007.22,9231984.13,1289326.09,412444.5,2133301.91
DOM-PAM,Palmarejo,4506784.77,31120141.42,1246469,0,791823.21
DOM-YAQ,Parque Ind. y de Servicio Yaque,14179092.89,9265803.94,444397,2298237,1086816.97
DOM-PED,Pedernales,1115044.36,8569554.05,652869,126140,225580.13
DOM-PIS,PERLAV,24282079.02,24136987.18,898364,46026,2580158.85
DOM-PUE,PISANO,52109546.38,45396213.8,4182443.12,6263721.21,7905337.29
DOM-QUI,Puerto Plata,6712632.68,10976889.68,629685.06,114368,3023953.42
DOM-SAL,Salcedo,1357346.85,1712247.67,0,0,72053.07
DOM-FRA,San Fco. de Macorís,694055.57,1611791.29,60331,26718,100414.48
DOM-ISI,San Isidro,153059641,389491791.6,12653971.77,2484410.69,71732684.29
DOM-MAC,San Pedro de Macorís,135001450.1,208176476.8,8392928.24,1615155.36,15180371.45
DOM-S12,Santiago,166844336.3,399145603.4,12982721.28,15411805.21,23907167.5
DOM-JAN,Santiago-Jánico,13945897.54,8668598.43,334097.4,615072.58,697056.73
DOM-SLI,Parque Tecnológico de Santiago,4969175.89,5915651.74,256937,122343,892153.21
DOM-TAM,Tamboril,8487711.31,5986772.08,470710.92,150799.2,1000568.06
DOM-ALT,Villa Altagracia,1399795,5322537.16,219223,49118,1394800
DOM-MEL,Villa Mella,1816759.48,4128908.48,152802,34409.88,360286.31
DOM-ZFE,Zonas Francas Especiales,289523508.4,419378311.1,19045830.55,10943696.08,115588590.6
