id,shapeName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
20,Espaillat,0.0962260132811043,0.0942868237143969,0.2060081914575531,0.1699330125792299,0.1501769878631651,0.0845229299059242,0.1223470421541068,0.0844371257731097,0.1027946244584455,0.1143212957849167,0.0651208538876992,0.1910617978485274,0.3040029746003462,0.6030814575786629,0.7191120588080991,0.8247823842801009,0.7971093266736089,0.9779881015462338,1.05457649831638,1.2461129154142458,1.3106696263511537,1.6811975565553068,1.9862831180905205
21,Hermanas Mirabal,0.0251328588310307,0.0298994320131542,0.0650713838110636,0.0349627037225724,0.0522343174580652,0.0200888463074832,0.0275867171942755,0.0593087283980961,0.0436468559609444,0.0219878724297601,0.0138746866684223,0.0663626350309682,0.1028291632671047,0.442630458561578,0.5115401052468477,0.6091159684614891,0.5945189107376225,0.7941596082241645,0.8634432861875582,1.0273137418583935,1.0590116629276587,1.275692034994826,1.4822412539145309
22,Independencia,0.0044255433114462,0.0099747196114454,0.0173851519363247,0.0170235181275408,0.0142270743334457,0.0143166924028669,0.0080149391499842,0.0064531435661734,0.0078752525102317,0.0105808607839629,0.0131116599336902,0.0134622087078296,0.0220774623109636,0.0372677168363169,0.0774706770344085,0.0823793906735357,0.0787578506357812,0.0928373376757989,0.0893297957304522,0.0852063425708502,0.0998940917208557,0.136857869950284,0.1317521990099698
23,Baoruco,0.0156399252633018,0.0221098929692201,0.0422108469281425,0.0373258351552157,0.013286916544,0.0191600578430217,0.0171672871239002,0.0161820705159818,0.0198262461698022,0.0231509166973422,0.013424234328796,0.0297782825622633,0.0319655349318888,0.0998216179232329,0.1486049492030481,0.1592690514869827,0.1716499398520167,0.1866219645033064,0.1801275174533882,0.1853310306378982,0.2063564266434896,0.2966813692311439,0.3678952695438206
24,Azua,0.0218854691082453,0.0337081141523651,0.0668769058704937,0.0482471658787255,0.0322929631515879,0.0159957548528726,0.0235073363190692,0.0184600022393735,0.0072383422568928,0.0135857373657418,0.0107036642595377,0.0363940703899773,0.0576439564247013,0.1552285950734925,0.1847818837294085,0.1768987143027578,0.1842274647263496,0.1975408309488732,0.2199988218399975,0.2402754025794021,0.3235892729114688,0.4090595165064883,0.4360764309420429
25,Dajabón,0.0087960644592122,0.0098977568770704,0.0159264537656704,0.0147182890349927,0.0200992341325704,0.0106116097060446,0.0133037427132442,0.0039572427197952,0.0071478183904773,0.0105426246022187,0.006820620335958,0.0285721680780575,0.0249701608472596,0.0645208165715395,0.0886419004097579,0.1087521753858626,0.1197755971891764,0.1370651728752143,0.1604511881208107,0.2308548588725194,0.2352576834345004,0.2853168840318243,0.3478819875524773
26,La Altagracia,0.1023060726926531,0.1102841509496167,0.163042160925931,0.1110225748933666,0.1398787083026899,0.1316058312544775,0.1798323912991148,0.1763956259295528,0.1932728155350652,0.2031548806348344,0.1558379344195007,0.2127261093542931,0.3437297536760426,0.4711457258145058,0.5090975255216421,0.5604964969860848,0.5874053924252749,0.6645095438365795,0.8430877929078472,0.9745386497061286,0.9021471504077694,1.0609111236418194,1.2102280980089384
27,María Trinidad Sánchez,0.0277817272933124,0.0387995017788508,0.073796350559622,0.0328567306726098,0.0234064450013345,0.0207500441696478,0.0223294661750167,0.0122658852935793,0.0155043907333809,0.021921343720368,0.0218837661767064,0.0949996957127268,0.1102875076380267,0.1156644140136136,0.1277221694803329,0.1439731209926579,0.16199468890798,0.2310257976938066,0.2455361767747257,0.2920093633385505,0.3212134361459763,0.4292833523072745,0.5909610012976878
28,Santo Domingo,2.558781465035988,2.4147683192727074,2.2709400056375793,2.493121891747178,1.5247856958934047,2.0900368215411556,2.959622627603716,2.713725194150866,2.5797024929911143,2.197192215103216,1.9480115697356524,2.8758519039881953,4.321362555513721,5.419559147958314,5.600543415136831,5.797721886101855,5.862652307754338,6.136964799587409,6.78721442708208,7.967616436041352,8.15607438485425,8.98506885550441,9.82296712604409
29,Monte Plata,0.0131033859483841,0.0118668091694145,0.02995628024797,0.0170467282517482,0.0137950097109742,0.0073287879150199,0.0085485326313633,0.0042248509743114,0.0037847167553859,0.0049540293620379,0.0091270227268059,0.0451561203219017,0.0255623317234588,0.0559660390138471,0.0496585243116841,0.0512702214907832,0.0566687525255429,0.0827353658436393,0.0972958244502387,0.108020180950731,0.1253355444018562,0.1709803241514166,0.194331015847484
30,San Cristóbal,0.5178644284872541,0.4585034629839188,0.4398414983380442,0.4233121364074183,0.3255462980194158,0.3270951336664907,0.4157947791865171,0.3867022753553118,0.2921790816376824,0.2368303278060976,0.286271050673817,0.3732042041994705,0.7318694393809083,1.1999257737852456,1.2638078620373074,1.2852889757005386,1.3688550703383016,1.5105158446424467,1.6166143123930714,1.8647247014642705,2.1276931850522756,2.396414600317383,2.5351232211627557
31,San Pedro de Macorís,0.2855848014781038,0.296193226298536,0.2795509213324239,0.2576824867870201,0.2065251972742085,0.2420788133025152,0.2260520912448241,0.2037880707131727,0.2149643367652075,0.1729337163888744,0.0909218044284002,0.2118995494933491,0.4742801079842356,0.9129899091995554,0.977813338668655,1.1101034606135312,1.0780325790211407,1.0396086461841267,1.1355262575592582,1.1647948551765115,1.2661035290933853,1.5342288545618756,1.726834267551744
