code,park,inv00,inv01,inv02,inv03,inv04,inv05,inv06,inv07,inv08,inv09,inv10,inv11,inv12,inv13,inv14,inv15,inv16,inv17,inv18,inv19
DOM-GLO,Global,9719625.77,10459813.08,8388888.0,8888888.0,7733334.0,4600000.0,4900000.0,0.0,0.0,0,0.0,0,187420.0,402925.0,440900,428211,728733.0,735289.0,0.0,682321.0
DOM-GUR,Gurabo,5390954.0,7524131.0,6173123.44,6210741.0,10256846.97,7955826.97,16641399.67,24958839.6,12312060.73,10867492.33,7227145.02,6222335,17197448.36,14981963.52,24826481,25429550.4,27261655.52,32908390.0,0.0,9078654.8
DOM-HAI,Hainamosa,10485771.0,9975665.39,6319385.0,22736105.85,7538698.0,5808123.7,6962329.0,9095812.52,11086818.52,12415013.52,12482560.08,11066456.6,9794817.22,14223911.22,14811170.4,21419086.9,22329475.47,25604251.8,0.0,43061493.13
DOM-HAN,0,0.0,5500000.0,5500000.0,2500000.0,2750000.0,1050000.0,1050000.0,1568802.79,16168567.63,14974244.52,16721603.52,18372661.8,18962933.17,20061888.25,19516688.6,31710575.8,25844201.88,41981506.5,0.0,41294194.45
DOM-HAT,Hato Mayor,2376975.0,2081975.0,1351975.0,1141975.0,1141975.0,1241975.0,1301975.0,600000.0,480000.0,0,0.0,350000,3501456.0,1141975.0,1201975,1401975,1237451.0,1237451.0,0.0,200000.0
DOM-HER,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1553488.63,1467025,3385283.6,3480183.61,350407.5,0.0,2543804.72
DOM-HIG,Higuey,2970999.0,2833731.0,1254400.0,1220000.0,1220000.0,1220000.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-HIP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,3009858.1,3009858.14,3533577.5,0.0,2550000.0
DOM-HIS,0,0.0,0.0,0.0,0.0,0.0,1599051.22,2000000.0,1200000.0,3679944.94,3679944.94,3500000.0,2968677,2828048.7,3545762.3,3605100,4065900,4930475.0,4969166.2,0.0,4960125.0
DOM-HIT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.0,6100000.0
DOM-IHA,P. Ind. Haina,2382400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-INE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11243908.33,33402383.6,0.0,25702443.52
DOM-INF,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,201930.5,201930.5,210000.0,200000.0,0.0,198750.0
