asdf_id,cru_ts_407_pre_yearly_mean.2000.mean,cru_ts_407_pre_yearly_mean.2001.mean,cru_ts_407_pre_yearly_mean.2002.mean,cru_ts_407_pre_yearly_mean.2003.mean,cru_ts_407_pre_yearly_mean.2004.mean,cru_ts_407_pre_yearly_mean.2005.mean,cru_ts_407_pre_yearly_mean.2006.mean,cru_ts_407_pre_yearly_mean.2007.mean,cru_ts_407_pre_yearly_mean.2008.mean,cru_ts_407_pre_yearly_mean.2009.mean,cru_ts_407_pre_yearly_mean.2010.mean,cru_ts_407_pre_yearly_mean.2011.mean,cru_ts_407_pre_yearly_mean.2012.mean,cru_ts_407_pre_yearly_mean.2013.mean,cru_ts_407_pre_yearly_mean.2014.mean,cru_ts_407_pre_yearly_mean.2015.mean,cru_ts_407_pre_yearly_mean.2016.mean,cru_ts_407_pre_yearly_mean.2017.mean,cru_ts_407_pre_yearly_mean.2018.mean,cru_ts_407_pre_yearly_mean.2019.mean,cru_ts_407_pre_yearly_mean.2020.mean,cru_ts_407_pre_yearly_mean.2021.mean,cru_ts_407_pre_yearly_mean.2022.mean
79,132.0331156,140.5361863,124.0826761,149.2212727,120.2554837,143.3905725,127.9298274,151.2254415,127.594301,126.8741242,125.276537,128.9469314,146.6964934,96.18991335,119.8861871,125.6271956,162.1730288,134.2574586,112.2467123,115.5467123,116.0697392,123.6822407,132.8835554
80,125.9946091,128.0681392,110.0019628,152.249514,103.001963,123.2818658,116.4406873,131.3039244,112.4112768,116.8701006,113.2279428,111.9088251,122.8887277,82.45637297,102.5245131,114.6843154,144.4612783,117.325492,100.4514721,100.8191176,107.6892181,105.4333363,124.5941188
81,122.9332721,144.9933462,120.3491306,138.9051537,118.9167789,158.352159,122.6568623,167.2981132,125.5485575,119.3439902,129.69788,138.9219116,148.690371,89.93726584,134.9577619,119.5132938,160.5043053,139.8043979,110.2861011,123.6295308,115.4697765,128.6047174,119.7679497
82,132.0462767,130.4141752,127.8347254,149.9961692,137.4659206,140.330037,138.4612243,134.9597629,135.7779393,140.569134,135.3034284,138.992942,150.247171,135.7297355,114.0111632,129.6799379,163.6614162,138.20073,114.9524804,105.0977505,118.4540513,130.3415096,145.6477648
83,153.3916704,147.2166709,143.3166679,166.3250036,143.475004,147.6166674,147.4666697,147.6916676,147.4666684,147.4500033,133.1666689,139.8750025,169.8333368,133.7750027,118.7666674,146.8333362,177.1916701,147.2416693,124.9833349,113.6583346,125.7166667,142.6583354,160.1583373
84,87.40833616,95.11666807,78.90000248,109.0583363,75.93333626,98.66666857,87.07500076,105.4000022,82.99166807,86.55000114,86.19166787,84.42500114,90.80000162,57.45833492,83.80833594,82.35833486,107.7083356,87.64166705,73.00000064,77.52500057,81.20833532,77.93333467,87.00000127
85,130.3679196,127.1874703,123.8264845,144.2575778,128.8002686,131.4494035,130.5702073,129.0829932,129.4706107,131.5366544,122.0708264,127.0743919,147.5431749,123.983334,106.9188569,126.2835269,154.6365092,130.0082121,108.5080783,98.97485411,111.6631262,125.0671166,139.2255351
86,150.0010448,147.2166693,142.8791691,167.4770836,147.9812541,151.335418,150.5656275,149.1208366,149.362504,151.5406271,140.9687522,146.5468778,169.4322935,142.7145862,122.0916684,146.2427085,178.0593783,149.7427098,125.7270846,113.4031267,128.0500007,144.503127,161.5291683
87,126.1935517,121.976573,119.6597355,135.9694575,122.2207203,124.8277028,124.4579299,123.9807736,124.079893,124.7974895,112.8026117,118.5979182,144.1147583,114.7264932,101.2805398,121.9991368,148.0813541,123.7055187,103.6284267,94.99636996,105.7522008,120.0630701,133.3107025
88,87.63489846,96.24479309,78.76718974,108.4489608,75.79271084,101.1244809,87.50000108,108.0000022,83.16198041,86.51562607,86.98073062,85.96406363,90.9000015,56.77552228,85.82864827,81.97864722,107.9223979,88.15572964,73.17812575,79.00312583,82.05833534,78.46927228,85.53593844
