gqid,shapeGroup,shapeID,shapeName,shapeType,worldpop_pop_count_1km_mosaic.2000.count,worldpop_pop_count_1km_mosaic.2000.sum,worldpop_pop_count_1km_mosaic.2001.count,worldpop_pop_count_1km_mosaic.2001.sum,worldpop_pop_count_1km_mosaic.2002.count,worldpop_pop_count_1km_mosaic.2002.sum,worldpop_pop_count_1km_mosaic.2003.count,worldpop_pop_count_1km_mosaic.2003.sum,worldpop_pop_count_1km_mosaic.2004.count,worldpop_pop_count_1km_mosaic.2004.sum,worldpop_pop_count_1km_mosaic.2005.count,worldpop_pop_count_1km_mosaic.2005.sum,worldpop_pop_count_1km_mosaic.2006.count,worldpop_pop_count_1km_mosaic.2006.sum,worldpop_pop_count_1km_mosaic.2007.count,worldpop_pop_count_1km_mosaic.2007.sum,worldpop_pop_count_1km_mosaic.2008.count,worldpop_pop_count_1km_mosaic.2008.sum,worldpop_pop_count_1km_mosaic.2009.count,worldpop_pop_count_1km_mosaic.2009.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum
10,DOM,DOM-ADM2-62336421B40996189,Baní,ADM2,637.6199951,76492.3125,637.6199951,77978.92188,637.6199951,81747.125,637.6199951,83833.21875,637.6199951,86785.73438,637.6199951,92543.49219,637.6199951,98606.875,637.6199951,101009.5703,637.6199951,102351.2031,637.6199951,106458.6563,637.6199951,107664.5469,637.6199951,114053.7813,637.6199951,120544.7188,637.6199951,125497.7813,637.6199951,129426.1875,637.6199951,134824.875,637.6199951,141522.1875,637.6199951,148411.6406,637.6199951,154149.8125,637.6199951,160868.0156,637.6199951,167438.6563
11,DOM,DOM-ADM2-62336421B92290454,Villa Hermosa,ADM2,149.6000061,68234.73438,149.6000061,69774.89844,149.6000061,70971.0625,149.6000061,72824.23438,149.6000061,74508.80469,149.6000061,76287.66406,149.6000061,78147.21875,149.6000061,79770.77344,149.6000061,81665.45313,149.6000061,82438.90625,149.6000061,84285.32031,149.6000061,86889.57813,149.6000061,88381.5625,149.6000061,90835.60938,149.6000061,92880.66406,149.6000061,95113.86719,149.6000061,97233.07031,149.6000061,98716.03125,149.6000061,101600.1875,149.6000061,103986.5156,149.6000061,106330.8438
12,DOM,DOM-ADM2-62336421B96628190,El Cercado,ADM2,348.5299988,24365.80078,348.5299988,23841.88281,348.5299988,23492.30078,348.5299988,23159.33594,348.5299988,22661.67969,348.5299988,22271.73047,348.5299988,21892.34375,348.5299988,21561.99023,348.5299988,21269.90234,348.5299988,20958.82422,348.5299988,20562.61914,348.5299988,20332.62891,348.5299988,19974.5957,348.5299988,19634.08984,348.5299988,19244.60547,348.5299988,18914.61133,348.5299988,18549.69922,348.5299988,18234.61914,348.5299988,17890.04883,348.5299988,17583.07813,348.5299988,17283.7168
13,DOM,DOM-ADM2-62336421B60125690,Eugenio María De Hostos,ADM2,102.4399948,6021.932129,102.4399948,5951.354492,102.4399948,6015.206543,102.4399948,5906.736328,102.4399948,5882.943359,102.4399948,5791.90918,102.4399948,5708.735352,102.4399948,5704.818359,102.4399948,5692.851563,102.4399948,5842.483887,102.4399948,5779.97998,102.4399948,5842.983887,102.4399948,5860.874512,102.4399948,5887.66748,102.4399948,5901.429688,102.4399948,5923.628906,102.4399948,5942.591797,102.4399948,5945.066895,102.4399948,5913.077637,102.4399948,5937.72168,102.4399948,5913.476563
14,DOM,DOM-ADM2-62336421B62065221,Bohechío,ADM2,510.2599792,5746.515625,510.2599792,5806.104004,510.2599792,5832.935059,510.2599792,5837.94873,510.2599792,6126.27832,510.2599792,6072.141602,510.2599792,6230.077637,510.2599792,6205.630371,510.2599792,6100.636719,510.2599792,6314.072754,510.2599792,6377.829102,510.2599792,6363.169434,510.2599792,6521.305664,510.2599792,6980.415527,510.2599792,7128.094727,510.2599792,7005.133789,510.2599792,7123.818359,510.2599792,7246.931152,510.2599792,7252.234863,510.2599792,7344.427734,510.2599792,7404.603516
15,DOM,DOM-ADM2-62336421B63865508,Arenoso,ADM2,184.9100037,11609.46875,184.9100037,11643.53516,184.9100037,11702.83789,184.9100037,11711.4873,184.9100037,11819.3457,184.9100037,11841.51465,184.9100037,11724.13574,184.9100037,11616.06445,184.9100037,11677.20313,184.9100037,11724.1543,184.9100037,11744.97754,184.9100037,11658.6582,184.9100037,11753.91406,184.9100037,11825.9082,184.9100037,11950.93359,184.9100037,12004.49219,184.9100037,11976.66699,184.9100037,12010.12891,184.9100037,12092.6875,184.9100037,12082.83594,184.9100037,12144.52148
16,DOM,DOM-ADM2-62336421B3706850,Tábara Arriba,ADM2,347.1199951,10947.07715,347.1199951,11500.16016,347.1199951,11870.81641,347.1199951,12439.08105,347.1199951,12974.88086,347.1199951,13531.7373,347.1199951,14233.70508,347.1199951,14852.29297,347.1199951,15582.80664,347.1199951,16066.48535,347.1199951,16901.11914,347.1199951,17530.29883,347.1199951,18064.61914,347.1199951,18985.64063,347.1199951,19967.76172,347.1199951,20964.73047,347.1199951,21792.24023,347.1199951,22728.24023,347.1199951,23760.82422,347.1199951,24771.30859,347.1199951,25910.62891
17,DOM,DOM-ADM2-62336421B51467128,Vicente Noble,ADM2,310.1199951,24855.83008,310.1199951,23830.30078,310.1199951,23479.2207,310.1199951,23279.24023,310.1199951,22978.86133,310.1199951,23161.02734,310.1199951,23304.24219,310.1199951,23691.35938,310.1199951,24196.04688,310.1199951,24883.49414,310.1199951,25433.26953,310.1199951,26160.7168,310.1199951,26763.50195,310.1199951,27742.83984,310.1199951,28383.02148,310.1199951,29553,310.1199951,30451.87109,310.1199951,31555.78516,310.1199951,33095.52344,310.1199951,34676.66797,310.1199951,36383.08594
18,DOM,DOM-ADM2-62336421B81143522,Consuelo,ADM2,167.2200012,30409.91797,167.2200012,30265.9375,167.2200012,29948.30469,167.2200012,29707.66211,167.2200012,29498.92773,167.2200012,29472.03516,167.2200012,29057.72266,167.2200012,28957.53711,167.2200012,28797.10352,167.2200012,28568.42969,167.2200012,28519.82813,167.2200012,28582.67188,167.2200012,28455.80469,167.2200012,28317.08594,167.2200012,28216.53516,167.2200012,28077.24219,167.2200012,27960.81055,167.2200012,27844.91602,167.2200012,27610.26172,167.2200012,27485.58008,167.2200012,27338.80078
19,DOM,DOM-ADM2-62336421B77754311,Puñal,ADM2,79.36000061,53928.84375,79.36000061,53570.85938,79.36000061,54383.51953,79.36000061,54291.26953,79.36000061,54550.46094,79.36000061,54509.71875,79.36000061,54614.16797,79.36000061,54293.30469,79.36000061,54641.23438,79.36000061,55292.42969,79.36000061,55268.05469,79.36000061,55613.59766,79.36000061,55789.21875,79.36000061,56279.13281,79.36000061,56425.56641,79.36000061,56669.47266,79.36000061,57021.10547,79.36000061,57040.83594,79.36000061,57124.38672,79.36000061,57314.96094,79.36000061,57560.375
