code,park08, buiilt08, ocu08, availa08
DOM-BAN, Baní,380148,202732,177416
DOM-BAR, Barahona,276405,226157,50248
DOM-VIS, Bella Vista,486352,486352,0
DOM-BON, Bonao,500155,365030,135125
DOM-CIP, Caribbean Ind. Park,1006908,789600,217308
DOM-CHE, Chemtec,493802,493802,0
DOM-CIB, Cibernético,100000,75235.98,24764.02
DOM-COT, Cotuí,82965,49779,33186
DOM-DOS, Dos Rios,629460,629460,0
DOM-SEI, El Seibo,48563,32375,16188
DOM-LIM, El Limonal,40219,40219,0
DOM-ESP, Esperanza,545494.34,507133,38361.34
DOM-EXC, Excel Boca Chica,35000,35000,0
DOM-GUR, Gurabo,500261,400061,100200
DOM-HAI, Hainamosa,507400.04,261884.46,245515.58
DOM-HAT, Hato Mayor,55019,27510,27509
DOM-HAN, Hato Nuevo,149419,149419,0
DOM-CRI, San Cristóbal (Itabo),1713262,1682262,31000
DOM-ARM, La Armería,337529,337529,0
DOM-HIS, La Hispaniola,86968.35,86968.35,0
DOM-PAL, La Palma,83400,42750,40650
DOM-ROM, La Romana I,639252,446054,193198
DOM-RII, La Romana II,478853,355587,123266
DOM-VEG, La Vega,1208176,1093112,115064
DOM-LAS, Las Américas,1556161.04,1490595.62,65565.42
DOM-ALC, Los Alcarrizos,563307,547120,16187
DOM-MIN, Los Mina,49106,13648,35458
DOM-MOC, Moca,512167,512167,0
DOM-MUL, Multimodal Caucedo,96302,96302,0
DOM-MUT, Multiparques,392882,392882,0
DOM-NAV, Navarrete,200000,30000,170000
DOM-NIG, Nigua,546041,184300,361741
DOM-PAB, Palmar Abajo,121886,121886,0
DOM-PAM, Palmarejo,450038,417834,32204
DOM-PED, Pedernales,80000,80000,0
DOM-PIS, PISANO,1014211,989598.89,24612.11
DOM-PUE, Puerto Plata,444629,150579.34,294049.66
DOM-QUI, Quisqueya,50929,50929,0
DOM-SAL, Salcedo,48563,48563,0
DOM-FRA, San Francisco de M.,164584,82897,81687
DOM-ISI, San Isidro,1377095.03,1297573.2,79521.83
DOM-MAC, San Pedro de M.,2431726,2204466,227260
DOM-S12, Santiago,3709700.64,3073242,636458.64
DOM-JAN, Santiago-Jánico,200000,60847.26,139152.74
DOM-SLI, Santiago-Licey,177750,103500,74250
DOM-TAM, Tamboril,216000,107666.59,108333.41
DOM-ALT, Villa Altagracia,240312.07,189276.85,51035.22
DOM-MEL, Villa Mella,362817.28,307153.19,55664.09
