code,buiilt00,buiilt01,buiilt02,buiilt03,buiilt04,buiilt05,buiilt06,buiilt07,buiilt08,buiilt09,buiilt10,buiilt11,buiilt12,buiilt13,buiilt14,buiilt15,buiilt16,ocu00,ocu01,ocu02,ocu03,ocu04,ocu05,ocu06,ocu07,ocu08,ocu09,ocu10,ocu11,ocu12,ocu13,ocu14,ocu15,ocu16
DOM-CRI,1200000.0,1394570.0,1460091.0,1472545.0,1472546.0,1660774.0,1739105.0,1713262.0,1713262.0,1764664.38,1834324.09,1834324.09,2117075.95,2117075.95,2117075.95,1927487.0,2112661.37,1159418.0,1333853.0,1374165.0,1441239.0,1460239.0,1660774.0,1682262.0,1682262.0,1682262.0,1732420.91,1768518.28,1834324.09,2117075.95,2117075.95,2117075.95,1927487.0,1948601.37
DOM-CTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229241.8,229241.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229241.8,229241.8
DOM-DOS,0.0,0.0,0.0,0.0,0.0,0.0,624080.0,629460.0,629460.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,0.0,0.0,0.0,0.0,0.0,0.0,624080.0,629460.0,629460.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0,1716800.0
DOM-DPE,0.0,0.0,0.0,0.0,26000.0,26000.0,26000.0,26000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0,26000.0,26000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-EMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104018.0,153225.0,153225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104018.0,153225.0,153225.0
DOM-ESP,679713.0,679713.0,312487.0,313705.0,388483.88,531487.34,486506.57,528342.42,545494.34,545494.34,545494.34,545494.34,545494.34,545494.34,545494.34,548530.94,548530.94,679713.0,679713.0,312487.0,313705.0,388483.88,446614.83,441821.91,415988.28,507133.0,367372.34,454746.12,299993.51,373076.21,466714.26,545494.34,548530.94,548530.94
DOM-EXC,35000.0,35000.0,36000.0,39000.0,39000.0,39000.0,35000.0,35000.0,35000.0,39000.0,39000.0,39000.0,39000.0,390000.0,39000.0,39000.0,87800.0,24760.0,24760.0,24760.0,39000.0,39000.0,39000.0,35000.0,35000.0,35000.0,39000.0,39000.0,39000.0,39000.0,390000.0,39000.0,39000.0,87800.0
DOM-FRA,152007.0,180935.0,180935.0,180935.0,147515.0,164584.0,164584.0,164584.0,164584.0,164584.0,164584.0,164584.0,164584.0,159588.95,168398.35,168398.35,167242.44,107925.0,180935.0,164935.0,149470.0,147515.0,164584.0,98694.0,82897.0,82897.0,16584.0,48989.0,81654.0,64746.58,64746.58,64746.58,68730.94,71844.61
DOM-GLO,199067.0,199067.0,199067.0,199067.0,199067.0,199067.0,199067.0,0.0,0.0,0.0,0.0,0.0,53800.0,53800.0,500261.0,500261.0,500261.0,199067.0,199067.0,174738.0,174738.0,174473.0,151894.0,174738.0,0.0,0.0,0.0,0.0,0.0,10760.0,22596.0,500261.0,500261.0,500261.0
DOM-GUR,240000.0,240000.0,470107.57,470107.0,480874.66,480874.66,480874.66,487020.0,500261.0,500261.0,500261.0,500261.0,500261.0,500261.0,164366.2,204440.0,204440.0,136000.0,136000.0,407646.7,411746.0,480874.66,480874.66,223360.35,451820.0,400061.0,213080.0,297121.0,307282.6,288794.6,297908.0,143372.8,192920.0,204440.0
DOM-HAI,414600.0,414600.0,414600.0,414600.0,481763.45,481763.45,481763.45,481763.45,507400.04,507400.04,507400.04,507400.04,507400.04,507400.04,507400.04,507400.04,696241.94,384301.0,384301.0,304989.0,293967.0,391036.87,391036.87,182217.93,194717.0,261884.46,360574.43,360574.43,202876.74,244154.62,301137.97,294803.17,294803.17,483257.17
DOM-HAN,0.0,132166.0,132166.0,144147.0,133726.0,133726.0,149419.0,149419.0,149419.0,149419.0,149419.0,149919.0,149919.0,156895.13,156085.13,168360.39,165292.0,0.0,132166.0,132166.0,117987.0,133726.0,133726.0,149419.0,149419.0,149419.0,149419.0,149419.0,149919.0,136972.59,136635.07,152376.03,168360.39,165292.0
DOM-HAT,82000.0,68033.0,68033.0,51846.0,68034.0,55019.0,55019.0,55019.0,55019.0,0.0,0.0,55019.0,55019.0,711387.96,88375.65,88375.65,61688.68,66097.0,54436.0,39581.0,39500.0,55019.0,55019.0,55019.0,55019.0,27510.0,0.0,0.0,55019.0,39581.4,711387.96,79397.6,79397.6,61688.68
DOM-HER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23698.25,23698.25,23698.25,23698.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23698.25,23698.25,23698.25,23698.25
DOM-HIG,140603.0,78651.0,78651.0,78654.0,78654.0,78604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78651.0,78651.0,52691.0,33886.0,33886.0,45457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-HIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,120000.0
DOM-HIS,0.0,0.0,0.0,0.0,0.0,77635.0,117247.0,117247.0,86968.35,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,0.0,0.0,0.0,0.0,0.0,72635.0,72635.0,72635.0,86968.35,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4
DOM-IHA,76000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-INE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242896.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242896.24
DOM-INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92105.6,92105.6,92105.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92105.6,92105.6,92105.6
DOM-INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73382.0,73382.0,73382.0,73382.93,73382.0,73382.0,73382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73382.0,73382.0,73382.0,73382.93,73382.0,73382.0,73382.0
DOM-ISI,900000.0,973647.0,1123787.0,1164304.0,1169994.6,1188543.36,1281783.96,1311572.06,1377095.03,1377095.03,1444060.68,1444060.68,1616489.32,1617488.85,1617488.85,1549454.35,1586270.31,810944.0,973647.0,995606.0,1083653.0,1169994.6,1188543.36,1132779.95,1193031.14,1297573.2,1224533.52,1343361.28,1230581.95,1237278.31,1321595.88,1460680.0,1290113.02,1286412.35
DOM-JAI,75320.0,75320.0,75320.0,75320.0,75320.0,75320.0,75320.0,75320.0,0.0,0.0,0.0,42000.0,42000.0,0.0,0.0,0.0,0.0,37660.0,37660.0,37660.0,75320.0,47000.0,47000.0,47000.0,47000.0,0.0,0.0,0.0,42000.0,42000.0,0.0,0.0,0.0,0.0
DOM-JAN,140000.0,140000.0,140000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,284071.0,284071.0,284071.0,284071.0,217606.0,217606.0,217606.0,217606.0,108307.0,140000.0,140000.0,200000.0,200000.0,200000.0,200000.0,200000.0,60847.26,191764.0,191764.0,191764.0,191764.0,217606.0,217606.0,217606.0,217606.0
DOM-JOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110000.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110000.0,110000.0
DOM-KEP,0.0,0.0,0.0,0.0,0.0,108771.0,108771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108771.0,108771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-KGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48300.0,52821.0,52821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48300.0,52821.0,52821.0
DOM-LAG,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-LAS,1200000.0,1193592.0,1136891.0,1136891.0,1390819.85,1406078.05,1433942.56,1509756.37,1556161.04,1625617.59,1625617.59,1625617.59,1628263.92,1657963.19,1699062.37,1638117.54,1638117.54,1200000.0,1174335.0,1030903.0,1136891.0,1390819.85,1363211.42,1398034.37,1509756.37,1490595.62,1552422.89,1178022.88,1307209.33,1240384.81,1353201.78,1554553.83,1638117.54,1638117.54
DOM-LIM,0.0,0.0,0.0,0.0,0.0,40199.0,40199.0,40219.0,40219.0,40219.0,46445.0,46445.0,75000.0,75000.0,75000.0,75000.0,75000.0,0.0,0.0,0.0,0.0,0.0,40199.0,40199.0,40219.0,40219.0,40219.0,46445.0,46445.0,75000.0,75000.0,75000.0,75000.0,75000.0
DOM-LUN,0.0,0.0,0.0,32292.0,32292.0,80000.0,80000.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32292.0,32292.0,32292.0,32292.0,32292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MAC,2439826.0,2439826.0,2439826.0,2439826.0,2431726.0,2431726.0,2431726.0,2431726.0,2431726.0,2431726.0,2431726.0,2431726.0,3059519.26,2823599.09,2823599.09,2823599.09,3199449.9,2407036.0,2201865.0,2284135.0,2341862.0,2431726.0,2242404.0,2299373.0,2204466.0,2204466.0,2336329.0,2262372.0,2355714.0,2844507.84,2655473.46,2674042.13,2793741.96,3028019.11
