code,buiilt00,buiilt01,buiilt02,buiilt03,buiilt04,buiilt05,buiilt06,buiilt07,buiilt08,buiilt09,buiilt10,buiilt11,buiilt12,buiilt13,buiilt14,buiilt15,buiilt16,ocu00,ocu01,ocu02,ocu03,ocu04,ocu05,ocu06,ocu07,ocu08,ocu09,ocu10,ocu11,ocu12,ocu13,ocu14,ocu15,ocu16
DOM-S12,3595618.0,3615811.0,3639349.0,3661475.0,3684117.32,3705996.68,3705996.68,3705997.0,3709700.64,3709700.64,3709700.64,3709700.64,3736116.0,4418208.71,4304254.48,4362630.59,5358867.29,3437048.0,3575811.0,3577607.2,3549868.0,3684117.32,3585213.68,3591748.68,2672118.0,3073242.0,3039789.88,3027622.0,3052291.59,3218791.07,4418208.71,4174200.74,4177185.13,5328267.29
DOM-SAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66635.7,66635.7,66635.7,66635.7,66635.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66635.7,66635.7,66635.7,66635.7,66635.7
DOM-SAL,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48561.0,48561.0,0.0,0.0,0.0,0.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48561.0,48561.0,0.0,0.0,0.0,0.0
DOM-SEI,48561.0,32375.0,48561.0,32374.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,48563.0,487111.04,48711.04,48711.04,48775.71,16187.0,32375.0,32374.0,32374.0,48563.0,32375.0,32375.0,32375.0,32375.0,16188.0,16040.0,48563.0,48563.0,487111.04,48711.04,48711.04,48775.71
DOM-SLI,155000.0,155000.0,162000.0,162000.0,162000.0,162000.0,177750.0,177750.0,177750.0,150500.0,150500.0,150500.0,150500.0,146500.0,146500.0,146500.0,146500.0,147250.0,145351.0,133500.0,142500.0,150000.0,141000.0,126500.0,79500.0,103500.0,77500.0,77500.0,127500.0,65400.0,92500.0,92500.0,106450.0,106450.0
DOM-SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28750.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28750.72
DOM-SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14648.0,14648.0,14648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14648.0,14648.0,14648.0
DOM-TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51432.0,62577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43040.0,62577.0
DOM-TAM,80000.0,191724.0,184879.0,184879.0,184879.0,216000.0,216000.0,216000.0,216000.0,216000.0,270685.33,388000.0,388000.0,688640.0,688640.0,656119.0,824250.0,20000.0,191724.0,165374.0,184879.0,184879.0,171653.0,171653.0,88410.0,107666.59,216000.0,235078.0,388000.0,388000.0,688640.0,688640.0,656119.0,620403.0
DOM-VEG,1283873.0,1116683.0,1116683.0,1116683.0,1228505.0,1208176.0,1208176.0,1208176.0,1208176.0,1208176.0,1208176.0,1173226.0,1173226.0,1122197.2,1122197.2,1122197.0,1261076.26,1283873.0,1116683.0,1116683.0,1116683.0,1228505.0,1208176.0,1208176.0,1093112.0,1093112.0,1048074.0,1021199.0,1142783.0,920888.74,994814.98,1067969.53,1122197.0,1157306.67
DOM-VIS,0.0,0.0,0.0,0.0,506796.0,506796.0,444890.0,486352.0,486352.0,388922.96,388922.96,421816.0,421816.0,421816.0,421834.0,421834.0,421834.0,0.0,0.0,0.0,0.0,506796.0,506796.0,444890.0,486352.0,486352.0,388922.96,388922.96,421816.0,421816.0,421816.0,421834.0,421834.0,421834.0
DOM-YAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200738.56,200738.56,200738.56,200738.56,200738.56,200738.56,200738.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143000.0,200738.56,200738.56,200738.56,200738.56,200738.56,200738.56
DOM-ZOF,38000.0,38000.0,38000.0,38000.0,38000.0,38000.0,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38000.0,38000.0,38000.0,22000.0,22500.0,22500.0,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
