code,park,ent99,ent00,ent01,ent02,ent03,ent04,ent05,ent06,ent07,ent08,ent09,ent10,ent11,ent12,ent13,ent13,ent15,ent16,ent17,ent18,enter_2019
DOM-ROM,La Romana I,21.0,20.0,19.0,15.0,12.0,12.0,8.0,9.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0
DOM-S12,Santiago I y II,81.0,77.0,79.0,84.0,83.0,83.0,77.0,74.0,68.0,65.0,69.0,67.0,70.0,78.0,74.0,74.0,75.0,77.0,75.0,77.0,77.0
DOM-SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
DOM-SAL,Salcedo,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-SEI,El Seibo,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
DOM-SLI,Santiago Licey,6.0,7.0,7.0,9.0,11.0,12.0,11.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0
DOM-SUN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
DOM-SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
DOM-TAL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0
DOM-TAM,Tamboril,2.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,8.0,9.0,7.0,8.0,8.0,10.0,11.0,11.0,12.0,11.0
DOM-VEG,La Vega,29.0,30.0,28.0,32.0,32.0,30.0,21.0,27.0,24.0,22.0,19.0,23.0,21.0,19.0,18.0,18.0,17.0,17.0,15.0,18.0,20.0
DOM-VER,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DOM-VIS,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DOM-YAQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
DOM-ZFE,Z.F. Especiales,28.0,27.0,31.0,33.0,35.0,41.0,56.0,75.0,72.0,82.0,114.0,122.0,127.0,140.0,145.0,145.0,136.0,144.0,151.0,0.0,0.0
DOM-ZOF,Zofinma (Mao),0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
