code,year,inv
DOM-CRI,5,227382640
DOM-CRI,6,255296544
DOM-CRI,7,192590832
DOM-CRI,8,176024112
DOM-CRI,9,170061664
DOM-CRI,10,223399296
DOM-CRI,11,303716960
DOM-CRI,12,353293344
DOM-CRI,14,457875264
DOM-CRI,15,327128640
DOM-CRI,16,400875936
DOM-CTQ,0,0
DOM-CTQ,1,0
DOM-CTQ,2,0
DOM-CTQ,3,0
DOM-CTQ,4,0
DOM-CTQ,5,0
DOM-CTQ,6,0
DOM-CTQ,7,0
DOM-CTQ,8,0
DOM-CTQ,9,0
DOM-CTQ,10,0
DOM-CTQ,11,0
DOM-CTQ,12,0
DOM-CTQ,14,0
DOM-CTQ,15,7972912
DOM-CTQ,16,4417395
DOM-DOS,0,0
DOM-DOS,1,0
DOM-DOS,2,0
DOM-DOS,3,0
DOM-DOS,4,0
DOM-DOS,5,0
DOM-DOS,6,70000000
DOM-DOS,7,70000000
DOM-DOS,8,110000000
DOM-DOS,9,110000000
DOM-DOS,10,110000000
DOM-DOS,11,65161872
DOM-DOS,12,96729336
DOM-DOS,14,208986256
DOM-DOS,15,208986256
DOM-DOS,16,211987408
DOM-ECO,0,0
DOM-ECO,1,0
DOM-ECO,2,0
DOM-ECO,3,0
DOM-ECO,4,0
DOM-ECO,5,0
DOM-ECO,6,0
DOM-ECO,7,0
DOM-ECO,8,0
DOM-ECO,9,0
DOM-ECO,10,0
DOM-ECO,11,0
DOM-ECO,12,0
DOM-ECO,14,0
DOM-ECO,15,0
DOM-ECO,16,0
DOM-EMI,0,0
DOM-EMI,1,0
DOM-EMI,2,0
DOM-EMI,3,0
DOM-EMI,4,0
DOM-EMI,5,0
DOM-EMI,6,0
DOM-EMI,7,0
DOM-EMI,8,0
DOM-EMI,9,0
DOM-EMI,10,0
DOM-EMI,11,0
DOM-EMI,12,0
DOM-EMI,14,4030000
DOM-EMI,15,4030000
DOM-EMI,16,7121521
DOM-ESP,0,0
DOM-ESP,1,0
DOM-ESP,2,0
DOM-ESP,3,12821702
DOM-ESP,4,16494059
DOM-ESP,5,16458862
DOM-ESP,6,15128216
DOM-ESP,7,26105748
DOM-ESP,8,28691078
DOM-ESP,9,25574506
DOM-ESP,10,28160672
DOM-ESP,11,22456492
DOM-ESP,12,21562882
DOM-ESP,14,22563480
DOM-ESP,15,21882448
DOM-ESP,16,19795844
DOM-EXC,0,0
DOM-EXC,1,0
DOM-EXC,2,0
DOM-EXC,3,2429044
DOM-EXC,4,3270065.5
DOM-EXC,5,2866943.5
DOM-EXC,6,1955626.5
DOM-EXC,7,2329222
DOM-EXC,8,3069408
DOM-EXC,9,3108964
DOM-EXC,10,3323751.8
DOM-EXC,11,5980000
DOM-EXC,12,8000000
DOM-EXC,14,7930600
DOM-EXC,15,8330000
DOM-EXC,16,8330000
DOM-FLO,0,0
DOM-FLO,1,0
DOM-FLO,2,0
DOM-FLO,3,0
DOM-FLO,4,0
DOM-FLO,5,0
DOM-FLO,6,0
DOM-FLO,7,0
DOM-FLO,8,0
DOM-FLO,9,0
DOM-FLO,10,0
DOM-FLO,11,0
DOM-FLO,12,0
DOM-FLO,14,0
DOM-FLO,15,0
DOM-FLO,16,0
DOM-FRA,0,0
DOM-FRA,1,0
DOM-FRA,2,0
DOM-FRA,3,5152726.5
DOM-FRA,4,5617302.5
DOM-FRA,5,2347939.3
DOM-FRA,6,1990981.6
DOM-FRA,7,645107.69
DOM-FRA,8,596096.88
DOM-FRA,9,999000
DOM-FRA,10,131939.95
DOM-FRA,11,1053438.3
DOM-FRA,12,588095
DOM-FRA,14,344510.69
DOM-FRA,15,291266.41
DOM-FRA,16,3353902
DOM-GLO,0,0
DOM-GLO,1,0
DOM-GLO,2,0
DOM-GLO,3,8888888
DOM-GLO,4,7733334
DOM-GLO,5,4600000
DOM-GLO,6,4900000
DOM-GLO,7,0
DOM-GLO,8,0
DOM-GLO,9,0
DOM-GLO,10,0
DOM-GLO,11,0
DOM-GLO,12,187420
DOM-GLO,14,440900
DOM-GLO,15,428211
DOM-GLO,16,728733
DOM-GUR,0,0
DOM-GUR,1,0
DOM-GUR,2,0
DOM-GUR,3,6210741
DOM-GUR,4,10256847
DOM-GUR,5,7955827
DOM-GUR,6,16641400
DOM-GUR,7,24958840
DOM-GUR,8,12312061
DOM-GUR,9,10867492
DOM-GUR,10,7227145
DOM-GUR,11,6222335
DOM-GUR,12,17197448
DOM-GUR,14,24826480
DOM-GUR,15,25429550
DOM-GUR,16,27261656
DOM-HAI,0,0
DOM-HAI,1,0
DOM-HAI,2,0
DOM-HAI,3,22736106
DOM-HAI,4,7538698
DOM-HAI,5,5808123.5
DOM-HAI,6,6962329
DOM-HAI,7,9095813
DOM-HAI,8,11086819
DOM-HAI,9,12415014
DOM-HAI,10,12482560
DOM-HAI,11,11066457
DOM-HAI,12,9794817
DOM-HAI,14,14811170
DOM-HAI,15,21419086
DOM-HAI,16,22329476
DOM-HAN,0,0
DOM-HAN,1,0
DOM-HAN,2,0
DOM-HAN,3,2500000
DOM-HAN,4,2750000
DOM-HAN,5,1050000
DOM-HAN,6,1050000
