code,inv0,inv1,inv2,inv3,inv4,inv5,inv6,inv7,inv8,inv9,inv10,inv11,inv12,inv14,inv15,inv16
DOM-PAM,0,0,0,5976065,30828690.65,90639471.75,45223430.67,57949101.84,66846200.86,75855965.24,80389236.4,79196505.2,39204030.99,38544393.1,48741389.4,49619554.78
DOM-PED,0,0,0,266000,3.00E+05,3.00E+05,550000,6.00E+05,2050000,2050000,2.80E+07,17000000,1.70E+07,9000000,11829180.1,1.20E+07
DOM-PIS,0,0,0,34727911.99,51031152.32,51906663.2,291202879.9,292936282.9,46345306.82,34759834.05,39089445.76,38503009.9,44936043.66,61922862.3,84258181.2,103649145.3
DOM-PUE,0,0,0,6737670,7243739.7,5577664.02,3957960.35,3939774,3893221.55,4699014.8,2893421.81,4141555.4,6387900.94,8553756.2,12873522.6,13735084.78
DOM-RII,0,0,0,6396839.41,6113989.41,3964157,4690000,5483987.29,5014887.93,3984599.93,25974000,25939379.3,22007694.58,153641645.4,199692125.6,26320202.75
DOM-ROM,0,0,0,2504.81,64475784.34,86871487.46,88924034.34,107540272.8,142417240.5,149027694.1,117961569.5,96090446.4,109348909.2,22350938.8,27487893.6,190093144.4
DOM-S12,225923451.6,204519706,224106287.1,249613960.8,299285306.2,364876269.1,388270658.3,236055928.7,310274473.9,300025234.2,278022900.5,282651061.6,300309573.2,327431525,394255108.6,481804920
DOM-SEI,0,0,0,1.00E+06,1200000,1280000,380000,270000,485000,100000,180000,165428,350000,500000,500000,750000
DOM-SLI,5324144,5841036,5266436,5096523.67,5896089.89,6888061.78,5602682.06,6624658.03,8454945.33,8538773.87,7826394.28,6885414.8,4546693.8,6167959.6,7697014.1,8488603.96
DOM-TAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146216,1050670.4
DOM-TAM,0,0,0,2820734.09,2960950,2493256.3,5051256.3,11281686,19152530.4,25009980.96,25743439.15,31327567.4,34757363.57,119205726.2,135653985.1,135588673.2
DOM-VEG,0,0,0,28916103,25048742.11,36825806.62,67878688.21,58628083.13,29048057.92,31272807.25,41049789.56,40072679.2,41397804.18,44213754.4,49863556.7,48503969.15
DOM-VER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM-VIS,0,0,0,0,268000,61659000,5.80E+07,113481652,131602799.7,131602799.7,1.40E+08,151000000,152692579.4,283200500,283200500,283200500
DOM-ZFE,89407341.28,115555165.5,103819228.7,122129320.8,153468289,246648419.8,338633896.3,356838732.8,476832894.9,614755059.9,612665215.3,645592057,734664960.1,706226438.4,796046472.8,815912571.9
